Anchorage
W14952N6113
01  1013 1553  0919 1708  0800 1825  0622 1946  0450 2105  0336 2220  0327 2238  0432 2138  0552 2005  0706 1830  0828 1657  0946 1551
02  1013 1555  0917 1710  0757 1828  0619 1948  0447 2107  0334 2222  0329 2238  0435 2135  0554 2002  0709 1827  0830 1655  0948 1550
03  1012 1557  0914 1713  0754 1830  0616 1951  0445 2110  0333 2224  0330 2237  0437 2132  0557 1959  0711 1824  0833 1652  0950 1549
04  1011 1558  0912 1716  0750 1833  0613 1954  0442 2113  0331 2226  0331 2235  0440 2129  0559 1956  0714 1821  0836 1649  0952 1547
05  1010 1600  0909 1719  0747 1836  0610 1956  0439 2115  0330 2227  0333 2234  0442 2127  0602 1953  0716 1818  0839 1647  0954 1546
06  1009 1602  0906 1722  0744 1838  0606 1959  0436 2118  0328 2229  0334 2233  0445 2124  0604 1950  0719 1815  0841 1644  0956 1545
07  1008 1604  0904 1724  0741 1841  0603 2001  0433 2121  0327 2231  0336 2232  0448 2121  0607 1947  0721 1812  0844 1641  0957 1544
08  1007 1606  0901 1727  0738 1844  0600 2004  0431 2123  0326 2232  0338 2230  0450 2118  0609 1943  0724 1808  0847 1639  0959 1543
09  1006 1608  0858 1730  0735 1846  0557 2007  0428 2126  0325 2233  0340 2229  0453 2115  0611 1940  0727 1805  0850 1636  1001 1543
10  1004 1610  0856 1733  0732 1849  0554 2009  0425 2128  0324 2235  0341 2227  0455 2112  0614 1937  0729 1802  0852 1634  1002 1542
11  1003 1613  0853 1736  0729 1851  0551 2012  0422 2131  0323 2236  0343 2225  0458 2109  0616 1934  0732 1759  0855 1631  1004 1541
12  1001 1615  0850 1738  0726 1854  0548 2014  0420 2134  0322 2237  0345 2223  0500 2107  0619 1931  0734 1756  0858 1629  1005 1541
13  1000 1617  0847 1741  0722 1857  0545 2017  0417 2136  0322 2238  0347 2222  0503 2104  0621 1928  0737 1753  0900 1626  1007 1541
14  0958 1620  0844 1744  0719 1859  0541 2020  0415 2139  0321 2239  0349 2220  0506 2101  0624 1924  0740 1750  0903 1624  1008 1540
15  0957 1622  0841 1747  0716 1902  0538 2022  0412 2141  0321 2240  0351 2218  0508 2058  0626 1921  0742 1747  0906 1622  1009 1540
16  0955 1625  0839 1750  0713 1904  0535 2025  0409 2144  0320 2240  0354 2216  0511 2055  0629 1918  0745 1744  0908 1619  1010 1540
17  0953 1627  0836 1752  0710 1907  0532 2027  0407 2146  0320 2241  0356 2214  0513 2052  0631 1915  0747 1741  0911 1617  1011 1540
18  0951 1630  0833 1755  0707 1910  0529 2030  0405 2149  0320 2241  0358 2212  0516 2049  0634 1912  0750 1738  0914 1615  1012 1540
19  0949 1632  0830 1758  0703 1912  0526 2033  0402 2151  0320 2242  0400 2210  0518 2046  0636 1908  0753 1735  0916 1613  1013 1541
20  0947 1635  0827 1801  0700 1915  0523 2035  0400 2154  0320 2242  0403 2207  0521 2043  0639 1905  0755 1732  0919 1611  1013 1541
21  0945 1637  0824 1803  0657 1917  0520 2038  0358 2156  0320 2242  0405 2205  0524 2040  0641 1902  0758 1729  0922 1608  1014 1541
22  0943 1640  0821 1806  0654 1920  0517 2041  0355 2159  0320 2242  0407 2203  0526 2037  0644 1859  0801 1726  0924 1606  1015 1542
23  0941 1643  0818 1809  0651 1923  0514 2043  0353 2201  0321 2242  0410 2200  0529 2034  0646 1856  0803 1723  0927 1605  1015 1543
24  0939 1645  0815 1811  0648 1925  0511 2046  0351 2203  0321 2242  0412 2158  0531 2030  0649 1853  0806 1720  0929 1603  1015 1543
25  0936 1648  0812 1814  0644 1928  0508 2049  0349 2206  0322 2242  0415 2156  0534 2027  0651 1849  0809 1717  0932 1601  1015 1544
26  0934 1651  0809 1817  0641 1930  0505 2051  0347 2208  0323 2242  0417 2153  0536 2024  0654 1846  0811 1714  0934 1559  1015 1545
27  0932 1654  0806 1820  0638 1933  0502 2054  0345 2210  0323 2241  0419 2151  0539 2021  0656 1843  0814 1711  0936 1557  1015 1546
28  0929 1656  0803 1822  0635 1936  0459 2057  0343 2212  0324 2241  0422 2148  0541 2018  0659 1840  0817 1709  0939 1556  1015 1547
29  0927 1659             0632 1938  0456 2059  0341 2214  0325 2240  0424 2146  0544 2015  0701 1837  0820 1706  0941 1554  1015 1549
30  0924 1702             0629 1941  0453 2102  0339 2216  0326 2239  0427 2143  0547 2012  0704 1834  0822 1703  0943 1553  1015 1550
31  0922 1705             0625 1943             0337 2218             0430 2140  0549 2009             0825 1700             1014 1551
