Arlington
W09707N3244
01  0731 1734  0723 1801  0656 1826  0617 1849  0541 1910  0521 1931  0524 1940  0542 1927  0603 1853  0623 1813  0646 1738  0713 1722
02  0731 1734  0723 1802  0655 1827  0615 1849  0540 1911  0521 1932  0525 1940  0543 1926  0604 1852  0623 1812  0647 1737  0714 1722
03  0731 1735  0722 1803  0654 1827  0614 1850  0540 1912  0521 1933  0525 1940  0544 1925  0604 1851  0624 1810  0648 1736  0714 1722
04  0731 1736  0721 1804  0653 1828  0613 1851  0539 1912  0521 1933  0525 1940  0544 1924  0605 1849  0625 1809  0649 1735  0715 1722
05  0731 1737  0720 1805  0651 1829  0611 1851  0538 1913  0521 1934  0526 1940  0545 1923  0606 1848  0625 1808  0650 1734  0716 1722
06  0732 1737  0720 1806  0650 1830  0610 1852  0537 1914  0520 1934  0526 1940  0546 1922  0606 1847  0626 1807  0650 1733  0717 1722
07  0732 1738  0719 1807  0649 1830  0609 1853  0536 1915  0520 1935  0527 1940  0547 1921  0607 1845  0627 1805  0651 1733  0718 1722
08  0732 1739  0718 1808  0648 1831  0608 1854  0535 1915  0520 1935  0527 1939  0547 1920  0608 1844  0627 1804  0652 1732  0718 1722
09  0732 1740  0717 1809  0646 1832  0606 1854  0534 1916  0520 1936  0528 1939  0548 1920  0608 1843  0628 1803  0653 1731  0719 1722
10  0732 1741  0716 1810  0645 1833  0605 1855  0533 1917  0520 1936  0529 1939  0549 1919  0609 1841  0629 1802  0654 1730  0720 1723
11  0731 1742  0715 1810  0644 1833  0604 1856  0533 1917  0520 1936  0529 1939  0549 1918  0610 1840  0630 1800  0655 1730  0721 1723
12  0731 1743  0714 1811  0643 1834  0603 1856  0532 1918  0520 1937  0530 1938  0550 1917  0610 1839  0630 1759  0656 1729  0721 1723
13  0731 1743  0713 1812  0641 1835  0601 1857  0531 1919  0520 1937  0530 1938  0551 1915  0611 1837  0631 1758  0657 1728  0722 1723
14  0731 1744  0713 1813  0640 1836  0600 1858  0530 1920  0520 1938  0531 1938  0551 1914  0611 1836  0632 1757  0658 1728  0723 1724
15  0731 1745  0712 1814  0639 1836  0559 1858  0530 1920  0520 1938  0531 1937  0552 1913  0612 1835  0632 1755  0659 1727  0723 1724
16  0731 1746  0711 1815  0637 1837  0558 1859  0529 1921  0520 1938  0532 1937  0553 1912  0613 1833  0633 1754  0659 1727  0724 1724
17  0730 1747  0710 1816  0636 1838  0557 1900  0528 1922  0520 1939  0533 1936  0553 1911  0613 1832  0634 1753  0700 1726  0725 1725
18  0730 1748  0709 1817  0635 1839  0555 1901  0528 1922  0520 1939  0533 1936  0554 1910  0614 1831  0635 1752  0701 1726  0725 1725
19  0730 1749  0707 1817  0634 1839  0554 1901  0527 1923  0521 1939  0534 1935  0555 1909  0615 1829  0636 1751  0702 1725  0726 1726
20  0729 1750  0706 1818  0632 1840  0553 1902  0526 1924  0521 1939  0534 1935  0555 1908  0615 1828  0636 1750  0703 1725  0726 1726
21  0729 1751  0705 1819  0631 1841  0552 1903  0526 1924  0521 1940  0535 1934  0556 1907  0616 1826  0637 1749  0704 1724  0727 1726
22  0729 1752  0704 1820  0630 1841  0551 1904  0525 1925  0521 1940  0536 1934  0557 1905  0617 1825  0638 1748  0705 1724  0727 1727
23  0728 1753  0703 1821  0628 1842  0550 1904  0525 1926  0521 1940  0536 1933  0557 1904  0617 1824  0639 1746  0706 1724  0728 1728
24  0728 1754  0702 1822  0627 1843  0549 1905  0524 1926  0522 1940  0537 1933  0558 1903  0618 1822  0639 1745  0707 1723  0728 1728
25  0727 1755  0701 1822  0626 1844  0548 1906  0524 1927  0522 1940  0538 1932  0559 1902  0619 1821  0640 1744  0708 1723  0729 1729
26  0727 1756  0700 1823  0624 1844  0546 1906  0523 1928  0522 1940  0538 1931  0559 1901  0619 1820  0641 1743  0708 1723  0729 1729
27  0726 1757  0659 1824  0623 1845  0545 1907  0523 1928  0523 1940  0539 1931  0600 1859  0620 1818  0642 1742  0709 1723  0729 1730
28  0726 1757  0657 1825  0622 1846  0544 1908  0523 1929  0523 1940  0540 1930  0601 1858  0621 1817  0643 1741  0710 1723  0730 1731
29  0725 1758             0620 1846  0543 1909  0522 1930  0523 1940  0540 1929  0601 1857  0621 1816  0644 1740  0711 1722  0730 1731
30  0725 1759             0619 1847  0542 1909  0522 1930  0524 1940  0541 1928  0602 1856  0622 1814  0644 1739  0712 1722  0730 1732
31  0724 1800             0618 1848             0522 1931             0542 1928  0603 1854             0645 1738             0731 1733
