Athens
E02344N3759
01  0641 1616  0630 1648  0557 1718  0511 1748  0429 1816  0404 1842  0406 1852  0428 1834  0455 1755  0520 1709  0550 1626  0622 1606
02  0641 1617  0629 1649  0556 1719  0509 1749  0428 1816  0404 1842  0407 1851  0429 1833  0455 1754  0521 1707  0551 1625  0623 1606
03  0641 1618  0628 1650  0554 1720  0508 1750  0427 1817  0404 1843  0407 1851  0430 1832  0456 1752  0522 1706  0553 1624  0624 1606
04  0641 1619  0627 1651  0553 1721  0506 1751  0426 1818  0403 1844  0408 1851  0430 1831  0457 1751  0523 1704  0554 1623  0625 1606
05  0641 1620  0626 1652  0552 1722  0505 1752  0425 1819  0403 1844  0408 1851  0431 1830  0458 1749  0524 1703  0555 1622  0626 1605
06  0642 1620  0625 1654  0550 1723  0503 1752  0424 1820  0403 1845  0409 1851  0432 1829  0459 1747  0525 1701  0556 1621  0627 1605
07  0641 1621  0624 1655  0549 1724  0502 1753  0423 1821  0403 1845  0409 1851  0433 1828  0500 1746  0526 1700  0557 1620  0627 1605
08  0641 1622  0623 1656  0547 1725  0500 1754  0422 1822  0402 1846  0410 1850  0434 1827  0501 1744  0527 1658  0558 1619  0628 1605
09  0641 1623  0622 1657  0546 1726  0459 1755  0421 1823  0402 1846  0410 1850  0435 1826  0501 1743  0528 1657  0559 1618  0629 1605
10  0641 1624  0621 1658  0544 1727  0457 1756  0420 1824  0402 1847  0411 1850  0436 1825  0502 1741  0529 1655  0600 1618  0630 1606
11  0641 1625  0620 1659  0543 1728  0456 1757  0419 1825  0402 1847  0412 1849  0436 1824  0503 1740  0530 1654  0601 1617  0631 1606
12  0641 1626  0619 1700  0541 1729  0455 1758  0418 1826  0402 1848  0412 1849  0437 1822  0504 1738  0530 1652  0602 1616  0631 1606
13  0641 1627  0618 1701  0540 1730  0453 1759  0417 1826  0402 1848  0413 1848  0438 1821  0505 1737  0531 1651  0603 1615  0632 1606
14  0640 1628  0617 1702  0538 1731  0452 1800  0416 1827  0402 1849  0414 1848  0439 1820  0506 1735  0532 1649  0604 1614  0633 1606
15  0640 1629  0615 1703  0537 1732  0450 1801  0415 1828  0402 1849  0414 1847  0440 1819  0507 1734  0533 1648  0605 1614  0634 1607
16  0640 1630  0614 1705  0535 1733  0449 1802  0414 1829  0402 1850  0415 1847  0441 1817  0507 1732  0534 1647  0606 1613  0634 1607
17  0639 1631  0613 1706  0534 1734  0447 1803  0413 1830  0402 1850  0416 1846  0442 1816  0508 1730  0535 1645  0608 1612  0635 1607
18  0639 1632  0612 1707  0532 1735  0446 1803  0413 1831  0402 1850  0417 1846  0443 1815  0509 1729  0536 1644  0609 1611  0636 1608
19  0638 1634  0611 1708  0531 1736  0445 1804  0412 1832  0402 1850  0417 1845  0443 1813  0510 1727  0537 1642  0610 1611  0636 1608
20  0638 1635  0609 1709  0529 1737  0443 1805  0411 1833  0403 1851  0418 1844  0444 1812  0511 1726  0538 1641  0611 1610  0637 1608
21  0637 1636  0608 1710  0528 1738  0442 1806  0410 1833  0403 1851  0419 1844  0445 1811  0512 1724  0539 1640  0612 1610  0637 1609
22  0637 1637  0607 1711  0526 1739  0441 1807  0410 1834  0403 1851  0420 1843  0446 1809  0513 1723  0540 1638  0613 1609  0638 1609
23  0636 1638  0605 1712  0525 1739  0439 1808  0409 1835  0403 1851  0420 1842  0447 1808  0513 1721  0541 1637  0614 1609  0638 1610
24  0636 1639  0604 1713  0523 1740  0438 1809  0408 1836  0403 1851  0421 1842  0448 1807  0514 1719  0542 1636  0615 1608  0639 1611
25  0635 1640  0603 1714  0522 1741  0437 1810  0408 1837  0404 1852  0422 1841  0449 1805  0515 1718  0543 1635  0616 1608  0639 1611
26  0634 1641  0601 1715  0520 1742  0436 1811  0407 1837  0404 1852  0423 1840  0450 1804  0516 1716  0544 1633  0617 1607  0639 1612
27  0634 1642  0600 1716  0518 1743  0434 1812  0407 1838  0404 1852  0424 1839  0450 1802  0517 1715  0545 1632  0618 1607  0640 1612
28  0633 1643  0559 1717  0517 1744  0433 1813  0406 1839  0405 1852  0424 1838  0451 1801  0518 1713  0546 1631  0619 1607  0640 1613
29  0632 1645             0515 1745  0432 1814  0406 1840  0405 1852  0425 1837  0452 1759  0519 1712  0547 1630  0620 1606  0640 1614
30  0631 1646             0514 1746  0431 1815  0405 1840  0406 1852  0426 1836  0453 1758  0520 1710  0548 1629  0621 1606  0641 1614
31  0631 1647             0512 1747             0405 1841             0427 1835  0454 1757             0549 1628             0641 1615
