Atlanta
W08425N3346
01  0743 1740  0734 1809  0706 1834  0625 1858  0549 1921  0528 1943  0531 1952  0550 1938  0611 1903  0632 1822  0657 1745  0724 1729
02  0743 1741  0734 1810  0705 1835  0624 1859  0548 1922  0528 1944  0531 1952  0550 1937  0612 1902  0633 1821  0658 1744  0725 1729
03  0743 1742  0733 1811  0704 1836  0623 1900  0547 1923  0528 1944  0532 1952  0551 1936  0613 1901  0633 1819  0659 1743  0726 1729
04  0743 1743  0732 1812  0703 1837  0621 1901  0546 1923  0527 1945  0532 1952  0552 1935  0613 1859  0634 1818  0659 1743  0727 1729
05  0743 1743  0731 1812  0701 1838  0620 1901  0545 1924  0527 1945  0533 1952  0552 1934  0614 1858  0635 1817  0700 1742  0728 1729
06  0743 1744  0730 1813  0700 1838  0619 1902  0544 1925  0527 1946  0533 1952  0553 1933  0615 1857  0636 1815  0701 1741  0728 1729
07  0743 1745  0730 1814  0659 1839  0617 1903  0543 1926  0527 1946  0534 1951  0554 1932  0615 1855  0636 1814  0702 1740  0729 1729
08  0743 1746  0729 1815  0657 1840  0616 1903  0542 1926  0527 1947  0534 1951  0555 1932  0616 1854  0637 1813  0703 1739  0730 1729
09  0743 1747  0728 1816  0656 1841  0615 1904  0542 1927  0527 1947  0535 1951  0555 1931  0617 1852  0638 1811  0704 1739  0731 1729
10  0743 1748  0727 1817  0655 1842  0613 1905  0541 1928  0527 1948  0535 1951  0556 1929  0618 1851  0639 1810  0705 1738  0732 1729
11  0743 1748  0726 1818  0653 1842  0612 1906  0540 1929  0526 1948  0536 1950  0557 1928  0618 1850  0639 1809  0706 1737  0732 1730
12  0743 1749  0725 1819  0652 1843  0611 1906  0539 1929  0526 1949  0536 1950  0557 1927  0619 1848  0640 1808  0707 1736  0733 1730
13  0743 1750  0724 1820  0651 1844  0610 1907  0538 1930  0526 1949  0537 1950  0558 1926  0620 1847  0641 1806  0708 1736  0734 1730
14  0743 1751  0723 1821  0650 1845  0608 1908  0538 1931  0527 1949  0537 1949  0559 1925  0620 1846  0642 1805  0709 1735  0734 1730
15  0742 1752  0722 1822  0648 1845  0607 1909  0537 1932  0527 1950  0538 1949  0600 1924  0621 1844  0642 1804  0710 1735  0735 1731
16  0742 1753  0721 1823  0647 1846  0606 1909  0536 1932  0527 1950  0539 1948  0600 1923  0622 1843  0643 1803  0711 1734  0736 1731
17  0742 1754  0720 1824  0646 1847  0605 1910  0535 1933  0527 1950  0539 1948  0601 1922  0622 1841  0644 1801  0712 1733  0736 1731
18  0742 1755  0719 1825  0644 1848  0603 1911  0535 1934  0527 1951  0540 1948  0602 1921  0623 1840  0645 1800  0712 1733  0737 1732
19  0741 1756  0718 1826  0643 1848  0602 1912  0534 1935  0527 1951  0541 1947  0602 1920  0624 1839  0646 1759  0713 1732  0737 1732
20  0741 1757  0717 1826  0641 1849  0601 1913  0533 1935  0527 1951  0541 1946  0603 1918  0624 1837  0647 1758  0714 1732  0738 1733
21  0740 1758  0716 1827  0640 1850  0600 1913  0533 1936  0527 1951  0542 1946  0604 1917  0625 1836  0647 1757  0715 1732  0739 1733
22  0740 1759  0714 1828  0639 1851  0559 1914  0532 1937  0528 1952  0543 1945  0604 1916  0626 1834  0648 1756  0716 1731  0739 1734
23  0740 1800  0713 1829  0637 1852  0558 1915  0532 1937  0528 1952  0543 1945  0605 1915  0626 1833  0649 1754  0717 1731  0740 1734
24  0739 1801  0712 1830  0636 1852  0556 1916  0531 1938  0528 1952  0544 1944  0606 1914  0627 1832  0650 1753  0718 1730  0740 1735
25  0739 1802  0711 1831  0635 1853  0555 1916  0531 1939  0528 1952  0545 1943  0607 1912  0628 1830  0651 1752  0719 1730  0740 1735
26  0738 1803  0710 1832  0633 1854  0554 1917  0530 1939  0529 1952  0545 1943  0607 1911  0628 1829  0652 1751  0720 1730  0741 1736
27  0738 1804  0709 1833  0632 1855  0553 1918  0530 1940  0529 1952  0546 1942  0608 1910  0629 1827  0652 1750  0721 1730  0741 1737
28  0737 1805  0707 1833  0631 1855  0552 1919  0529 1941  0530 1952  0547 1941  0609 1908  0630 1826  0653 1749  0722 1729  0741 1737
29  0736 1806             0629 1856  0551 1919  0529 1941  0530 1952  0547 1940  0609 1907  0631 1825  0654 1748  0723 1729  0742 1738
30  0736 1807             0628 1857  0550 1920  0529 1942  0530 1952  0548 1940  0610 1906  0631 1823  0655 1747  0723 1729  0742 1739
31  0735 1808             0627 1858             0528 1943             0549 1939  0611 1905             0656 1746             0742 1739
