Baltimore
W07637N3919
01  0726 1654  0714 1727  0639 1759  0551 1830  0508 1900  0442 1927  0444 1937  0506 1919  0535 1837  0602 1749  0634 1705  0707 1644
02  0726 1655  0713 1728  0638 1800  0549 1831  0507 1901  0441 1928  0444 1937  0507 1918  0536 1836  0603 1748  0635 1704  0708 1644
03  0727 1656  0712 1729  0636 1801  0548 1832  0506 1902  0441 1929  0445 1937  0508 1916  0537 1834  0604 1746  0637 1703  0709 1643
04  0727 1657  0711 1731  0635 1802  0546 1833  0504 1903  0441 1929  0445 1937  0509 1915  0538 1833  0605 1744  0638 1702  0710 1643
05  0727 1658  0710 1732  0633 1803  0545 1834  0503 1904  0441 1930  0446 1936  0510 1914  0539 1831  0606 1743  0639 1701  0711 1643
06  0727 1658  0709 1733  0632 1804  0543 1835  0502 1905  0440 1930  0446 1936  0511 1913  0539 1829  0607 1741  0640 1700  0712 1643
07  0727 1659  0708 1734  0630 1805  0542 1836  0501 1906  0440 1931  0447 1936  0512 1912  0540 1828  0608 1740  0641 1659  0713 1643
08  0726 1700  0707 1735  0629 1806  0540 1837  0500 1907  0440 1932  0447 1935  0513 1911  0541 1826  0609 1738  0642 1658  0714 1643
09  0726 1701  0705 1736  0627 1807  0539 1838  0459 1908  0440 1932  0448 1935  0514 1910  0542 1825  0610 1737  0643 1657  0714 1643
10  0726 1702  0704 1738  0626 1808  0537 1839  0458 1908  0440 1933  0449 1935  0515 1908  0543 1823  0611 1735  0644 1656  0715 1643
11  0726 1703  0703 1739  0624 1809  0536 1840  0457 1909  0439 1933  0449 1934  0516 1907  0544 1821  0612 1734  0646 1655  0716 1643
12  0726 1704  0702 1740  0623 1810  0534 1841  0456 1910  0439 1934  0450 1934  0516 1906  0545 1820  0613 1732  0647 1654  0717 1644
13  0725 1705  0701 1741  0621 1811  0533 1842  0455 1911  0439 1934  0451 1933  0517 1905  0546 1818  0614 1731  0648 1653  0718 1644
14  0725 1706  0700 1742  0620 1812  0531 1843  0454 1912  0439 1934  0452 1933  0518 1903  0547 1817  0615 1729  0649 1653  0718 1644
15  0725 1708  0658 1743  0618 1813  0530 1844  0453 1913  0439 1935  0452 1932  0519 1902  0548 1815  0616 1728  0650 1652  0719 1644
16  0724 1709  0657 1744  0616 1814  0528 1845  0452 1914  0439 1935  0453 1932  0520 1901  0549 1813  0617 1726  0651 1651  0720 1645
17  0724 1710  0656 1746  0615 1815  0527 1846  0451 1915  0439 1935  0454 1931  0521 1859  0549 1812  0618 1725  0652 1650  0720 1645
18  0723 1711  0655 1747  0613 1816  0525 1847  0450 1916  0440 1936  0455 1930  0522 1858  0550 1810  0619 1723  0653 1650  0721 1645
19  0723 1712  0653 1748  0612 1817  0524 1848  0450 1917  0440 1936  0455 1930  0523 1857  0551 1808  0620 1722  0654 1649  0722 1646
20  0722 1713  0652 1749  0610 1818  0522 1849  0449 1918  0440 1936  0456 1929  0524 1855  0552 1807  0621 1721  0656 1648  0722 1646
21  0722 1714  0651 1750  0608 1819  0521 1850  0448 1918  0440 1937  0457 1928  0525 1854  0553 1805  0622 1719  0657 1648  0723 1647
22  0721 1715  0649 1751  0607 1820  0520 1851  0447 1919  0440 1937  0458 1928  0526 1852  0554 1804  0623 1718  0658 1647  0723 1647
23  0721 1716  0648 1752  0605 1821  0518 1852  0447 1920  0441 1937  0459 1927  0527 1851  0555 1802  0625 1717  0659 1647  0724 1648
24  0720 1718  0647 1753  0604 1822  0517 1853  0446 1921  0441 1937  0459 1926  0528 1849  0556 1800  0626 1715  0700 1646  0724 1648
25  0719 1719  0645 1755  0602 1823  0516 1854  0445 1922  0441 1937  0500 1925  0529 1848  0557 1759  0627 1714  0701 1646  0724 1649
26  0719 1720  0644 1756  0601 1824  0514 1855  0445 1923  0441 1937  0501 1924  0529 1846  0558 1757  0628 1713  0702 1645  0725 1649
27  0718 1721  0642 1757  0559 1825  0513 1856  0444 1923  0442 1937  0502 1923  0530 1845  0559 1756  0629 1711  0703 1645  0725 1650
28  0717 1722  0641 1758  0557 1826  0512 1857  0444 1924  0442 1937  0503 1923  0531 1843  0600 1754  0630 1710  0704 1645  0725 1651
29  0716 1723             0556 1827  0510 1858  0443 1925  0443 1937  0504 1922  0532 1842  0601 1752  0631 1709  0705 1644  0726 1652
30  0715 1725             0554 1828  0509 1859  0443 1926  0443 1937  0505 1921  0533 1840  0602 1751  0632 1708  0706 1644  0726 1652
31  0714 1726             0553 1829             0442 1926             0506 1920  0534 1839             0633 1706             0726 1653
