Bangkok
E10031N1345
01  0641 1801  0645 1818  0635 1826  0614 1830  0557 1834  0549 1842  0554 1849  0602 1846  0606 1830  0607 1808  0612 1751  0625 1748
02  0642 1802  0645 1818  0634 1827  0614 1830  0556 1834  0549 1843  0554 1850  0603 1846  0606 1829  0607 1807  0613 1750  0626 1748
03  0642 1803  0645 1819  0633 1827  0613 1830  0556 1834  0549 1843  0554 1850  0603 1845  0606 1828  0607 1807  0613 1750  0627 1749
04  0642 1803  0645 1819  0633 1827  0612 1830  0555 1834  0549 1843  0555 1850  0603 1845  0607 1827  0608 1806  0613 1750  0627 1749
05  0643 1804  0644 1820  0632 1827  0612 1830  0555 1835  0549 1843  0555 1850  0603 1845  0607 1827  0608 1805  0614 1749  0628 1749
06  0643 1804  0644 1820  0632 1827  0611 1830  0554 1835  0549 1844  0555 1850  0603 1844  0607 1826  0608 1804  0614 1749  0628 1749
07  0643 1805  0644 1820  0631 1827  0610 1830  0554 1835  0549 1844  0556 1850  0604 1844  0607 1825  0608 1804  0614 1749  0629 1750
08  0644 1805  0644 1821  0630 1827  0610 1830  0554 1835  0550 1844  0556 1850  0604 1843  0607 1825  0608 1803  0615 1749  0629 1750
09  0644 1806  0643 1821  0630 1828  0609 1831  0553 1836  0550 1845  0556 1850  0604 1843  0607 1824  0608 1802  0615 1748  0630 1750
10  0644 1807  0643 1821  0629 1828  0608 1831  0553 1836  0550 1845  0556 1850  0604 1842  0607 1823  0608 1802  0615 1748  0630 1751
11  0644 1807  0643 1822  0628 1828  0608 1831  0553 1836  0550 1845  0557 1850  0604 1842  0607 1822  0608 1801  0616 1748  0631 1751
12  0645 1808  0642 1822  0628 1828  0607 1831  0552 1836  0550 1846  0557 1850  0604 1841  0607 1822  0608 1801  0616 1748  0631 1751
13  0645 1808  0642 1822  0627 1828  0606 1831  0552 1837  0550 1846  0557 1850  0605 1841  0607 1821  0608 1800  0617 1748  0632 1752
14  0645 1809  0642 1823  0627 1828  0606 1831  0552 1837  0550 1846  0558 1850  0605 1840  0607 1820  0608 1759  0617 1747  0633 1752
15  0645 1809  0641 1823  0626 1828  0605 1831  0552 1837  0550 1846  0558 1850  0605 1840  0607 1820  0609 1759  0617 1747  0633 1753
16  0645 1810  0641 1823  0625 1828  0605 1831  0551 1837  0551 1847  0558 1850  0605 1839  0607 1819  0609 1758  0618 1747  0634 1753
17  0646 1810  0640 1824  0625 1828  0604 1831  0551 1838  0551 1847  0558 1849  0605 1839  0607 1818  0609 1758  0618 1747  0634 1753
18  0646 1811  0640 1824  0624 1829  0603 1832  0551 1838  0551 1847  0559 1849  0605 1838  0607 1817  0609 1757  0619 1747  0635 1754
19  0646 1812  0640 1824  0623 1829  0603 1832  0551 1838  0551 1847  0559 1849  0605 1838  0607 1817  0609 1757  0619 1747  0635 1754
20  0646 1812  0639 1824  0622 1829  0602 1832  0550 1839  0551 1848  0559 1849  0605 1837  0607 1816  0609 1756  0620 1747  0636 1755
21  0646 1813  0639 1825  0622 1829  0602 1832  0550 1839  0551 1848  0600 1849  0606 1837  0607 1815  0610 1755  0620 1747  0636 1755
22  0646 1813  0638 1825  0621 1829  0601 1832  0550 1839  0552 1848  0600 1849  0606 1836  0607 1814  0610 1755  0621 1747  0637 1756
23  0646 1814  0638 1825  0620 1829  0601 1832  0550 1839  0552 1848  0600 1849  0606 1835  0607 1814  0610 1754  0621 1747  0637 1756
24  0646 1814  0637 1825  0620 1829  0600 1832  0550 1840  0552 1848  0600 1848  0606 1835  0607 1813  0610 1754  0622 1747  0638 1757
25  0646 1815  0637 1826  0619 1829  0559 1833  0550 1840  0552 1849  0601 1848  0606 1834  0607 1812  0610 1753  0622 1747  0638 1757
26  0646 1815  0636 1826  0618 1829  0559 1833  0550 1840  0553 1849  0601 1848  0606 1834  0607 1811  0611 1753  0623 1747  0639 1758
27  0646 1816  0636 1826  0618 1829  0558 1833  0550 1841  0553 1849  0601 1848  0606 1833  0607 1811  0611 1753  0623 1747  0639 1758
28  0646 1816  0635 1826  0617 1829  0558 1833  0549 1841  0553 1849  0601 1847  0606 1832  0607 1810  0611 1752  0624 1748  0640 1759
29  0646 1817             0616 1830  0557 1833  0549 1841  0553 1849  0602 1847  0606 1832  0607 1809  0611 1752  0624 1748  0640 1800
30  0645 1817             0616 1830  0557 1834  0549 1842  0554 1849  0602 1847  0606 1831  0607 1809  0612 1751  0625 1748  0640 1800
31  0645 1817             0615 1830             0549 1842             0602 1846  0606 1830             0612 1751             0641 1801
