Beijing
E11624N3956
01  0736 1700  0723 1733  0649 1806  0559 1838  0515 1908  0448 1937  0449 1947  0512 1929  0542 1847  0610 1758  0643 1713  0716 1650
02  0736 1701  0722 1734  0647 1807  0558 1839  0514 1909  0448 1937  0450 1947  0513 1927  0543 1845  0611 1756  0644 1712  0717 1650
03  0736 1701  0721 1735  0646 1808  0556 1840  0513 1910  0447 1938  0450 1947  0514 1926  0544 1844  0612 1754  0645 1710  0718 1650
04  0736 1702  0720 1737  0644 1809  0555 1841  0512 1911  0447 1939  0451 1947  0515 1925  0545 1842  0613 1753  0646 1709  0719 1649
05  0736 1703  0719 1738  0643 1810  0553 1842  0511 1912  0447 1939  0451 1946  0516 1924  0545 1840  0614 1751  0647 1708  0720 1649
06  0736 1704  0718 1739  0641 1811  0552 1843  0509 1913  0446 1940  0452 1946  0517 1923  0546 1839  0615 1750  0648 1707  0721 1649
07  0736 1705  0717 1740  0640 1812  0550 1844  0508 1914  0446 1941  0453 1946  0518 1922  0547 1837  0616 1748  0650 1706  0722 1649
08  0736 1706  0716 1741  0638 1813  0548 1845  0507 1915  0446 1941  0453 1945  0519 1921  0548 1836  0617 1747  0651 1705  0723 1649
09  0736 1707  0715 1743  0636 1814  0547 1846  0506 1916  0446 1942  0454 1945  0520 1919  0549 1834  0618 1745  0652 1704  0724 1649
10  0736 1708  0714 1744  0635 1815  0545 1847  0505 1917  0446 1942  0454 1945  0521 1918  0550 1832  0619 1743  0653 1703  0725 1649
11  0736 1709  0713 1745  0633 1816  0544 1848  0504 1918  0445 1943  0455 1944  0522 1917  0551 1831  0620 1742  0654 1702  0725 1649
12  0735 1710  0712 1746  0632 1818  0542 1849  0503 1919  0445 1943  0456 1944  0523 1916  0552 1829  0621 1740  0655 1701  0726 1649
13  0735 1711  0710 1747  0630 1819  0541 1850  0502 1920  0445 1944  0456 1943  0524 1914  0553 1827  0622 1739  0656 1700  0727 1650
14  0735 1712  0709 1749  0628 1820  0539 1851  0501 1921  0445 1944  0457 1943  0525 1913  0554 1826  0623 1737  0658 1700  0728 1650
15  0734 1713  0708 1750  0627 1821  0538 1852  0500 1922  0445 1945  0458 1942  0526 1912  0555 1824  0624 1736  0659 1659  0728 1650
16  0734 1714  0707 1751  0625 1822  0536 1853  0459 1923  0445 1945  0459 1942  0527 1910  0556 1822  0625 1734  0700 1658  0729 1650
17  0734 1715  0705 1752  0624 1823  0535 1854  0458 1924  0445 1945  0459 1941  0527 1909  0557 1821  0626 1733  0701 1657  0730 1651
18  0733 1717  0704 1753  0622 1824  0533 1855  0457 1925  0445 1946  0500 1941  0528 1908  0558 1819  0627 1731  0702 1656  0730 1651
19  0733 1718  0703 1754  0620 1825  0532 1856  0456 1926  0446 1946  0501 1940  0529 1906  0559 1817  0628 1730  0703 1656  0731 1651
20  0732 1719  0701 1756  0619 1826  0530 1857  0456 1927  0446 1946  0502 1939  0530 1905  0600 1816  0629 1729  0704 1655  0732 1652
21  0732 1720  0700 1757  0617 1827  0529 1858  0455 1928  0446 1946  0503 1938  0531 1903  0600 1814  0631 1727  0706 1654  0732 1652
22  0731 1721  0659 1758  0616 1828  0527 1859  0454 1928  0446 1947  0504 1938  0532 1902  0601 1812  0632 1726  0707 1654  0733 1653
23  0730 1722  0657 1759  0614 1829  0526 1900  0453 1929  0446 1947  0504 1937  0533 1900  0602 1811  0633 1724  0708 1653  0733 1653
24  0730 1723  0656 1800  0612 1830  0525 1901  0453 1930  0447 1947  0505 1936  0534 1859  0603 1809  0634 1723  0709 1653  0734 1654
25  0729 1725  0654 1801  0611 1831  0523 1902  0452 1931  0447 1947  0506 1935  0535 1857  0604 1808  0635 1722  0710 1652  0734 1655
26  0728 1726  0653 1802  0609 1832  0522 1903  0451 1932  0447 1947  0507 1934  0536 1856  0605 1806  0636 1720  0711 1652  0734 1655
27  0728 1727  0652 1803  0608 1833  0521 1904  0451 1933  0448 1947  0508 1933  0537 1854  0606 1804  0637 1719  0712 1651  0735 1656
28  0727 1728  0650 1805  0606 1834  0519 1905  0450 1934  0448 1947  0509 1933  0538 1853  0607 1803  0638 1718  0713 1651  0735 1656
29  0726 1729             0604 1835  0518 1906  0450 1934  0448 1947  0510 1932  0539 1851  0608 1801  0639 1716  0714 1651  0735 1657
30  0725 1731             0603 1836  0517 1907  0449 1935  0449 1947  0511 1931  0540 1850  0609 1759  0640 1715  0715 1650  0736 1658
31  0724 1732             0601 1837             0449 1936             0511 1930  0541 1848             0642 1714             0736 1659
