Berlin
E01325N5231
01  0817 1603  0748 1652  0653 1745  0541 1840  0436 1933  0350 2019  0348 2032  0426 1959  0517 1855  0607 1744  0702 1637  0754 1556
02  0817 1604  0747 1654  0651 1747  0539 1842  0434 1934  0349 2020  0348 2032  0427 1957  0518 1853  0609 1742  0704 1635  0756 1556
03  0817 1605  0745 1656  0649 1749  0537 1844  0432 1936  0348 2021  0349 2032  0429 1955  0520 1850  0610 1739  0706 1633  0757 1555
04  0817 1606  0743 1658  0647 1750  0534 1846  0430 1938  0347 2022  0350 2031  0430 1953  0522 1848  0612 1737  0708 1631  0758 1554
05  0816 1607  0742 1700  0644 1752  0532 1847  0428 1939  0347 2023  0351 2031  0432 1952  0523 1846  0614 1735  0710 1630  0800 1554
06  0816 1609  0740 1702  0642 1754  0530 1849  0426 1941  0346 2024  0352 2030  0434 1950  0525 1843  0616 1732  0711 1628  0801 1553
07  0815 1610  0738 1703  0640 1756  0527 1851  0424 1943  0346 2025  0353 2029  0435 1948  0527 1841  0617 1730  0713 1626  0802 1553
08  0815 1611  0736 1705  0638 1758  0525 1852  0422 1944  0345 2026  0353 2029  0437 1946  0528 1839  0619 1728  0715 1624  0803 1553
09  0814 1613  0735 1707  0635 1800  0523 1854  0421 1946  0345 2027  0355 2028  0438 1944  0530 1836  0621 1726  0717 1623  0805 1552
10  0814 1614  0733 1709  0633 1801  0521 1856  0419 1948  0344 2028  0356 2027  0440 1942  0532 1834  0623 1723  0719 1621  0806 1552
11  0813 1616  0731 1711  0631 1803  0518 1858  0417 1949  0344 2029  0357 2026  0442 1940  0533 1832  0624 1721  0720 1620  0807 1552
12  0812 1617  0729 1713  0628 1805  0516 1859  0415 1951  0343 2029  0358 2025  0443 1938  0535 1829  0626 1719  0722 1618  0808 1552
13  0812 1619  0727 1715  0626 1807  0514 1901  0414 1953  0343 2030  0359 2024  0445 1936  0537 1827  0628 1716  0724 1616  0809 1552
14  0811 1620  0725 1717  0624 1808  0511 1903  0412 1954  0343 2030  0400 2024  0447 1934  0538 1824  0630 1714  0726 1615  0810 1552
15  0810 1622  0723 1719  0621 1810  0509 1905  0411 1956  0343 2031  0401 2022  0448 1932  0540 1822  0631 1712  0728 1613  0811 1552
16  0809 1623  0721 1721  0619 1812  0507 1906  0409 1957  0343 2031  0403 2021  0450 1930  0542 1820  0633 1710  0729 1612  0811 1552
17  0808 1625  0719 1722  0617 1814  0505 1908  0408 1959  0343 2032  0404 2020  0452 1928  0543 1817  0635 1708  0731 1611  0812 1552
18  0807 1627  0717 1724  0614 1816  0503 1910  0406 2000  0343 2032  0405 2019  0453 1926  0545 1815  0637 1705  0733 1609  0813 1553
19  0806 1629  0715 1726  0612 1817  0500 1912  0405 2002  0343 2033  0406 2018  0455 1924  0547 1813  0639 1703  0735 1608  0814 1553
20  0805 1630  0713 1728  0610 1819  0458 1913  0403 2003  0343 2033  0408 2017  0457 1922  0548 1810  0640 1701  0736 1607  0814 1553
21  0804 1632  0711 1730  0607 1821  0456 1915  0402 2005  0343 2033  0409 2015  0458 1919  0550 1808  0642 1659  0738 1606  0815 1554
22  0803 1634  0709 1732  0605 1823  0454 1917  0401 2006  0343 2033  0411 2014  0500 1917  0552 1805  0644 1657  0740 1604  0815 1554
23  0801 1636  0706 1734  0603 1824  0452 1919  0359 2008  0344 2033  0412 2013  0502 1915  0553 1803  0646 1655  0742 1603  0816 1555
24  0800 1637  0704 1736  0600 1826  0450 1920  0358 2009  0344 2034  0413 2011  0503 1913  0555 1801  0648 1653  0743 1602  0816 1556
25  0759 1639  0702 1738  0558 1828  0448 1922  0357 2010  0344 2034  0415 2010  0505 1911  0557 1758  0649 1651  0745 1601  0816 1556
26  0757 1641  0700 1739  0555 1830  0446 1924  0356 2012  0345 2033  0416 2008  0507 1908  0559 1756  0651 1649  0746 1600  0817 1557
27  0756 1643  0658 1741  0553 1831  0444 1926  0355 2013  0345 2033  0418 2007  0508 1906  0600 1754  0653 1647  0748 1559  0817 1558
28  0755 1645  0656 1743  0551 1833  0442 1927  0354 2014  0346 2033  0419 2005  0510 1904  0602 1751  0655 1645  0750 1558  0817 1559
29  0753 1646             0548 1835  0439 1929  0353 2016  0346 2033  0421 2004  0512 1902  0604 1749  0657 1643  0751 1558  0817 1559
30  0752 1648             0546 1837  0437 1931  0352 2017  0347 2033  0422 2002  0513 1859  0605 1746  0659 1641  0753 1557  0817 1600
31  0750 1650             0544 1839             0351 2018             0424 2000  0515 1857             0700 1639             0817 1601
