Bogata
W07405N0436
01  0604 1756  0612 1808  0608 1810  0555 1805  0545 1802  0543 1805  0549 1812  0553 1812  0550 1802  0544 1748  0541 1739  0549 1742
02  0604 1756  0612 1808  0607 1810  0555 1805  0545 1802  0543 1806  0549 1812  0553 1812  0550 1802  0544 1748  0541 1738  0550 1742
03  0605 1757  0612 1808  0607 1809  0555 1805  0545 1802  0543 1806  0549 1812  0553 1812  0550 1801  0543 1747  0541 1738  0550 1742
04  0605 1757  0612 1808  0607 1809  0554 1804  0544 1802  0543 1806  0549 1812  0553 1812  0550 1801  0543 1747  0542 1738  0550 1743
05  0606 1758  0612 1809  0606 1809  0554 1804  0544 1802  0544 1806  0550 1812  0553 1811  0550 1800  0543 1746  0542 1738  0551 1743
06  0606 1758  0612 1809  0606 1809  0553 1804  0544 1802  0544 1806  0550 1812  0553 1811  0549 1800  0543 1746  0542 1738  0551 1743
07  0607 1759  0612 1809  0606 1809  0553 1804  0544 1802  0544 1807  0550 1813  0553 1811  0549 1759  0543 1746  0542 1738  0552 1744
08  0607 1759  0612 1809  0605 1809  0553 1804  0544 1802  0544 1807  0550 1813  0553 1811  0549 1759  0542 1745  0542 1738  0552 1744
09  0607 1800  0612 1809  0605 1809  0552 1804  0544 1802  0544 1807  0550 1813  0553 1810  0549 1759  0542 1745  0542 1738  0553 1745
10  0608 1800  0612 1809  0605 1809  0552 1804  0543 1802  0544 1807  0551 1813  0553 1810  0548 1758  0542 1744  0542 1738  0553 1745
11  0608 1801  0612 1809  0604 1808  0551 1803  0543 1802  0544 1808  0551 1813  0553 1810  0548 1758  0542 1744  0543 1738  0554 1746
12  0608 1801  0612 1810  0604 1808  0551 1803  0543 1802  0545 1808  0551 1813  0553 1810  0548 1757  0542 1744  0543 1738  0554 1746
13  0609 1802  0611 1810  0603 1808  0551 1803  0543 1802  0545 1808  0551 1813  0553 1809  0548 1757  0542 1743  0543 1738  0555 1746
14  0609 1802  0611 1810  0603 1808  0550 1803  0543 1802  0545 1808  0551 1813  0553 1809  0548 1756  0542 1743  0543 1738  0555 1747
15  0609 1802  0611 1810  0603 1808  0550 1803  0543 1803  0545 1808  0551 1813  0553 1809  0547 1756  0542 1743  0544 1738  0556 1747
16  0610 1803  0611 1810  0602 1808  0549 1803  0543 1803  0545 1809  0552 1813  0553 1808  0547 1755  0541 1742  0544 1738  0556 1748
17  0610 1803  0611 1810  0602 1808  0549 1803  0543 1803  0546 1809  0552 1813  0553 1808  0547 1755  0541 1742  0544 1739  0557 1748
18  0610 1804  0611 1810  0601 1807  0549 1803  0543 1803  0546 1809  0552 1813  0553 1808  0547 1754  0541 1742  0544 1739  0557 1749
19  0610 1804  0610 1810  0601 1807  0548 1802  0543 1803  0546 1809  0552 1813  0552 1807  0546 1754  0541 1741  0545 1739  0558 1749
20  0611 1804  0610 1810  0601 1807  0548 1802  0543 1803  0546 1810  0552 1813  0552 1807  0546 1753  0541 1741  0545 1739  0558 1750
21  0611 1805  0610 1810  0600 1807  0548 1802  0543 1803  0546 1810  0552 1813  0552 1807  0546 1753  0541 1741  0545 1739  0559 1750
22  0611 1805  0610 1810  0600 1807  0547 1802  0543 1803  0547 1810  0552 1813  0552 1806  0546 1752  0541 1740  0546 1739  0559 1751
23  0611 1805  0609 1810  0559 1807  0547 1802  0543 1804  0547 1810  0553 1813  0552 1806  0545 1752  0541 1740  0546 1740  0600 1751
24  0611 1806  0609 1810  0559 1806  0547 1802  0543 1804  0547 1810  0553 1813  0552 1806  0545 1751  0541 1740  0546 1740  0600 1752
25  0611 1806  0609 1810  0558 1806  0547 1802  0543 1804  0547 1811  0553 1813  0552 1805  0545 1751  0541 1740  0547 1740  0601 1752
26  0612 1806  0609 1810  0558 1806  0546 1802  0543 1804  0548 1811  0553 1813  0551 1805  0545 1750  0541 1740  0547 1740  0601 1753
27  0612 1807  0608 1810  0558 1806  0546 1802  0543 1804  0548 1811  0553 1813  0551 1804  0545 1750  0541 1739  0547 1741  0602 1753
28  0612 1807  0608 1810  0557 1806  0546 1802  0543 1804  0548 1811  0553 1813  0551 1804  0544 1749  0541 1739  0548 1741  0602 1754
29  0612 1807             0557 1805  0545 1802  0543 1805  0548 1811  0553 1813  0551 1803  0544 1749  0541 1739  0548 1741  0603 1754
30  0612 1807             0556 1805  0545 1802  0543 1805  0548 1812  0553 1812  0551 1803  0544 1749  0541 1739  0549 1741  0603 1755
31  0612 1808             0556 1805             0543 1805             0553 1812  0551 1803             0541 1739             0603 1755
