BuenosAires
W05828S3436
01  0345 1810  0414 1800  0441 1731  0506 1649  0530 1612  0552 1551  0602 1554  0548 1613  0513 1635  0431 1657  0352 1723  0334 1752
02  0345 1810  0415 1800  0442 1729  0507 1647  0530 1611  0553 1551  0602 1554  0547 1614  0511 1636  0429 1658  0351 1724  0334 1753
03  0346 1810  0416 1759  0443 1728  0508 1646  0531 1610  0553 1551  0601 1555  0546 1615  0510 1637  0428 1658  0350 1725  0334 1754
04  0347 1811  0417 1758  0444 1727  0509 1645  0532 1609  0554 1550  0601 1555  0545 1615  0509 1638  0427 1659  0349 1726  0334 1755
05  0348 1811  0418 1757  0445 1726  0509 1643  0533 1608  0554 1550  0601 1556  0544 1616  0507 1638  0425 1700  0349 1727  0334 1755
06  0349 1811  0419 1756  0445 1724  0510 1642  0534 1607  0555 1550  0601 1556  0543 1617  0506 1639  0424 1701  0348 1728  0334 1756
07  0350 1811  0420 1755  0446 1723  0511 1641  0534 1606  0555 1550  0601 1557  0542 1617  0505 1640  0422 1702  0347 1729  0334 1757
08  0350 1811  0421 1754  0447 1722  0512 1639  0535 1605  0556 1550  0601 1557  0541 1618  0503 1640  0421 1702  0346 1730  0334 1758
09  0351 1811  0422 1753  0448 1720  0513 1638  0536 1604  0556 1550  0600 1558  0540 1619  0502 1641  0420 1703  0345 1731  0334 1759
10  0352 1810  0423 1752  0449 1719  0513 1637  0537 1604  0557 1550  0600 1559  0539 1620  0500 1642  0418 1704  0344 1732  0334 1759
11  0353 1810  0424 1751  0450 1718  0514 1635  0537 1603  0557 1550  0600 1559  0538 1620  0459 1642  0417 1705  0344 1733  0334 1800
12  0354 1810  0425 1750  0451 1716  0515 1634  0538 1602  0558 1550  0600 1600  0537 1621  0458 1643  0416 1706  0343 1734  0334 1801
13  0355 1810  0426 1749  0451 1715  0516 1633  0539 1601  0558 1550  0559 1600  0536 1622  0456 1644  0414 1706  0342 1735  0335 1802
14  0356 1810  0427 1748  0452 1713  0516 1631  0540 1600  0559 1550  0559 1601  0535 1623  0455 1645  0413 1707  0341 1736  0335 1802
15  0357 1809  0428 1747  0453 1712  0517 1630  0540 1600  0559 1550  0558 1601  0534 1623  0453 1645  0412 1708  0341 1737  0335 1803
16  0358 1809  0429 1746  0454 1711  0518 1629  0541 1559  0559 1550  0558 1602  0533 1624  0452 1646  0411 1709  0340 1738  0336 1804
17  0359 1809  0430 1745  0455 1709  0519 1628  0542 1558  0600 1550  0558 1603  0532 1625  0451 1647  0409 1710  0339 1739  0336 1804
18  0400 1808  0431 1744  0455 1708  0520 1626  0543 1558  0600 1550  0557 1603  0530 1625  0449 1647  0408 1711  0339 1740  0336 1805
19  0401 1808  0432 1743  0456 1707  0520 1625  0543 1557  0600 1550  0557 1604  0529 1626  0448 1648  0407 1711  0338 1741  0337 1805
20  0402 1808  0433 1742  0457 1705  0521 1624  0544 1556  0600 1550  0556 1605  0528 1627  0446 1649  0406 1712  0338 1742  0337 1806
21  0403 1807  0434 1741  0458 1704  0522 1623  0545 1556  0601 1551  0556 1605  0527 1628  0445 1650  0404 1713  0337 1743  0338 1806
22  0404 1807  0435 1739  0459 1702  0523 1622  0546 1555  0601 1551  0555 1606  0526 1628  0443 1650  0403 1714  0337 1744  0338 1807
23  0405 1806  0436 1738  0459 1701  0523 1621  0546 1555  0601 1551  0554 1607  0524 1629  0442 1651  0402 1715  0336 1745  0339 1807
24  0406 1806  0437 1737  0500 1700  0524 1619  0547 1554  0601 1551  0554 1607  0523 1630  0441 1652  0401 1716  0336 1746  0339 1808
25  0407 1805  0438 1736  0501 1658  0525 1618  0548 1554  0601 1552  0553 1608  0522 1630  0439 1652  0400 1717  0336 1746  0340 1808
26  0408 1804  0438 1735  0502 1657  0526 1617  0548 1553  0601 1552  0552 1609  0521 1631  0438 1653  0359 1718  0335 1747  0340 1809
27  0409 1804  0439 1733  0503 1655  0527 1616  0549 1553  0602 1552  0552 1610  0519 1632  0436 1654  0358 1719  0335 1748  0341 1809
28  0410 1803  0440 1732  0503 1654  0527 1615  0550 1552  0602 1553  0551 1610  0518 1633  0435 1655  0356 1719  0335 1749  0342 1809
29  0411 1803             0504 1653  0528 1614  0550 1552  0602 1553  0550 1611  0517 1633  0434 1655  0355 1720  0335 1750  0342 1809
30  0412 1802             0505 1651  0529 1613  0551 1552  0602 1554  0549 1612  0515 1634  0432 1656  0354 1721  0334 1751  0343 1810
31  0413 1801             0506 1650             0552 1551             0549 1612  0514 1635             0353 1722             0344 1810
