Cairo
E03115N3003 
01  0651 1706  0646 1732  0621 1754  0545 1814  0512 1832  0454 1851  0457 1900  0514 1849  0532 1818  0548 1741  0609 1708  0633 1655
02  0651 1707  0645 1733  0620 1755  0544 1814  0512 1833  0454 1852  0458 1900  0514 1848  0532 1817  0549 1740  0609 1707  0634 1655
03  0651 1708  0644 1734  0619 1755  0542 1815  0511 1834  0454 1853  0458 1900  0515 1847  0533 1816  0549 1738  0610 1707  0635 1655
04  0652 1708  0644 1734  0618 1756  0541 1815  0510 1834  0454 1853  0458 1900  0516 1846  0533 1814  0550 1737  0611 1706  0635 1655
05  0652 1709  0643 1735  0617 1757  0540 1816  0509 1835  0454 1853  0459 1900  0516 1846  0534 1813  0551 1736  0612 1705  0636 1655
06  0652 1710  0642 1736  0616 1757  0539 1817  0508 1835  0454 1854  0459 1900  0517 1845  0535 1812  0551 1735  0613 1704  0637 1655
07  0652 1711  0642 1737  0615 1758  0538 1817  0507 1836  0453 1854  0500 1900  0517 1844  0535 1811  0552 1734  0613 1704  0638 1655
08  0652 1711  0641 1738  0614 1759  0537 1818  0507 1837  0453 1855  0500 1900  0518 1843  0536 1809  0552 1732  0614 1703  0638 1655
09  0652 1712  0640 1739  0612 1759  0535 1818  0506 1837  0453 1855  0501 1859  0519 1842  0536 1808  0553 1731  0615 1702  0639 1655
10  0652 1713  0639 1739  0611 1800  0534 1819  0505 1838  0453 1856  0501 1859  0519 1841  0537 1807  0554 1730  0616 1702  0640 1655
11  0652 1714  0639 1740  0610 1801  0533 1820  0504 1839  0453 1856  0502 1859  0520 1840  0537 1806  0554 1729  0617 1701  0641 1656
12  0652 1715  0638 1741  0609 1801  0532 1820  0504 1839  0453 1857  0502 1859  0520 1839  0538 1805  0555 1728  0617 1701  0641 1656
13  0652 1715  0637 1742  0608 1802  0531 1821  0503 1840  0453 1857  0503 1858  0521 1838  0538 1803  0555 1727  0618 1700  0642 1656
14  0652 1716  0636 1743  0607 1802  0530 1821  0502 1841  0453 1857  0503 1858  0522 1837  0539 1802  0556 1726  0619 1659  0643 1656
15  0652 1717  0635 1743  0605 1803  0529 1822  0502 1841  0453 1858  0504 1858  0522 1836  0539 1801  0557 1725  0620 1659  0643 1657
16  0652 1718  0634 1744  0604 1804  0527 1823  0501 1842  0453 1858  0504 1857  0523 1836  0540 1800  0557 1723  0621 1658  0644 1657
17  0651 1719  0633 1745  0603 1804  0526 1823  0501 1843  0454 1858  0505 1857  0523 1834  0540 1758  0558 1722  0622 1658  0644 1658
18  0651 1720  0633 1746  0602 1805  0525 1824  0500 1843  0454 1858  0505 1857  0524 1833  0541 1757  0559 1721  0622 1658  0645 1658
19  0651 1721  0632 1747  0601 1806  0524 1825  0459 1844  0454 1859  0506 1856  0524 1832  0542 1756  0559 1720  0623 1657  0646 1658
20  0651 1721  0631 1747  0559 1806  0523 1825  0459 1844  0454 1859  0507 1856  0525 1831  0542 1755  0600 1719  0624 1657  0646 1659
21  0650 1722  0630 1748  0558 1807  0522 1826  0458 1845  0454 1859  0507 1855  0526 1830  0543 1753  0601 1718  0625 1657  0647 1659
22  0650 1723  0629 1749  0557 1807  0521 1826  0458 1846  0454 1859  0508 1855  0526 1829  0543 1752  0601 1717  0626 1656  0647 1700
23  0650 1724  0628 1750  0556 1808  0520 1827  0457 1846  0455 1900  0508 1854  0527 1828  0544 1751  0602 1716  0627 1656  0648 1700
24  0649 1725  0627 1750  0554 1809  0519 1828  0457 1847  0455 1900  0509 1854  0527 1827  0544 1750  0603 1715  0627 1656  0648 1701
25  0649 1726  0626 1751  0553 1809  0518 1828  0457 1848  0455 1900  0510 1853  0528 1826  0545 1748  0604 1714  0628 1655  0649 1701
26  0649 1727  0625 1752  0552 1810  0517 1829  0456 1848  0456 1900  0510 1853  0528 1825  0545 1747  0604 1713  0629 1655  0649 1702
27  0648 1728  0624 1752  0551 1810  0516 1830  0456 1849  0456 1900  0511 1852  0529 1824  0546 1746  0605 1712  0630 1655  0649 1703
28  0648 1728  0622 1753  0550 1811  0515 1830  0456 1849  0456 1900  0511 1851  0530 1823  0546 1745  0606 1712  0631 1655  0650 1703
29  0647 1729             0548 1812  0514 1831  0455 1850  0457 1900  0512 1851  0530 1821  0547 1743  0606 1711  0631 1655  0650 1704
30  0647 1730             0547 1812  0513 1832  0455 1850  0457 1900  0513 1850  0531 1820  0548 1742  0607 1710  0632 1655  0650 1705
31  0646 1731             0546 1813             0455 1851             0513 1849  0531 1819             0608 1709             0651 1705
