Cincinnati
W08431N3908
01  0757 1726  0745 1759  0711 1831  0623 1902  0540 1931  0514 1958  0516 2008  0538 1950  0607 1909  0634 1821  0706 1737  0738 1716
02  0758 1727  0744 1800  0709 1832  0621 1903  0539 1932  0514 1959  0516 2008  0539 1949  0608 1907  0635 1819  0707 1736  0739 1716
03  0758 1728  0743 1801  0708 1833  0620 1904  0537 1933  0513 2000  0517 2008  0540 1948  0608 1906  0636 1818  0708 1735  0740 1715
04  0758 1729  0742 1802  0706 1834  0618 1905  0536 1934  0513 2000  0517 2008  0541 1947  0609 1904  0637 1816  0709 1734  0741 1715
05  0758 1730  0741 1804  0705 1835  0616 1906  0535 1935  0513 2001  0518 2007  0542 1945  0610 1902  0638 1814  0710 1733  0742 1715
06  0758 1731  0740 1805  0703 1836  0615 1907  0534 1936  0512 2001  0518 2007  0543 1944  0611 1901  0639 1813  0711 1732  0743 1715
07  0758 1731  0739 1806  0702 1837  0613 1908  0533 1937  0512 2002  0519 2007  0544 1943  0612 1859  0640 1811  0712 1731  0744 1715
08  0758 1732  0738 1807  0700 1838  0612 1909  0532 1938  0512 2003  0520 2006  0545 1942  0613 1858  0641 1810  0713 1730  0745 1715
09  0757 1733  0737 1808  0659 1839  0610 1910  0531 1939  0512 2003  0520 2006  0546 1941  0614 1856  0642 1808  0714 1729  0746 1715
10  0757 1734  0736 1809  0657 1840  0609 1911  0530 1940  0512 2004  0521 2006  0547 1940  0615 1855  0643 1807  0716 1728  0746 1715
11  0757 1735  0734 1811  0656 1841  0607 1911  0529 1941  0511 2004  0521 2005  0548 1938  0616 1853  0644 1805  0717 1727  0747 1715
12  0757 1736  0733 1812  0654 1842  0606 1912  0528 1942  0511 2005  0522 2005  0548 1937  0617 1851  0645 1804  0718 1726  0748 1716
13  0756 1737  0732 1813  0653 1843  0604 1913  0527 1942  0511 2005  0523 2004  0549 1936  0617 1850  0646 1802  0719 1725  0749 1716
14  0756 1739  0731 1814  0651 1844  0603 1914  0526 1943  0511 2005  0524 2004  0550 1935  0618 1848  0647 1801  0720 1724  0749 1716
15  0756 1740  0730 1815  0650 1845  0601 1915  0525 1944  0511 2006  0524 2003  0551 1933  0619 1846  0648 1759  0721 1724  0750 1716
16  0755 1741  0728 1816  0648 1846  0600 1916  0524 1945  0511 2006  0525 2003  0552 1932  0620 1845  0649 1758  0722 1723  0751 1717
17  0755 1742  0727 1817  0646 1847  0558 1917  0523 1946  0511 2006  0526 2002  0553 1931  0621 1843  0650 1757  0723 1722  0751 1717
18  0755 1743  0726 1819  0645 1848  0557 1918  0522 1947  0512 2007  0527 2002  0554 1929  0622 1842  0651 1755  0725 1722  0752 1717
19  0754 1744  0725 1820  0643 1849  0556 1919  0522 1948  0512 2007  0527 2001  0555 1928  0623 1840  0652 1754  0726 1721  0753 1718
20  0754 1745  0723 1821  0642 1850  0554 1920  0521 1949  0512 2007  0528 2000  0556 1926  0624 1838  0653 1752  0727 1720  0753 1718
21  0753 1746  0722 1822  0640 1851  0553 1921  0520 1950  0512 2008  0529 1959  0557 1925  0625 1837  0654 1751  0728 1720  0754 1719
22  0752 1747  0721 1823  0638 1852  0551 1922  0519 1950  0512 2008  0530 1959  0558 1924  0626 1835  0655 1750  0729 1719  0754 1719
23  0752 1749  0719 1824  0637 1853  0550 1923  0519 1951  0513 2008  0531 1958  0558 1922  0627 1834  0656 1748  0730 1719  0755 1720
24  0751 1750  0718 1825  0635 1854  0549 1924  0518 1952  0513 2008  0531 1957  0559 1921  0627 1832  0657 1747  0731 1718  0755 1720
25  0750 1751  0716 1826  0634 1855  0547 1925  0517 1953  0513 2008  0532 1956  0600 1919  0628 1830  0658 1746  0732 1718  0756 1721
26  0750 1752  0715 1827  0632 1856  0546 1926  0517 1954  0514 2008  0533 1955  0601 1918  0629 1829  0659 1744  0733 1717  0756 1722
27  0749 1753  0714 1828  0631 1857  0545 1927  0516 1955  0514 2008  0534 1955  0602 1916  0630 1827  0700 1743  0734 1717  0756 1722
28  0748 1754  0712 1829  0629 1858  0544 1928  0516 1955  0514 2008  0535 1954  0603 1915  0631 1825  0701 1742  0735 1717  0757 1723
29  0747 1755             0627 1859  0542 1929  0515 1956  0515 2008  0536 1953  0604 1913  0632 1824  0702 1741  0736 1716  0757 1724
30  0747 1757             0626 1900  0541 1930  0515 1957  0515 2008  0537 1952  0605 1912  0633 1822  0703 1739  0737 1716  0757 1724
31  0746 1758             0624 1901             0514 1958             0538 1951  0606 1910             0705 1738             0757 1725
