Cleveland
W08140N4129
01  0753 1708  0738 1743  0701 1817  0610 1852  0524 1924  0455 1954  0457 2004  0521 1944  0553 1900  0623 1809  0658 1722  0734 1658
02  0753 1708  0737 1744  0700 1818  0608 1853  0523 1925  0455 1955  0457 2004  0522 1943  0554 1858  0624 1807  0700 1720  0735 1657
03  0753 1709  0736 1745  0658 1820  0606 1854  0521 1926  0454 1955  0458 2004  0523 1942  0555 1856  0625 1805  0701 1719  0736 1657
04  0753 1710  0735 1746  0657 1821  0605 1855  0520 1928  0454 1956  0458 2004  0524 1941  0556 1855  0627 1803  0702 1718  0737 1657
05  0753 1711  0734 1748  0655 1822  0603 1856  0519 1929  0454 1957  0459 2003  0525 1939  0557 1853  0628 1802  0703 1717  0738 1657
06  0753 1712  0733 1749  0653 1823  0602 1857  0518 1930  0453 1958  0459 2003  0526 1938  0558 1851  0629 1800  0704 1716  0738 1657
07  0753 1713  0732 1750  0652 1824  0600 1858  0516 1931  0453 1958  0500 2003  0527 1937  0559 1850  0630 1758  0706 1715  0739 1657
08  0753 1714  0731 1752  0650 1825  0558 1859  0515 1932  0453 1959  0501 2002  0528 1936  0600 1848  0631 1757  0707 1714  0740 1657
09  0753 1715  0729 1753  0649 1826  0557 1901  0514 1933  0453 1959  0501 2002  0529 1934  0601 1846  0632 1755  0708 1713  0741 1657
10  0752 1716  0728 1754  0647 1828  0555 1902  0513 1934  0453 2000  0502 2002  0530 1933  0602 1845  0633 1754  0709 1711  0742 1657
11  0752 1717  0727 1755  0645 1829  0553 1903  0512 1935  0452 2000  0503 2001  0531 1932  0603 1843  0634 1752  0710 1710  0743 1657
12  0752 1718  0726 1757  0644 1830  0552 1904  0511 1936  0452 2001  0504 2001  0532 1930  0604 1841  0635 1750  0712 1710  0744 1657
13  0752 1720  0724 1758  0642 1831  0550 1905  0510 1937  0452 2001  0504 2000  0533 1929  0605 1839  0636 1749  0713 1709  0744 1657
14  0751 1721  0723 1759  0640 1832  0549 1906  0509 1938  0452 2002  0505 1959  0534 1927  0606 1838  0637 1747  0714 1708  0745 1657
15  0751 1722  0722 1800  0639 1833  0547 1907  0508 1939  0452 2002  0506 1959  0535 1926  0607 1836  0639 1746  0715 1707  0746 1658
16  0750 1723  0720 1802  0637 1834  0545 1908  0507 1940  0452 2002  0507 1958  0536 1925  0608 1834  0640 1744  0716 1706  0747 1658
17  0750 1724  0719 1803  0635 1835  0544 1909  0506 1941  0452 2003  0508 1958  0537 1923  0609 1833  0641 1743  0718 1705  0747 1658
18  0749 1725  0718 1804  0634 1837  0542 1910  0505 1942  0452 2003  0508 1957  0539 1922  0610 1831  0642 1741  0719 1704  0748 1659
19  0749 1727  0716 1805  0632 1838  0541 1911  0504 1943  0453 2003  0509 1956  0540 1920  0611 1829  0643 1740  0720 1704  0749 1659
20  0748 1728  0715 1806  0630 1839  0539 1912  0503 1944  0453 2004  0510 1955  0541 1919  0612 1827  0644 1738  0721 1703  0749 1659
21  0747 1729  0713 1808  0628 1840  0538 1913  0502 1945  0453 2004  0511 1955  0542 1917  0613 1826  0645 1737  0722 1702  0750 1700
22  0747 1730  0712 1809  0627 1841  0536 1915  0501 1946  0453 2004  0512 1954  0543 1916  0614 1824  0647 1735  0724 1702  0750 1700
23  0746 1731  0710 1810  0625 1842  0535 1916  0501 1947  0453 2004  0513 1953  0544 1914  0615 1822  0648 1734  0725 1701  0751 1701
24  0745 1733  0709 1811  0623 1843  0533 1917  0500 1947  0454 2004  0514 1952  0545 1913  0616 1820  0649 1732  0726 1701  0751 1702
25  0745 1734  0707 1812  0622 1844  0532 1918  0459 1948  0454 2004  0515 1951  0546 1911  0617 1819  0650 1731  0727 1700  0751 1702
26  0744 1735  0706 1814  0620 1845  0531 1919  0459 1949  0454 2004  0516 1950  0547 1909  0618 1817  0651 1729  0728 1700  0752 1703
27  0743 1736  0704 1815  0618 1846  0529 1920  0458 1950  0455 2005  0517 1949  0548 1908  0619 1815  0652 1728  0729 1659  0752 1704
28  0742 1738  0703 1816  0617 1848  0528 1921  0457 1951  0455 2004  0517 1948  0549 1906  0620 1814  0654 1727  0730 1659  0752 1704
29  0741 1739             0615 1849  0526 1922  0457 1952  0456 2004  0518 1947  0550 1905  0621 1812  0655 1725  0731 1658  0753 1705
30  0740 1740             0613 1850  0525 1923  0456 1953  0456 2004  0519 1946  0551 1903  0622 1810  0656 1724  0732 1658  0753 1706
31  0739 1741             0612 1851             0456 1953             0520 1945  0552 1901             0657 1723             0753 1707
