Denver
W10459N3943
01  0721 1646  0708 1720  0633 1752  0544 1824  0501 1854  0434 1922  0436 1932  0459 1913  0528 1831  0556 1742  0629 1658  0702 1636
02  0721 1647  0707 1721  0632 1753  0543 1825  0459 1855  0434 1923  0436 1932  0500 1912  0529 1829  0557 1741  0630 1657  0703 1636
03  0721 1648  0706 1722  0630 1754  0541 1826  0458 1856  0433 1923  0437 1931  0501 1911  0530 1828  0558 1739  0631 1656  0704 1636
04  0721 1649  0705 1723  0629 1755  0539 1827  0457 1857  0433 1924  0437 1931  0502 1910  0531 1826  0559 1738  0632 1655  0705 1635
05  0721 1650  0704 1724  0627 1756  0538 1828  0456 1858  0433 1925  0438 1931  0503 1909  0532 1825  0600 1736  0633 1654  0706 1635
06  0721 1651  0703 1726  0625 1757  0536 1829  0455 1859  0432 1925  0438 1931  0504 1907  0533 1823  0601 1734  0634 1652  0707 1635
07  0721 1652  0702 1727  0624 1759  0535 1830  0454 1900  0432 1926  0439 1930  0505 1906  0534 1822  0602 1733  0635 1651  0707 1635
08  0721 1653  0701 1728  0622 1800  0533 1831  0452 1901  0432 1926  0440 1930  0505 1905  0534 1820  0603 1731  0636 1650  0708 1635
09  0721 1654  0700 1729  0621 1801  0532 1832  0451 1902  0432 1927  0440 1930  0506 1904  0535 1818  0604 1730  0638 1649  0709 1635
10  0721 1655  0658 1730  0619 1802  0530 1833  0450 1903  0432 1927  0441 1929  0507 1903  0536 1817  0605 1728  0639 1649  0710 1635
11  0720 1656  0657 1732  0618 1803  0528 1834  0449 1904  0432 1928  0442 1929  0508 1901  0537 1815  0606 1727  0640 1648  0711 1636
12  0720 1657  0656 1733  0616 1804  0527 1835  0448 1905  0431 1928  0442 1928  0509 1900  0538 1813  0607 1725  0641 1647  0712 1636
13  0720 1658  0655 1734  0615 1805  0525 1836  0447 1906  0431 1929  0443 1928  0510 1859  0539 1812  0608 1724  0642 1646  0712 1636
14  0720 1659  0654 1735  0613 1806  0524 1837  0446 1907  0431 1929  0444 1927  0511 1857  0540 1810  0609 1722  0643 1645  0713 1636
15  0719 1700  0652 1736  0611 1807  0522 1838  0445 1908  0431 1930  0445 1927  0512 1856  0541 1808  0610 1721  0644 1644  0714 1636
16  0719 1701  0651 1737  0610 1808  0521 1839  0445 1909  0431 1930  0445 1926  0513 1855  0542 1807  0611 1719  0646 1643  0714 1637
17  0718 1702  0650 1739  0608 1809  0520 1840  0444 1910  0432 1930  0446 1926  0514 1853  0543 1805  0612 1718  0647 1643  0715 1637
18  0718 1703  0648 1740  0607 1810  0518 1841  0443 1910  0432 1931  0447 1925  0515 1852  0544 1804  0613 1716  0648 1642  0716 1637
19  0717 1704  0647 1741  0605 1811  0517 1842  0442 1911  0432 1931  0448 1924  0516 1851  0545 1802  0614 1715  0649 1641  0716 1638
20  0717 1706  0646 1742  0603 1812  0515 1843  0441 1912  0432 1931  0449 1924  0517 1849  0546 1800  0615 1713  0650 1641  0717 1638
21  0716 1707  0644 1743  0602 1813  0514 1844  0440 1913  0432 1931  0449 1923  0518 1848  0547 1759  0616 1712  0651 1640  0717 1639
22  0716 1708  0643 1744  0600 1814  0512 1845  0440 1914  0432 1931  0450 1922  0519 1846  0548 1757  0618 1711  0652 1640  0718 1639
23  0715 1709  0642 1745  0559 1815  0511 1846  0439 1915  0433 1932  0451 1921  0520 1845  0548 1755  0619 1709  0653 1639  0718 1640
24  0714 1710  0640 1747  0557 1816  0510 1847  0438 1916  0433 1932  0452 1920  0521 1843  0549 1754  0620 1708  0655 1639  0719 1640
25  0714 1711  0639 1748  0555 1817  0508 1848  0438 1916  0433 1932  0453 1920  0521 1842  0550 1752  0621 1707  0656 1638  0719 1641
26  0713 1713  0637 1749  0554 1818  0507 1849  0437 1917  0434 1932  0454 1919  0522 1840  0551 1750  0622 1705  0657 1638  0720 1642
27  0712 1714  0636 1750  0552 1819  0506 1850  0436 1918  0434 1932  0455 1918  0523 1839  0552 1749  0623 1704  0658 1637  0720 1642
28  0711 1715  0635 1751  0551 1820  0504 1851  0436 1919  0434 1932  0455 1917  0524 1837  0553 1747  0624 1703  0659 1637  0720 1643
29  0710 1716             0549 1821  0503 1852  0435 1920  0435 1932  0456 1916  0525 1836  0554 1746  0625 1702  0700 1637  0720 1644
30  0710 1717             0547 1822  0502 1853  0435 1920  0435 1932  0457 1915  0526 1834  0555 1744  0626 1700  0701 1636  0721 1645
31  0709 1719             0546 1823             0434 1921             0458 1914  0527 1833             0627 1659             0721 1645
