Detroit
W08305N4223
01  0802 1710  0746 1746  0708 1822  0615 1858  0528 1932  0458 2003  0459 2013  0525 1952  0557 1906  0629 1814  0706 1726  0742 1701
02  0802 1711  0745 1748  0706 1823  0613 1859  0526 1933  0458 2003  0500 2013  0526 1951  0559 1905  0630 1812  0707 1724  0743 1700
03  0802 1712  0744 1749  0705 1825  0612 1900  0525 1934  0457 2004  0500 2013  0527 1950  0600 1903  0632 1810  0708 1723  0744 1700
04  0802 1713  0743 1750  0703 1826  0610 1902  0524 1935  0457 2005  0501 2012  0528 1948  0601 1901  0633 1809  0709 1722  0745 1700
05  0802 1714  0742 1752  0701 1827  0608 1903  0522 1936  0456 2006  0502 2012  0529 1947  0602 1900  0634 1807  0711 1721  0746 1700
06  0802 1715  0741 1753  0700 1828  0606 1904  0521 1938  0456 2006  0502 2012  0530 1946  0603 1858  0635 1805  0712 1720  0747 1700
07  0802 1716  0739 1754  0658 1829  0605 1905  0520 1939  0456 2007  0503 2011  0531 1945  0604 1856  0636 1804  0713 1718  0748 1700
08  0801 1717  0738 1756  0656 1831  0603 1906  0519 1940  0456 2007  0503 2011  0532 1943  0605 1854  0637 1802  0714 1717  0749 1700
09  0801 1718  0737 1757  0655 1832  0601 1907  0518 1941  0455 2008  0504 2011  0533 1942  0606 1853  0638 1800  0716 1716  0750 1700
10  0801 1719  0736 1758  0653 1833  0600 1908  0516 1942  0455 2009  0505 2010  0534 1941  0607 1851  0639 1759  0717 1715  0751 1700
11  0801 1720  0734 1759  0651 1834  0558 1909  0515 1943  0455 2009  0506 2010  0535 1939  0608 1849  0641 1757  0718 1714  0751 1700
12  0800 1722  0733 1801  0650 1835  0556 1911  0514 1944  0455 2010  0506 2009  0536 1938  0609 1847  0642 1755  0719 1713  0752 1700
13  0800 1723  0732 1802  0648 1836  0555 1912  0513 1945  0455 2010  0507 2009  0537 1936  0610 1846  0643 1754  0721 1712  0753 1700
14  0759 1724  0730 1803  0646 1838  0553 1913  0512 1946  0455 2011  0508 2008  0538 1935  0611 1844  0644 1752  0722 1711  0754 1700
15  0759 1725  0729 1805  0644 1839  0552 1914  0511 1947  0455 2011  0509 2007  0539 1933  0612 1842  0645 1750  0723 1710  0755 1700
16  0759 1726  0728 1806  0643 1840  0550 1915  0510 1948  0455 2011  0510 2007  0540 1932  0613 1840  0646 1749  0724 1709  0755 1701
17  0758 1727  0726 1807  0641 1841  0548 1916  0509 1949  0455 2012  0510 2006  0542 1931  0614 1839  0648 1747  0726 1709  0756 1701
18  0757 1729  0725 1808  0639 1842  0547 1917  0508 1950  0455 2012  0511 2005  0543 1929  0615 1837  0649 1746  0727 1708  0757 1701
19  0757 1730  0723 1810  0638 1843  0545 1918  0507 1951  0455 2012  0512 2005  0544 1927  0616 1835  0650 1744  0728 1707  0757 1702
20  0756 1731  0722 1811  0636 1845  0544 1920  0506 1952  0455 2013  0513 2004  0545 1926  0617 1833  0651 1743  0729 1706  0758 1702
21  0756 1732  0720 1812  0634 1846  0542 1921  0505 1953  0456 2013  0514 2003  0546 1924  0619 1831  0652 1741  0731 1706  0758 1703
22  0755 1734  0719 1813  0632 1847  0541 1922  0505 1954  0456 2013  0515 2002  0547 1923  0620 1830  0653 1740  0732 1705  0759 1703
23  0754 1735  0717 1815  0631 1848  0539 1923  0504 1955  0456 2013  0516 2001  0548 1921  0621 1828  0655 1738  0733 1704  0759 1704
24  0753 1736  0716 1816  0629 1849  0538 1924  0503 1956  0456 2013  0517 2000  0549 1920  0622 1826  0656 1737  0734 1704  0800 1704
25  0753 1737  0714 1817  0627 1850  0536 1925  0502 1957  0457 2013  0518 1959  0550 1918  0623 1824  0657 1735  0735 1703  0800 1705
26  0752 1739  0713 1818  0625 1851  0535 1926  0502 1958  0457 2013  0519 1958  0551 1916  0624 1823  0658 1734  0736 1703  0800 1706
27  0751 1740  0711 1820  0624 1853  0533 1927  0501 1959  0457 2013  0520 1957  0552 1915  0625 1821  0700 1732  0738 1702  0801 1706
28  0750 1741  0709 1821  0622 1854  0532 1929  0500 1959  0458 2013  0521 1956  0553 1913  0626 1819  0701 1731  0739 1702  0801 1707
29  0749 1743             0620 1855  0530 1930  0500 2000  0458 2013  0522 1955  0554 1911  0627 1817  0702 1730  0740 1701  0801 1708
30  0748 1744             0618 1856  0529 1931  0459 2001  0459 2013  0523 1954  0555 1910  0628 1816  0703 1728  0741 1701  0801 1709
31  0747 1745             0617 1857             0459 2002             0524 1953  0556 1908             0704 1727             0802 1709
