Honolulu
W15750N2119
01  0709 1801  0709 1822  0652 1836  0624 1846  0600 1857  0549 1910  0553 1917  0605 1910  0615 1847  0623 1819  0634 1755  0653 1748
02  0709 1802  0708 1822  0651 1836  0623 1847  0600 1857  0549 1910  0553 1918  0605 1910  0615 1846  0623 1818  0635 1755  0653 1749
03  0710 1802  0708 1823  0650 1837  0623 1847  0559 1857  0549 1911  0554 1918  0606 1909  0615 1845  0623 1817  0635 1754  0654 1749
04  0710 1803  0707 1823  0649 1837  0622 1847  0559 1858  0549 1911  0554 1918  0606 1909  0616 1845  0623 1816  0636 1754  0654 1749
05  0710 1804  0707 1824  0649 1837  0621 1848  0558 1858  0549 1911  0554 1918  0606 1908  0616 1844  0624 1815  0637 1753  0655 1749
06  0710 1804  0707 1825  0648 1838  0620 1848  0557 1859  0549 1912  0555 1918  0607 1907  0616 1843  0624 1814  0637 1753  0656 1749
07  0711 1805  0706 1825  0647 1838  0619 1848  0557 1859  0549 1912  0555 1917  0607 1907  0616 1842  0624 1814  0638 1752  0656 1749
08  0711 1806  0706 1826  0646 1838  0618 1848  0556 1900  0549 1912  0555 1917  0608 1906  0617 1841  0625 1813  0638 1752  0657 1750
09  0711 1806  0705 1826  0645 1839  0617 1849  0556 1900  0549 1913  0556 1917  0608 1906  0617 1840  0625 1812  0639 1751  0658 1750
10  0711 1807  0705 1827  0644 1839  0616 1849  0555 1900  0549 1913  0556 1917  0608 1905  0617 1839  0625 1811  0639 1751  0658 1750
11  0711 1808  0704 1827  0643 1840  0616 1849  0555 1901  0549 1913  0557 1917  0609 1904  0617 1838  0626 1810  0640 1751  0659 1751
12  0711 1808  0704 1828  0643 1840  0615 1850  0554 1901  0549 1914  0557 1917  0609 1903  0618 1837  0626 1809  0640 1750  0659 1751
13  0711 1809  0703 1828  0642 1840  0614 1850  0554 1902  0549 1914  0557 1917  0609 1903  0618 1836  0626 1808  0641 1750  0700 1751
14  0711 1810  0702 1829  0641 1841  0613 1850  0554 1902  0549 1914  0558 1917  0610 1902  0618 1835  0627 1808  0642 1750  0701 1752
15  0712 1810  0702 1829  0640 1841  0612 1851  0553 1902  0549 1915  0558 1916  0610 1901  0618 1834  0627 1807  0642 1750  0701 1752
16  0712 1811  0701 1830  0639 1841  0611 1851  0553 1903  0549 1915  0559 1916  0610 1901  0619 1833  0627 1806  0643 1749  0702 1752
17  0711 1812  0700 1830  0638 1842  0611 1851  0552 1903  0550 1915  0559 1916  0611 1900  0619 1832  0628 1805  0644 1749  0702 1753
18  0711 1813  0700 1831  0637 1842  0610 1852  0552 1904  0550 1915  0559 1916  0611 1859  0619 1831  0628 1804  0644 1749  0703 1753
19  0711 1813  0659 1831  0636 1842  0609 1852  0552 1904  0550 1916  0600 1915  0611 1858  0619 1830  0629 1804  0645 1749  0703 1754
20  0711 1814  0658 1832  0635 1843  0608 1853  0551 1905  0550 1916  0600 1915  0611 1858  0620 1829  0629 1803  0645 1749  0704 1754
21  0711 1815  0658 1832  0634 1843  0607 1853  0551 1905  0550 1916  0601 1915  0612 1857  0620 1828  0629 1802  0646 1748  0704 1755
22  0711 1815  0657 1833  0633 1843  0607 1853  0551 1906  0551 1916  0601 1914  0612 1856  0620 1827  0630 1801  0647 1748  0705 1755
23  0711 1816  0656 1833  0633 1843  0606 1854  0550 1906  0551 1917  0601 1914  0612 1855  0620 1826  0630 1801  0647 1748  0705 1756
24  0711 1817  0656 1834  0632 1844  0605 1854  0550 1906  0551 1917  0602 1914  0613 1854  0621 1826  0631 1800  0648 1748  0706 1756
25  0711 1817  0655 1834  0631 1844  0604 1854  0550 1907  0551 1917  0602 1913  0613 1853  0621 1825  0631 1759  0649 1748  0706 1757
26  0710 1818  0654 1835  0630 1844  0604 1855  0550 1907  0552 1917  0603 1913  0613 1853  0621 1824  0632 1759  0649 1748  0707 1757
27  0710 1818  0653 1835  0629 1845  0603 1855  0550 1908  0552 1917  0603 1913  0614 1852  0622 1823  0632 1758  0650 1748  0707 1758
28  0710 1819  0653 1835  0628 1845  0602 1855  0549 1908  0552 1917  0603 1912  0614 1851  0622 1822  0633 1758  0651 1748  0708 1759
29  0710 1820             0627 1845  0602 1856  0549 1909  0552 1917  0604 1912  0614 1850  0622 1821  0633 1757  0651 1748  0708 1759
30  0709 1820             0626 1846  0601 1856  0549 1909  0553 1917  0604 1911  0614 1849  0622 1820  0633 1756  0652 1748  0708 1800
31  0709 1821             0625 1846             0549 1909             0605 1911  0615 1848             0634 1756             0709 1800
