Ithaca
W07629N4226 
01  0736 1644  0720 1720  0642 1756  0549 1832  0501 1906  0432 1937  0433 1947  0458 1926  0531 1840  0603 1748  0639 1659  0716 1634
02  0736 1645  0719 1721  0640 1757  0547 1833  0500 1907  0431 1937  0433 1947  0459 1925  0532 1838  0604 1746  0641 1658  0717 1634
03  0736 1646  0718 1722  0638 1758  0545 1834  0458 1908  0431 1938  0434 1947  0500 1923  0533 1837  0605 1744  0642 1657  0718 1634
04  0736 1647  0717 1724  0637 1759  0543 1835  0457 1909  0430 1939  0434 1946  0501 1922  0534 1835  0606 1742  0643 1655  0719 1633
05  0736 1648  0715 1725  0635 1801  0542 1836  0456 1910  0430 1939  0435 1946  0502 1921  0535 1833  0607 1741  0644 1654  0720 1633
06  0735 1649  0714 1726  0633 1802  0540 1837  0455 1911  0430 1940  0436 1946  0503 1920  0536 1832  0609 1739  0646 1653  0721 1633
07  0735 1650  0713 1728  0632 1803  0538 1839  0453 1912  0429 1941  0436 1945  0504 1918  0537 1830  0610 1737  0647 1652  0722 1633
08  0735 1651  0712 1729  0630 1804  0537 1840  0452 1913  0429 1941  0437 1945  0505 1917  0538 1828  0611 1736  0648 1651  0723 1633
09  0735 1652  0711 1730  0628 1805  0535 1841  0451 1914  0429 1942  0438 1945  0507 1916  0539 1826  0612 1734  0649 1650  0724 1633
10  0735 1653  0709 1732  0627 1806  0533 1842  0450 1916  0429 1942  0438 1944  0508 1914  0540 1825  0613 1732  0651 1649  0724 1633
11  0734 1654  0708 1733  0625 1808  0532 1843  0449 1917  0428 1943  0439 1944  0509 1913  0542 1823  0614 1731  0652 1648  0725 1633
12  0734 1655  0707 1734  0623 1809  0530 1844  0448 1918  0428 1943  0440 1943  0510 1912  0543 1821  0615 1729  0653 1647  0726 1633
13  0734 1656  0705 1736  0622 1810  0528 1845  0447 1919  0428 1944  0441 1942  0511 1910  0544 1819  0616 1727  0654 1646  0727 1633
14  0733 1657  0704 1737  0620 1811  0527 1847  0445 1920  0428 1944  0441 1942  0512 1909  0545 1818  0618 1726  0656 1645  0728 1634
15  0733 1658  0703 1738  0618 1812  0525 1848  0444 1921  0428 1945  0442 1941  0513 1907  0546 1816  0619 1724  0657 1644  0728 1634
16  0732 1700  0701 1739  0616 1814  0523 1849  0443 1922  0428 1945  0443 1941  0514 1906  0547 1814  0620 1722  0658 1643  0729 1634
17  0732 1701  0700 1741  0615 1815  0522 1850  0442 1923  0428 1946  0444 1940  0515 1904  0548 1812  0621 1721  0659 1642  0730 1634
18  0731 1702  0658 1742  0613 1816  0520 1851  0441 1924  0428 1946  0445 1939  0516 1903  0549 1810  0622 1719  0701 1641  0730 1635
19  0731 1703  0657 1743  0611 1817  0519 1852  0441 1925  0429 1946  0446 1938  0517 1901  0550 1809  0624 1718  0702 1641  0731 1635
20  0730 1704  0655 1745  0609 1818  0517 1853  0440 1926  0429 1946  0447 1938  0518 1900  0551 1807  0625 1716  0703 1640  0732 1636
21  0729 1706  0654 1746  0608 1819  0516 1854  0439 1927  0429 1947  0447 1937  0519 1858  0552 1805  0626 1715  0704 1639  0732 1636
22  0729 1707  0653 1747  0606 1820  0514 1856  0438 1928  0429 1947  0448 1936  0520 1857  0553 1803  0627 1713  0705 1638  0733 1637
23  0728 1708  0651 1748  0604 1822  0513 1857  0437 1929  0429 1947  0449 1935  0521 1855  0554 1802  0628 1712  0707 1638  0733 1637
24  0727 1709  0649 1750  0602 1823  0511 1858  0436 1930  0430 1947  0450 1934  0522 1853  0555 1800  0630 1710  0708 1637  0733 1638
25  0726 1711  0648 1751  0601 1824  0510 1859  0436 1931  0430 1947  0451 1933  0524 1852  0556 1758  0631 1709  0709 1637  0734 1638
26  0725 1712  0646 1752  0559 1825  0508 1900  0435 1931  0430 1947  0452 1932  0525 1850  0558 1756  0632 1707  0710 1636  0734 1639
27  0725 1713  0645 1753  0557 1826  0507 1901  0434 1932  0431 1947  0453 1931  0526 1849  0559 1755  0633 1706  0711 1636  0735 1640
28  0724 1715  0643 1754  0555 1827  0505 1902  0434 1933  0431 1947  0454 1930  0527 1847  0600 1753  0634 1705  0712 1635  0735 1640
29  0723 1716             0554 1828  0504 1903  0433 1934  0432 1947  0455 1929  0528 1845  0601 1751  0636 1703  0713 1635  0735 1641
30  0722 1717             0552 1830  0503 1905  0433 1935  0432 1947  0456 1928  0529 1844  0602 1749  0637 1702  0715 1634  0735 1642
31  0721 1719             0550 1831             0432 1936             0457 1927  0530 1842             0638 1701             0735 1643
