Johannesburg
E02805S2612 
01  0519 1904  0542 1900  0601 1839  0617 1806  0631 1738  0647 1723  0656 1727  0647 1741  0621 1755  0548 1808  0518 1824  0507 1846
02  0519 1904  0543 1859  0602 1838  0617 1805  0632 1737  0648 1723  0656 1728  0646 1742  0620 1756  0547 1808  0518 1825  0507 1847
03  0520 1904  0544 1859  0602 1837  0618 1804  0632 1737  0648 1723  0656 1728  0646 1742  0619 1756  0545 1808  0517 1826  0507 1848
04  0521 1904  0545 1858  0603 1836  0618 1803  0633 1736  0649 1723  0656 1728  0645 1743  0617 1756  0544 1809  0516 1826  0507 1849
05  0521 1905  0545 1858  0603 1835  0619 1802  0633 1735  0649 1723  0656 1729  0644 1743  0616 1757  0543 1809  0516 1827  0507 1849
06  0522 1905  0546 1857  0604 1834  0619 1801  0634 1734  0650 1723  0656 1729  0644 1744  0615 1757  0542 1810  0515 1828  0507 1850
07  0523 1905  0547 1856  0605 1833  0620 1800  0634 1734  0650 1723  0656 1730  0643 1744  0614 1758  0541 1810  0515 1829  0508 1851
08  0524 1905  0548 1856  0605 1832  0620 1759  0635 1733  0650 1723  0656 1730  0642 1745  0613 1758  0540 1811  0514 1829  0508 1851
09  0524 1905  0548 1855  0606 1831  0621 1758  0636 1732  0651 1723  0656 1730  0642 1745  0612 1758  0539 1811  0513 1830  0508 1852
10  0525 1905  0549 1854  0606 1830  0621 1757  0636 1732  0651 1723  0655 1731  0641 1746  0611 1759  0538 1812  0513 1831  0508 1853
11  0526 1905  0550 1854  0607 1828  0621 1756  0637 1731  0652 1723  0655 1731  0640 1746  0610 1759  0537 1812  0512 1831  0508 1853
12  0527 1905  0550 1853  0607 1827  0622 1755  0637 1731  0652 1723  0655 1732  0639 1747  0609 1800  0536 1813  0512 1832  0509 1854
13  0527 1905  0551 1852  0608 1826  0622 1754  0638 1730  0652 1723  0655 1732  0638 1747  0608 1800  0535 1813  0511 1833  0509 1855
14  0528 1905  0552 1852  0608 1825  0623 1753  0638 1730  0653 1723  0655 1733  0638 1747  0607 1800  0534 1814  0511 1834  0509 1855
15  0529 1905  0552 1851  0609 1824  0623 1752  0639 1729  0653 1723  0654 1733  0637 1748  0605 1801  0533 1814  0510 1834  0510 1856
16  0530 1905  0553 1850  0609 1823  0624 1751  0639 1729  0653 1723  0654 1734  0636 1748  0604 1801  0532 1815  0510 1835  0510 1857
17  0531 1905  0554 1849  0610 1822  0624 1750  0640 1728  0654 1724  0654 1734  0635 1749  0603 1802  0531 1815  0510 1836  0510 1857
18  0531 1905  0554 1848  0610 1821  0625 1749  0640 1728  0654 1724  0654 1734  0634 1749  0602 1802  0530 1816  0509 1837  0511 1858
19  0532 1904  0555 1848  0611 1820  0625 1748  0641 1727  0654 1724  0653 1735  0633 1750  0601 1802  0529 1817  0509 1837  0511 1858
20  0533 1904  0556 1847  0611 1819  0626 1747  0641 1727  0654 1724  0653 1735  0632 1750  0600 1803  0528 1817  0509 1838  0512 1859
21  0534 1904  0556 1846  0612 1818  0626 1746  0642 1726  0655 1724  0652 1736  0632 1751  0559 1803  0527 1818  0508 1839  0512 1859
22  0534 1904  0557 1845  0612 1817  0627 1745  0642 1726  0655 1725  0652 1736  0631 1751  0558 1804  0527 1818  0508 1840  0513 1900
23  0535 1903  0558 1844  0613 1816  0627 1744  0643 1726  0655 1725  0652 1737  0630 1751  0557 1804  0526 1819  0508 1840  0513 1900
24  0536 1903  0558 1843  0613 1815  0628 1744  0643 1725  0655 1725  0651 1737  0629 1752  0555 1805  0525 1819  0508 1841  0514 1901
25  0537 1903  0559 1842  0614 1814  0628 1743  0644 1725  0655 1725  0651 1738  0628 1752  0554 1805  0524 1820  0508 1842  0514 1901
26  0538 1902  0559 1841  0614 1812  0629 1742  0644 1725  0655 1726  0650 1738  0627 1753  0553 1805  0523 1821  0507 1843  0515 1902
27  0538 1902  0600 1840  0614 1811  0629 1741  0645 1725  0656 1726  0650 1739  0626 1753  0552 1806  0522 1821  0507 1843  0515 1902
28  0539 1902  0601 1840  0615 1810  0630 1740  0645 1724  0656 1726  0649 1739  0625 1754  0551 1806  0521 1822  0507 1844  0516 1902
29  0540 1901             0615 1809  0630 1740  0646 1724  0656 1727  0649 1740  0624 1754  0550 1807  0521 1823  0507 1845  0517 1903
30  0541 1901             0616 1808  0631 1739  0646 1724  0656 1727  0648 1740  0623 1754  0549 1807  0520 1823  0507 1846  0517 1903
31  0542 1900             0616 1807             0647 1724             0648 1741  0622 1755             0519 1824             0518 1903
