KansasCity
W09433N3903
01  0737 1707  0725 1739  0651 1811  0603 1842  0520 1911  0454 1938  0456 1948  0519 1930  0547 1849  0614 1801  0646 1717  0718 1656
02  0737 1707  0724 1741  0649 1812  0601 1843  0519 1912  0454 1939  0457 1948  0520 1929  0548 1847  0615 1759  0647 1716  0719 1656
03  0738 1708  0723 1742  0648 1813  0600 1844  0518 1913  0454 1939  0457 1948  0521 1928  0549 1846  0616 1758  0648 1715  0720 1656
04  0738 1709  0722 1743  0646 1814  0558 1845  0517 1914  0453 1940  0458 1947  0521 1927  0550 1844  0617 1756  0649 1714  0721 1656
05  0738 1710  0721 1744  0645 1815  0557 1846  0515 1915  0453 1941  0458 1947  0522 1925  0551 1843  0618 1755  0650 1713  0722 1656
06  0738 1711  0720 1745  0643 1816  0555 1847  0514 1916  0453 1941  0459 1947  0523 1924  0551 1841  0619 1753  0651 1712  0723 1656
07  0738 1712  0719 1746  0642 1817  0554 1848  0513 1917  0453 1942  0459 1947  0524 1923  0552 1839  0620 1752  0652 1711  0724 1656
08  0737 1713  0718 1747  0640 1818  0552 1849  0512 1918  0452 1942  0500 1946  0525 1922  0553 1838  0621 1750  0653 1710  0725 1656
09  0737 1714  0717 1749  0639 1819  0551 1850  0511 1919  0452 1943  0501 1946  0526 1921  0554 1836  0622 1748  0655 1709  0725 1656
10  0737 1715  0716 1750  0637 1820  0549 1851  0510 1920  0452 1944  0501 1946  0527 1920  0555 1835  0623 1747  0656 1708  0726 1656
11  0737 1716  0714 1751  0636 1821  0548 1852  0509 1921  0452 1944  0502 1945  0528 1918  0556 1833  0624 1745  0657 1707  0727 1656
12  0737 1717  0713 1752  0634 1822  0546 1853  0508 1921  0452 1944  0503 1945  0529 1917  0557 1831  0625 1744  0658 1706  0728 1656
13  0736 1718  0712 1753  0633 1823  0545 1854  0507 1922  0452 1945  0503 1944  0530 1916  0558 1830  0626 1743  0659 1706  0729 1656
14  0736 1719  0711 1754  0631 1824  0543 1854  0506 1923  0452 1945  0504 1944  0531 1914  0559 1828  0627 1741  0700 1705  0729 1656
15  0736 1720  0710 1755  0630 1825  0542 1855  0505 1924  0452 1946  0505 1943  0531 1913  0600 1827  0628 1740  0701 1704  0730 1657
16  0735 1721  0708 1757  0628 1826  0540 1856  0504 1925  0452 1946  0505 1943  0532 1912  0600 1825  0629 1738  0702 1703  0731 1657
17  0735 1722  0707 1758  0626 1827  0539 1857  0504 1926  0452 1946  0506 1942  0533 1910  0601 1823  0630 1737  0703 1703  0731 1657
18  0734 1723  0706 1759  0625 1828  0537 1858  0503 1927  0452 1947  0507 1941  0534 1909  0602 1822  0631 1735  0705 1702  0732 1658
19  0734 1724  0705 1800  0623 1829  0536 1859  0502 1928  0452 1947  0508 1941  0535 1908  0603 1820  0632 1734  0706 1701  0733 1658
20  0733 1725  0703 1801  0622 1830  0535 1900  0501 1929  0452 1947  0509 1940  0536 1906  0604 1818  0633 1733  0707 1701  0733 1659
21  0733 1727  0702 1802  0620 1831  0533 1901  0501 1930  0453 1947  0509 1939  0537 1905  0605 1817  0634 1731  0708 1700  0734 1659
22  0732 1728  0701 1803  0619 1832  0532 1902  0500 1930  0453 1948  0510 1939  0538 1904  0606 1815  0635 1730  0709 1700  0734 1700
23  0732 1729  0659 1804  0617 1833  0530 1903  0459 1931  0453 1948  0511 1938  0539 1902  0607 1814  0636 1729  0710 1659  0735 1700
24  0731 1730  0658 1805  0615 1834  0529 1904  0458 1932  0453 1948  0512 1937  0540 1901  0608 1812  0637 1727  0711 1659  0735 1701
25  0730 1731  0657 1807  0614 1835  0528 1905  0458 1933  0454 1948  0513 1936  0541 1859  0609 1810  0638 1726  0712 1658  0735 1701
26  0730 1732  0655 1808  0612 1836  0526 1906  0457 1934  0454 1948  0514 1935  0542 1858  0610 1809  0639 1725  0713 1658  0736 1702
27  0729 1734  0654 1809  0611 1837  0525 1907  0457 1934  0454 1948  0514 1935  0542 1856  0610 1807  0640 1723  0714 1657  0736 1703
28  0728 1735  0652 1810  0609 1838  0524 1908  0456 1935  0455 1948  0515 1934  0543 1855  0611 1806  0641 1722  0715 1657  0736 1703
29  0727 1736             0608 1839  0523 1909  0456 1936  0455 1948  0516 1933  0544 1853  0612 1804  0642 1721  0716 1657  0737 1704
30  0727 1737             0606 1840  0521 1910  0455 1937  0456 1948  0517 1932  0545 1852  0613 1802  0644 1720  0717 1656  0737 1705
31  0726 1738             0604 1841             0455 1937             0518 1931  0546 1850             0645 1719             0737 1706
