London
W00000N5130
01  0806 1602  0739 1649  0646 1740  0536 1833  0432 1923  0349 2008  0347 2020  0423 1948  0512 1847  0600 1738  0653 1633  0743 1555
02  0806 1603  0737 1651  0644 1742  0534 1835  0430 1925  0348 2009  0348 2020  0425 1947  0514 1845  0602 1736  0655 1632  0744 1554
03  0805 1604  0735 1653  0641 1744  0531 1836  0429 1926  0347 2010  0348 2020  0426 1945  0515 1842  0604 1734  0657 1630  0746 1553
04  0805 1605  0734 1655  0639 1745  0529 1838  0427 1928  0347 2011  0349 2019  0428 1943  0517 1840  0605 1731  0658 1628  0747 1553
05  0805 1606  0732 1657  0637 1747  0527 1840  0425 1929  0346 2012  0350 2019  0429 1942  0519 1838  0607 1729  0700 1626  0748 1553
06  0805 1607  0731 1658  0635 1749  0525 1841  0423 1931  0345 2012  0351 2018  0431 1940  0520 1836  0608 1727  0702 1625  0750 1552
07  0804 1609  0729 1700  0633 1751  0522 1843  0421 1933  0345 2013  0352 2017  0433 1938  0522 1833  0610 1725  0704 1623  0751 1552
08  0804 1610  0727 1702  0630 1752  0520 1845  0420 1934  0344 2014  0353 2017  0434 1936  0523 1831  0612 1722  0705 1621  0752 1551
09  0803 1611  0725 1704  0628 1754  0518 1846  0418 1936  0344 2015  0354 2016  0436 1934  0525 1829  0613 1720  0707 1620  0753 1551
10  0803 1613  0724 1706  0626 1756  0516 1848  0416 1937  0343 2016  0355 2015  0437 1932  0527 1826  0615 1718  0709 1618  0754 1551
11  0802 1614  0722 1707  0624 1757  0514 1850  0415 1939  0343 2016  0356 2015  0439 1931  0528 1824  0617 1716  0711 1617  0755 1551
12  0801 1616  0720 1709  0621 1759  0511 1851  0413 1941  0343 2017  0357 2014  0440 1929  0530 1822  0618 1714  0712 1615  0756 1551
13  0801 1617  0718 1711  0619 1801  0509 1853  0412 1942  0343 2018  0358 2013  0442 1927  0531 1820  0620 1711  0714 1614  0757 1551
14  0800 1619  0716 1713  0617 1803  0507 1855  0410 1944  0342 2018  0359 2012  0444 1925  0533 1817  0622 1709  0716 1612  0758 1551
15  0759 1620  0714 1715  0615 1804  0505 1856  0409 1945  0342 2019  0400 2011  0445 1923  0535 1815  0624 1707  0718 1611  0759 1551
16  0758 1622  0712 1717  0612 1806  0503 1858  0407 1947  0342 2019  0401 2010  0447 1921  0536 1813  0625 1705  0719 1610  0800 1551
17  0757 1623  0710 1718  0610 1808  0501 1900  0406 1948  0342 2020  0403 2009  0448 1919  0538 1810  0627 1703  0721 1608  0801 1551
18  0756 1625  0708 1720  0608 1809  0458 1901  0404 1950  0342 2020  0404 2008  0450 1917  0539 1808  0629 1701  0723 1607  0801 1552
19  0755 1627  0706 1722  0606 1811  0456 1903  0403 1951  0342 2020  0405 2007  0452 1915  0541 1806  0630 1659  0724 1606  0802 1552
20  0754 1628  0704 1724  0603 1813  0454 1905  0402 1952  0342 2021  0406 2005  0453 1913  0543 1803  0632 1657  0726 1605  0803 1552
21  0753 1630  0702 1726  0601 1814  0452 1906  0400 1954  0343 2021  0408 2004  0455 1911  0544 1801  0634 1655  0728 1603  0803 1553
22  0752 1632  0700 1727  0559 1816  0450 1908  0359 1955  0343 2021  0409 2003  0456 1908  0546 1759  0636 1653  0729 1602  0804 1553
23  0751 1633  0658 1729  0556 1818  0448 1910  0358 1957  0343 2021  0410 2002  0458 1906  0547 1757  0637 1651  0731 1601  0804 1554
24  0750 1635  0656 1731  0554 1820  0446 1911  0357 1958  0343 2021  0412 2000  0459 1904  0549 1754  0639 1649  0733 1600  0805 1555
25  0748 1637  0654 1733  0552 1821  0444 1913  0355 1959  0344 2021  0413 1959  0501 1902  0551 1752  0641 1647  0734 1559  0805 1555
26  0747 1639  0652 1735  0550 1823  0442 1915  0354 2000  0344 2021  0415 1958  0503 1900  0552 1750  0643 1645  0736 1558  0805 1556
27  0746 1640  0650 1736  0547 1825  0440 1916  0353 2002  0345 2021  0416 1956  0504 1858  0554 1747  0644 1643  0737 1558  0805 1557
28  0744 1642  0648 1738  0545 1826  0438 1918  0352 2003  0345 2021  0417 1955  0506 1856  0555 1745  0646 1641  0739 1557  0806 1558
29  0743 1644             0543 1828  0436 1920  0351 2004  0346 2021  0419 1953  0507 1853  0557 1743  0648 1639  0740 1556  0806 1558
30  0742 1646             0540 1830  0434 1921  0350 2005  0346 2021  0420 1952  0509 1851  0559 1740  0650 1637  0742 1555  0806 1559
31  0740 1647             0538 1831             0350 2006             0422 1950  0511 1849             0651 1635             0806 1600
