LosAngeles
W11822N3405
01  0659 1655  0651 1724  0622 1750  0541 1814  0504 1837  0443 1900  0446 1909  0505 1854  0527 1819  0548 1738  0613 1701  0641 1644
02  0659 1656  0650 1725  0621 1751  0539 1815  0503 1838  0443 1900  0446 1909  0506 1853  0528 1818  0549 1736  0614 1700  0642 1644
03  0700 1657  0649 1726  0620 1752  0538 1816  0502 1839  0443 1901  0447 1909  0506 1853  0528 1817  0549 1735  0615 1659  0643 1644
04  0700 1658  0648 1727  0618 1752  0537 1817  0501 1840  0442 1902  0447 1909  0507 1852  0529 1815  0550 1734  0616 1658  0644 1644
05  0700 1658  0648 1728  0617 1753  0535 1817  0500 1841  0442 1902  0448 1908  0508 1851  0530 1814  0551 1732  0617 1657  0644 1644
06  0700 1659  0647 1729  0616 1754  0534 1818  0459 1841  0442 1903  0448 1908  0508 1850  0531 1812  0552 1731  0618 1656  0645 1644
07  0700 1700  0646 1730  0615 1755  0533 1819  0458 1842  0442 1903  0449 1908  0509 1849  0531 1811  0552 1730  0619 1655  0646 1644
08  0700 1701  0645 1731  0613 1756  0531 1820  0458 1843  0442 1904  0449 1908  0510 1848  0532 1810  0553 1728  0620 1655  0647 1644
09  0700 1702  0644 1732  0612 1757  0530 1820  0457 1844  0442 1904  0450 1908  0511 1847  0533 1808  0554 1727  0621 1654  0648 1644
10  0700 1703  0643 1733  0611 1757  0529 1821  0456 1844  0442 1905  0450 1907  0511 1846  0533 1807  0555 1726  0621 1653  0648 1644
11  0700 1704  0642 1734  0609 1758  0528 1822  0455 1845  0441 1905  0451 1907  0512 1845  0534 1806  0556 1724  0622 1652  0649 1645
12  0700 1705  0641 1735  0608 1759  0526 1823  0454 1846  0441 1905  0451 1907  0513 1844  0535 1804  0556 1723  0623 1652  0650 1645
13  0659 1705  0640 1736  0607 1800  0525 1823  0453 1847  0441 1906  0452 1906  0514 1843  0535 1803  0557 1722  0624 1651  0650 1645
14  0659 1706  0639 1737  0605 1801  0524 1824  0453 1847  0442 1906  0453 1906  0514 1841  0536 1801  0558 1721  0625 1650  0651 1645
15  0659 1707  0638 1737  0604 1801  0522 1825  0452 1848  0442 1907  0453 1905  0515 1840  0537 1800  0559 1719  0626 1650  0652 1646
16  0659 1708  0637 1738  0603 1802  0521 1826  0451 1849  0442 1907  0454 1905  0516 1839  0537 1759  0559 1718  0627 1649  0652 1646
17  0658 1709  0636 1739  0601 1803  0520 1827  0450 1850  0442 1907  0454 1905  0516 1838  0538 1757  0600 1717  0628 1649  0653 1646
18  0658 1710  0635 1740  0600 1804  0519 1827  0450 1850  0442 1907  0455 1904  0517 1837  0539 1756  0601 1716  0629 1648  0654 1647
19  0658 1711  0634 1741  0559 1804  0518 1828  0449 1851  0442 1908  0456 1903  0518 1836  0539 1754  0602 1714  0630 1648  0654 1647
20  0657 1712  0633 1742  0557 1805  0516 1829  0449 1852  0442 1908  0456 1903  0519 1835  0540 1753  0603 1713  0631 1647  0655 1648
21  0657 1713  0632 1743  0556 1806  0515 1830  0448 1853  0442 1908  0457 1902  0519 1833  0541 1752  0604 1712  0632 1647  0655 1648
22  0657 1714  0631 1744  0554 1807  0514 1830  0447 1853  0443 1908  0458 1902  0520 1832  0542 1750  0604 1711  0633 1646  0656 1649
23  0656 1715  0629 1745  0553 1807  0513 1831  0447 1854  0443 1909  0458 1901  0521 1831  0542 1749  0605 1710  0634 1646  0656 1649
24  0656 1716  0628 1746  0552 1808  0512 1832  0446 1855  0443 1909  0459 1900  0521 1830  0543 1747  0606 1709  0635 1646  0657 1650
25  0655 1717  0627 1746  0550 1809  0511 1833  0446 1855  0444 1909  0500 1900  0522 1828  0544 1746  0607 1708  0636 1645  0657 1650
26  0654 1718  0626 1747  0549 1810  0509 1834  0445 1856  0444 1909  0501 1859  0523 1827  0544 1745  0608 1707  0637 1645  0657 1651
27  0654 1719  0625 1748  0548 1811  0508 1834  0445 1857  0444 1909  0501 1858  0524 1826  0545 1743  0609 1706  0637 1645  0658 1652
28  0653 1720  0623 1749  0546 1811  0507 1835  0444 1857  0445 1909  0502 1858  0524 1825  0546 1742  0610 1704  0638 1645  0658 1652
29  0653 1721             0545 1812  0506 1836  0444 1858  0445 1909  0503 1857  0525 1823  0547 1740  0610 1703  0639 1644  0658 1653
30  0652 1722             0544 1813  0505 1837  0444 1859  0445 1909  0503 1856  0526 1822  0547 1739  0611 1702  0640 1644  0659 1654
31  0651 1723             0542 1814             0443 1859             0504 1855  0526 1821             0612 1702             0659 1654
