Miami
W08013N2547
01  0708 1742  0705 1805  0644 1823  0612 1838  0544 1852  0529 1908  0533 1916  0547 1907  0601 1840  0613 1808  0629 1739  0650 1729
02  0708 1742  0704 1805  0643 1823  0611 1838  0543 1853  0529 1909  0533 1916  0548 1906  0602 1839  0614 1806  0630 1739  0651 1729
03  0708 1743  0704 1806  0642 1824  0610 1839  0543 1853  0529 1909  0534 1916  0548 1906  0602 1838  0614 1805  0631 1738  0652 1729
04  0708 1744  0703 1807  0641 1824  0609 1839  0542 1854  0529 1910  0534 1916  0549 1905  0602 1837  0614 1804  0631 1737  0653 1730
05  0709 1744  0703 1808  0640 1825  0608 1839  0541 1854  0529 1910  0535 1916  0549 1904  0603 1836  0615 1803  0632 1737  0653 1730
06  0709 1745  0702 1808  0639 1825  0607 1840  0541 1855  0529 1910  0535 1916  0550 1904  0603 1835  0615 1802  0633 1736  0654 1730
07  0709 1746  0701 1809  0638 1826  0606 1840  0540 1855  0529 1911  0535 1916  0550 1903  0604 1834  0616 1801  0633 1736  0655 1730
08  0709 1746  0701 1810  0637 1826  0605 1841  0539 1856  0529 1911  0536 1916  0551 1902  0604 1833  0616 1800  0634 1735  0655 1730
09  0709 1747  0700 1810  0636 1827  0604 1841  0539 1856  0529 1912  0536 1916  0551 1901  0604 1832  0617 1759  0635 1735  0656 1730
10  0709 1748  0700 1811  0635 1827  0603 1842  0538 1857  0529 1912  0537 1916  0552 1901  0605 1831  0617 1758  0635 1734  0657 1731
11  0709 1749  0659 1812  0634 1828  0602 1842  0537 1857  0529 1912  0537 1916  0552 1900  0605 1829  0618 1757  0636 1734  0657 1731
12  0709 1749  0658 1812  0633 1828  0601 1843  0537 1858  0529 1913  0538 1915  0552 1859  0605 1828  0618 1756  0637 1733  0658 1731
13  0709 1750  0658 1813  0632 1829  0600 1843  0536 1858  0529 1913  0538 1915  0553 1858  0606 1827  0619 1755  0637 1733  0659 1732
14  0709 1751  0657 1814  0631 1829  0559 1844  0536 1859  0529 1913  0538 1915  0553 1857  0606 1826  0619 1754  0638 1732  0659 1732
15  0709 1752  0656 1814  0630 1830  0558 1844  0535 1900  0529 1914  0539 1915  0554 1856  0607 1825  0620 1753  0639 1732  0700 1732
16  0709 1752  0655 1815  0629 1830  0557 1845  0535 1900  0529 1914  0539 1914  0554 1856  0607 1824  0620 1752  0639 1732  0700 1733
17  0709 1753  0655 1816  0628 1831  0556 1845  0534 1901  0529 1914  0540 1914  0555 1855  0607 1823  0621 1751  0640 1731  0701 1733
18  0709 1754  0654 1816  0627 1831  0555 1846  0534 1901  0530 1914  0540 1914  0555 1854  0608 1822  0621 1751  0641 1731  0702 1734
19  0709 1755  0653 1817  0626 1832  0554 1846  0533 1902  0530 1915  0541 1913  0556 1853  0608 1821  0622 1750  0642 1731  0702 1734
20  0709 1756  0652 1817  0625 1832  0553 1847  0533 1902  0530 1915  0541 1913  0556 1852  0609 1820  0622 1749  0642 1730  0703 1734
21  0708 1756  0651 1818  0624 1833  0552 1847  0533 1903  0530 1915  0542 1913  0557 1851  0609 1818  0623 1748  0643 1730  0703 1735
22  0708 1757  0650 1819  0623 1833  0552 1848  0532 1903  0530 1915  0542 1912  0557 1850  0609 1817  0623 1747  0644 1730  0704 1735
23  0708 1758  0650 1819  0622 1834  0551 1848  0532 1904  0531 1916  0543 1912  0557 1849  0610 1816  0624 1746  0645 1730  0704 1736
24  0708 1759  0649 1820  0621 1834  0550 1849  0531 1904  0531 1916  0543 1911  0558 1848  0610 1815  0624 1745  0645 1730  0705 1736
25  0707 1759  0648 1820  0620 1834  0549 1849  0531 1905  0531 1916  0544 1911  0558 1847  0611 1814  0625 1745  0646 1730  0705 1737
26  0707 1800  0647 1821  0619 1835  0548 1850  0531 1905  0531 1916  0544 1910  0559 1846  0611 1813  0626 1744  0647 1729  0705 1738
27  0707 1801  0646 1821  0617 1835  0547 1850  0531 1906  0532 1916  0545 1910  0559 1845  0611 1812  0626 1743  0648 1729  0706 1738
28  0706 1802  0645 1822  0616 1836  0547 1851  0530 1906  0532 1916  0545 1909  0600 1844  0612 1811  0627 1742  0648 1729  0706 1739
29  0706 1802             0615 1836  0546 1851  0530 1907  0532 1916  0546 1909  0600 1843  0612 1810  0627 1742  0649 1729  0707 1739
30  0706 1803             0614 1837  0545 1852  0530 1907  0533 1916  0546 1908  0600 1842  0613 1809  0628 1741  0650 1729  0707 1740
31  0705 1804             0613 1837             0530 1908             0547 1908  0601 1841             0629 1740             0707 1741
