Milwaukee
W08757N4303
01  0723 1628  0707 1704  0628 1741  0534 1818  0446 1853  0415 1924  0416 1935  0443 1913  0516 1827  0549 1733  0626 1644  0703 1618
02  0723 1629  0706 1706  0626 1742  0532 1819  0444 1854  0415 1925  0417 1935  0444 1912  0517 1825  0550 1731  0628 1643  0705 1618
03  0723 1630  0705 1707  0625 1744  0530 1820  0443 1855  0414 1926  0417 1934  0445 1911  0518 1823  0551 1730  0629 1641  0706 1617
04  0723 1630  0704 1708  0623 1745  0529 1822  0442 1856  0414 1927  0418 1934  0446 1909  0519 1821  0552 1728  0630 1640  0707 1617
05  0723 1631  0702 1710  0621 1746  0527 1823  0440 1857  0414 1927  0419 1934  0447 1908  0520 1820  0554 1726  0632 1639  0708 1617
06  0723 1632  0701 1711  0620 1747  0525 1824  0439 1859  0413 1928  0419 1934  0448 1907  0522 1818  0555 1724  0633 1638  0709 1617
07  0723 1634  0700 1712  0618 1748  0524 1825  0438 1900  0413 1929  0420 1933  0449 1906  0523 1816  0556 1723  0634 1636  0710 1617
08  0723 1635  0659 1714  0616 1750  0522 1826  0436 1901  0413 1929  0421 1933  0450 1904  0524 1814  0557 1721  0635 1635  0710 1617
09  0723 1636  0658 1715  0614 1751  0520 1827  0435 1902  0412 1930  0421 1932  0451 1903  0525 1813  0558 1719  0637 1634  0711 1617
10  0722 1637  0656 1716  0613 1752  0518 1829  0434 1903  0412 1930  0422 1932  0452 1901  0526 1811  0559 1717  0638 1633  0712 1617
11  0722 1638  0655 1718  0611 1753  0517 1830  0433 1904  0412 1931  0423 1931  0453 1900  0527 1809  0601 1716  0639 1632  0713 1617
12  0722 1639  0654 1719  0609 1755  0515 1831  0432 1905  0412 1932  0424 1931  0454 1859  0528 1807  0602 1714  0640 1631  0714 1617
13  0721 1640  0652 1720  0607 1756  0513 1832  0431 1906  0412 1932  0424 1930  0455 1857  0529 1805  0603 1712  0642 1630  0715 1617
14  0721 1641  0651 1722  0606 1757  0512 1833  0430 1907  0412 1932  0425 1930  0456 1856  0530 1804  0604 1711  0643 1629  0716 1617
15  0720 1642  0649 1723  0604 1758  0510 1834  0429 1908  0412 1933  0426 1929  0458 1854  0531 1802  0605 1709  0644 1628  0716 1618
16  0720 1644  0648 1724  0602 1759  0508 1836  0427 1909  0412 1933  0427 1928  0459 1853  0532 1800  0607 1707  0646 1627  0717 1618
17  0719 1645  0647 1726  0600 1801  0507 1837  0426 1910  0412 1934  0428 1928  0500 1851  0534 1758  0608 1706  0647 1626  0718 1618
18  0719 1646  0645 1727  0559 1802  0505 1838  0426 1912  0412 1934  0429 1927  0501 1850  0535 1756  0609 1704  0648 1625  0718 1619
19  0718 1647  0644 1728  0557 1803  0504 1839  0425 1913  0412 1934  0430 1926  0502 1848  0536 1755  0610 1703  0649 1625  0719 1619
20  0718 1649  0642 1730  0555 1804  0502 1840  0424 1914  0412 1934  0431 1925  0503 1847  0537 1753  0611 1701  0651 1624  0719 1619
21  0717 1650  0641 1731  0553 1805  0500 1841  0423 1915  0413 1935  0431 1924  0504 1845  0538 1751  0613 1700  0652 1623  0720 1620
22  0716 1651  0639 1732  0552 1806  0459 1843  0422 1916  0413 1935  0432 1924  0505 1843  0539 1749  0614 1658  0653 1623  0720 1620
23  0715 1652  0638 1733  0550 1808  0457 1844  0421 1916  0413 1935  0433 1923  0506 1842  0540 1747  0615 1657  0654 1622  0721 1621
24  0715 1654  0636 1735  0548 1809  0456 1845  0420 1917  0413 1935  0434 1922  0507 1840  0541 1746  0616 1655  0655 1621  0721 1622
25  0714 1655  0634 1736  0546 1810  0454 1846  0420 1918  0414 1935  0435 1921  0508 1838  0542 1744  0618 1654  0657 1621  0722 1622
26  0713 1656  0633 1737  0545 1811  0453 1847  0419 1919  0414 1935  0436 1920  0510 1837  0543 1742  0619 1652  0658 1620  0722 1623
27  0712 1658  0631 1739  0543 1812  0451 1848  0418 1920  0414 1935  0437 1919  0511 1835  0545 1740  0620 1651  0659 1620  0722 1624
28  0711 1659  0630 1740  0541 1813  0450 1849  0418 1921  0415 1935  0438 1918  0512 1833  0546 1738  0621 1649  0700 1619  0723 1624
29  0710 1700             0539 1815  0448 1851  0417 1922  0415 1935  0439 1917  0513 1832  0547 1737  0623 1648  0701 1619  0723 1625
30  0709 1702             0537 1816  0447 1852  0416 1923  0416 1935  0440 1915  0514 1830  0548 1735  0624 1647  0702 1618  0723 1626
31  0708 1703             0536 1817             0416 1924             0441 1914  0515 1828             0625 1645             0723 1627
