Minneapolis
W09316N4458
01  0751 1642  0733 1721  0651 1801  0554 1841  0503 1919  0430 1953  0430 2003  0459 1940  0535 1850  0611 1754  0651 1701  0731 1633
02  0751 1643  0732 1723  0649 1802  0552 1842  0501 1920  0429 1953  0431 2003  0500 1938  0536 1848  0612 1752  0653 1700  0732 1633
03  0751 1644  0730 1724  0647 1803  0550 1843  0500 1921  0429 1954  0432 2003  0501 1937  0537 1846  0614 1750  0654 1659  0733 1632
04  0751 1645  0729 1725  0646 1805  0548 1845  0458 1922  0428 1955  0432 2003  0502 1936  0539 1845  0615 1748  0656 1657  0734 1632
05  0751 1646  0728 1727  0644 1806  0546 1846  0457 1923  0428 1956  0433 2002  0503 1934  0540 1843  0616 1746  0657 1656  0735 1632
06  0751 1647  0727 1728  0642 1807  0545 1847  0455 1925  0428 1956  0434 2002  0504 1933  0541 1841  0617 1744  0658 1655  0736 1632
07  0751 1648  0725 1730  0640 1809  0543 1848  0454 1926  0427 1957  0434 2001  0505 1931  0542 1839  0619 1743  0700 1653  0737 1632
08  0751 1650  0724 1731  0639 1810  0541 1850  0453 1927  0427 1958  0435 2001  0507 1930  0543 1837  0620 1741  0701 1652  0738 1632
09  0750 1651  0723 1733  0637 1811  0539 1851  0451 1928  0427 1958  0436 2000  0508 1929  0545 1835  0621 1739  0702 1651  0739 1632
10  0750 1652  0721 1734  0635 1813  0537 1852  0450 1930  0426 1959  0437 2000  0509 1927  0546 1833  0622 1737  0704 1650  0740 1632
11  0750 1653  0720 1735  0633 1814  0536 1853  0449 1931  0426 1959  0437 1959  0510 1926  0547 1832  0624 1735  0705 1649  0741 1632
12  0749 1654  0718 1737  0631 1815  0534 1855  0448 1932  0426 2000  0438 1959  0511 1924  0548 1830  0625 1734  0707 1647  0742 1632
13  0749 1655  0717 1738  0629 1816  0532 1856  0447 1933  0426 2001  0439 1958  0512 1923  0549 1828  0626 1732  0708 1646  0743 1632
14  0748 1657  0715 1740  0627 1818  0530 1857  0445 1934  0426 2001  0440 1958  0514 1921  0551 1826  0627 1730  0709 1645  0744 1632
15  0748 1658  0714 1741  0626 1819  0529 1858  0444 1935  0426 2001  0441 1957  0515 1919  0552 1824  0629 1728  0711 1644  0744 1632
16  0747 1659  0712 1743  0624 1820  0527 1900  0443 1936  0426 2002  0442 1956  0516 1918  0553 1822  0630 1727  0712 1643  0745 1632
17  0746 1700  0711 1744  0622 1822  0525 1901  0442 1938  0426 2002  0443 1955  0517 1916  0554 1820  0631 1725  0713 1642  0746 1633
18  0746 1702  0709 1745  0620 1823  0523 1902  0441 1939  0426 2002  0444 1954  0518 1915  0555 1818  0633 1723  0715 1641  0746 1633
19  0745 1703  0708 1747  0618 1824  0522 1904  0440 1940  0426 2003  0445 1954  0520 1913  0557 1816  0634 1721  0716 1641  0747 1633
20  0744 1704  0706 1748  0616 1826  0520 1905  0439 1941  0426 2003  0446 1953  0521 1911  0558 1814  0635 1720  0717 1640  0748 1634
21  0744 1706  0704 1750  0614 1827  0518 1906  0438 1942  0427 2003  0447 1952  0522 1910  0559 1812  0637 1718  0719 1639  0748 1634
22  0743 1707  0703 1751  0613 1828  0517 1907  0437 1943  0427 2003  0448 1951  0523 1908  0600 1811  0638 1716  0720 1638  0749 1635
23  0742 1708  0701 1752  0611 1829  0515 1909  0436 1944  0427 2004  0449 1950  0524 1906  0601 1809  0639 1715  0721 1637  0749 1635
24  0741 1710  0700 1754  0609 1831  0513 1910  0435 1945  0427 2004  0450 1949  0526 1904  0603 1807  0641 1713  0722 1637  0749 1636
25  0740 1711  0658 1755  0607 1832  0512 1911  0435 1946  0428 2004  0451 1948  0527 1903  0604 1805  0642 1712  0724 1636  0750 1637
26  0739 1713  0656 1756  0605 1833  0510 1912  0434 1947  0428 2004  0452 1947  0528 1901  0605 1803  0643 1710  0725 1636  0750 1637
27  0738 1714  0654 1758  0603 1834  0509 1914  0433 1948  0428 2004  0453 1946  0529 1859  0606 1801  0645 1709  0726 1635  0750 1638
28  0737 1715  0653 1759  0601 1836  0507 1915  0432 1949  0429 2004  0454 1944  0530 1857  0607 1759  0646 1707  0727 1634  0751 1639
29  0736 1717             0559 1837  0506 1916  0432 1950  0429 2004  0455 1943  0532 1856  0609 1757  0647 1706  0729 1634  0751 1640
30  0735 1718             0558 1838  0504 1917  0431 1951  0430 2003  0456 1942  0533 1854  0610 1755  0649 1704  0730 1634  0751 1640
31  0734 1720             0556 1840             0430 1952             0457 1941  0534 1852             0650 1703             0751 1641
