Moscow
E03735N5545
01  0859 1607  0824 1703  0722 1804  0601 1907  0448 2007  0354 2102  0350 2117  0434 2037  0534 1924  0632 1806  0735 1651  0835 1602
02  0859 1608  0822 1705  0719 1806  0559 1909  0445 2009  0353 2103  0351 2116  0436 2035  0536 1922  0634 1803  0737 1648  0836 1601
03  0859 1610  0820 1708  0717 1808  0556 1911  0443 2011  0352 2105  0351 2116  0438 2033  0538 1919  0636 1801  0739 1646  0838 1601
04  0858 1611  0818 1710  0714 1810  0554 1913  0441 2013  0351 2106  0352 2115  0440 2030  0540 1917  0638 1758  0742 1644  0839 1600
05  0858 1612  0816 1712  0712 1812  0551 1915  0439 2015  0350 2107  0353 2115  0442 2028  0542 1914  0640 1756  0744 1642  0841 1559
06  0857 1614  0814 1714  0709 1814  0549 1917  0437 2017  0349 2108  0354 2114  0444 2026  0543 1911  0642 1753  0746 1640  0842 1559
07  0857 1615  0812 1716  0706 1816  0546 1919  0435 2019  0348 2109  0355 2113  0446 2024  0545 1909  0644 1750  0748 1638  0844 1558
08  0856 1617  0810 1718  0704 1818  0543 1921  0432 2021  0348 2110  0357 2112  0447 2022  0547 1906  0646 1748  0750 1636  0845 1558
09  0855 1618  0808 1721  0701 1820  0541 1923  0430 2023  0347 2111  0358 2111  0449 2020  0549 1904  0648 1745  0752 1634  0846 1557
10  0855 1620  0806 1723  0659 1822  0538 1925  0428 2025  0347 2112  0359 2110  0451 2018  0551 1901  0650 1743  0754 1632  0848 1557
11  0854 1622  0804 1725  0656 1824  0536 1927  0426 2027  0346 2113  0400 2109  0453 2015  0553 1858  0652 1740  0756 1630  0849 1557
12  0853 1623  0802 1727  0654 1826  0533 1929  0424 2029  0346 2114  0402 2108  0455 2013  0555 1856  0654 1738  0758 1629  0850 1556
13  0852 1625  0759 1729  0651 1829  0531 1931  0423 2031  0345 2114  0403 2107  0457 2011  0557 1853  0656 1735  0800 1627  0851 1556
14  0851 1627  0757 1731  0648 1831  0528 1933  0421 2033  0345 2115  0404 2106  0459 2008  0559 1851  0658 1733  0802 1625  0852 1556
15  0850 1629  0755 1734  0646 1833  0526 1935  0419 2034  0345 2116  0406 2105  0501 2006  0601 1848  0700 1730  0804 1623  0853 1556
16  0849 1631  0753 1736  0643 1835  0523 1937  0417 2036  0345 2116  0407 2103  0503 2004  0603 1845  0702 1728  0806 1622  0854 1556
17  0848 1632  0750 1738  0641 1837  0521 1939  0415 2038  0344 2117  0409 2102  0505 2002  0605 1843  0704 1725  0808 1620  0855 1557
18  0846 1634  0748 1740  0638 1839  0518 1941  0413 2040  0344 2117  0410 2101  0507 1959  0607 1840  0706 1723  0810 1618  0856 1557
19  0845 1636  0746 1742  0635 1841  0516 1943  0412 2042  0344 2118  0412 2059  0509 1957  0608 1837  0708 1720  0812 1617  0856 1557
20  0844 1638  0743 1744  0633 1843  0513 1945  0410 2043  0345 2118  0413 2058  0511 1954  0610 1835  0710 1718  0814 1615  0857 1557
21  0842 1640  0741 1747  0630 1845  0511 1947  0408 2045  0345 2118  0415 2056  0512 1952  0612 1832  0712 1716  0816 1614  0858 1558
22  0841 1642  0739 1749  0628 1847  0508 1949  0407 2047  0345 2118  0417 2054  0514 1950  0614 1829  0714 1713  0818 1613  0858 1558
23  0839 1644  0736 1751  0625 1849  0506 1951  0405 2049  0345 2118  0418 2053  0516 1947  0616 1827  0716 1711  0820 1611  0858 1559
24  0838 1646  0734 1753  0622 1851  0504 1953  0404 2050  0346 2118  0420 2051  0518 1945  0618 1824  0718 1709  0822 1610  0859 1600
25  0836 1648  0731 1755  0620 1853  0501 1955  0402 2052  0346 2118  0422 2050  0520 1942  0620 1822  0720 1706  0824 1609  0859 1600
26  0835 1650  0729 1757  0617 1855  0459 1957  0401 2053  0346 2118  0423 2048  0522 1940  0622 1819  0723 1704  0826 1607  0859 1601
27  0833 1653  0727 1759  0614 1857  0457 1959  0400 2055  0347 2118  0425 2046  0524 1937  0624 1816  0725 1702  0828 1606  0900 1602
28  0831 1655  0724 1801  0612 1859  0454 2001  0358 2056  0348 2118  0427 2044  0526 1935  0626 1814  0727 1659  0829 1605  0900 1603
29  0829 1657             0609 1901  0452 2003  0357 2058  0348 2118  0429 2042  0528 1932  0628 1811  0729 1657  0831 1604  0900 1604
30  0828 1659             0607 1903  0450 2005  0356 2059  0349 2117  0431 2040  0530 1930  0630 1808  0731 1655  0833 1603  0900 1605
31  0826 1701             0604 1905             0355 2101             0432 2038  0532 1927             0733 1653             0900 1606
