NewDelhi
E07712N2836
01  0714 1736  0710 1800  0647 1821  0612 1839  0541 1856  0524 1914  0527 1923  0542 1912  0559 1843  0614 1808  0633 1736  0656 1724
02  0714 1736  0709 1801  0646 1822  0611 1840  0540 1857  0524 1915  0527 1923  0543 1912  0600 1842  0614 1806  0634 1736  0657 1724
03  0714 1737  0708 1802  0645 1822  0610 1840  0539 1857  0523 1915  0528 1923  0544 1911  0600 1841  0615 1805  0634 1735  0658 1724
04  0715 1738  0708 1803  0644 1823  0608 1841  0538 1858  0523 1916  0528 1923  0544 1910  0601 1840  0616 1804  0635 1734  0658 1724
05  0715 1738  0707 1804  0643 1823  0607 1841  0538 1859  0523 1916  0528 1923  0545 1909  0601 1839  0616 1803  0636 1733  0659 1724
06  0715 1739  0707 1804  0641 1824  0606 1842  0537 1859  0523 1917  0529 1923  0545 1909  0602 1837  0617 1802  0637 1733  0700 1724
07  0715 1740  0706 1805  0640 1825  0605 1842  0536 1900  0523 1917  0529 1923  0546 1908  0602 1836  0617 1801  0637 1732  0701 1724
08  0715 1741  0705 1806  0639 1825  0604 1843  0535 1900  0523 1918  0530 1923  0546 1907  0603 1835  0618 1800  0638 1732  0701 1724
09  0715 1741  0704 1807  0638 1826  0603 1843  0535 1901  0523 1918  0530 1922  0547 1906  0603 1834  0618 1758  0639 1731  0702 1725
10  0715 1742  0704 1807  0637 1826  0602 1844  0534 1902  0523 1918  0531 1922  0548 1905  0604 1833  0619 1757  0640 1730  0703 1725
11  0715 1743  0703 1808  0636 1827  0601 1845  0533 1902  0523 1919  0531 1922  0548 1904  0604 1831  0619 1756  0640 1730  0703 1725
12  0715 1744  0702 1809  0635 1828  0559 1845  0533 1903  0523 1919  0532 1922  0549 1904  0604 1830  0620 1755  0641 1729  0704 1725
13  0715 1745  0701 1810  0634 1828  0558 1846  0532 1903  0523 1920  0532 1921  0549 1903  0605 1829  0621 1754  0642 1729  0705 1726
14  0715 1745  0701 1810  0633 1829  0557 1846  0531 1904  0523 1920  0533 1921  0550 1902  0605 1828  0621 1753  0643 1728  0705 1726
15  0715 1746  0700 1811  0631 1829  0556 1847  0531 1905  0523 1920  0533 1921  0550 1901  0606 1827  0622 1752  0643 1728  0706 1726
16  0715 1747  0659 1812  0630 1830  0555 1847  0530 1905  0523 1921  0534 1921  0551 1900  0606 1825  0622 1751  0644 1727  0707 1727
17  0715 1748  0658 1813  0629 1831  0554 1848  0530 1906  0523 1921  0534 1920  0551 1859  0607 1824  0623 1750  0645 1727  0707 1727
18  0715 1749  0657 1813  0628 1831  0553 1849  0529 1906  0523 1921  0535 1920  0552 1858  0607 1823  0624 1749  0646 1727  0708 1727
19  0714 1750  0656 1814  0627 1832  0552 1849  0529 1907  0524 1921  0535 1919  0552 1857  0608 1822  0624 1748  0647 1726  0708 1728
20  0714 1750  0655 1815  0626 1832  0551 1850  0528 1908  0524 1922  0536 1919  0553 1856  0608 1821  0625 1747  0647 1726  0709 1728
21  0714 1751  0655 1816  0625 1833  0550 1850  0528 1908  0524 1922  0536 1919  0553 1855  0609 1819  0625 1746  0648 1726  0709 1729
22  0714 1752  0654 1816  0623 1833  0549 1851  0527 1909  0524 1922  0537 1918  0554 1854  0609 1818  0626 1745  0649 1725  0710 1729
23  0713 1753  0653 1817  0622 1834  0548 1851  0527 1909  0524 1922  0537 1918  0555 1853  0610 1817  0627 1744  0650 1725  0710 1730
24  0713 1754  0652 1818  0621 1835  0547 1852  0526 1910  0525 1922  0538 1917  0555 1852  0610 1816  0627 1743  0651 1725  0711 1730
25  0713 1755  0651 1818  0620 1835  0546 1853  0526 1911  0525 1923  0539 1917  0556 1851  0611 1815  0628 1742  0651 1725  0711 1731
26  0712 1755  0650 1819  0619 1836  0545 1853  0526 1911  0525 1923  0539 1916  0556 1850  0611 1813  0629 1741  0652 1724  0712 1732
27  0712 1756  0649 1820  0618 1836  0544 1854  0525 1912  0525 1923  0540 1915  0557 1849  0612 1812  0629 1740  0653 1724  0712 1732
28  0711 1757  0648 1820  0616 1837  0544 1854  0525 1912  0526 1923  0540 1915  0557 1848  0612 1811  0630 1740  0654 1724  0713 1733
29  0711 1758             0615 1837  0543 1855  0525 1913  0526 1923  0541 1914  0558 1846  0613 1810  0631 1739  0655 1724  0713 1733
30  0711 1759             0614 1838  0542 1856  0524 1913  0526 1923  0541 1914  0558 1845  0613 1809  0631 1738  0655 1724  0713 1734
31  0710 1759             0613 1838             0524 1914             0542 1913  0559 1844             0632 1737             0714 1735
