NewYork
W07355N4044 
01  0720 1639  0706 1713  0630 1747  0539 1820  0454 1852  0427 1921  0428 1931  0452 1911  0523 1828  0552 1738  0626 1652  0700 1629
02  0720 1640  0705 1715  0628 1748  0538 1821  0453 1853  0426 1921  0429 1931  0453 1910  0524 1826  0553 1736  0627 1651  0701 1629
03  0720 1641  0704 1716  0627 1749  0536 1822  0452 1854  0426 1922  0429 1930  0454 1909  0525 1825  0554 1735  0628 1650  0702 1628
04  0720 1642  0703 1717  0625 1750  0535 1824  0451 1855  0426 1923  0430 1930  0455 1908  0526 1823  0555 1733  0629 1649  0703 1628
05  0720 1643  0702 1718  0624 1751  0533 1825  0449 1856  0425 1923  0430 1930  0456 1907  0526 1821  0556 1731  0631 1647  0704 1628
06  0720 1644  0701 1719  0622 1753  0531 1826  0448 1857  0425 1924  0431 1930  0457 1905  0527 1820  0557 1730  0632 1646  0705 1628
07  0720 1645  0659 1721  0620 1754  0530 1827  0447 1858  0425 1925  0432 1929  0458 1904  0528 1818  0558 1728  0633 1645  0706 1628
08  0720 1645  0658 1722  0619 1755  0528 1828  0446 1859  0424 1925  0432 1929  0459 1903  0529 1817  0559 1726  0634 1644  0707 1628
09  0720 1647  0657 1723  0617 1756  0526 1829  0445 1900  0424 1926  0433 1929  0500 1902  0530 1815  0600 1725  0635 1643  0708 1628
10  0719 1648  0656 1724  0616 1757  0525 1830  0444 1901  0424 1926  0434 1928  0501 1900  0531 1813  0601 1723  0637 1642  0709 1628
11  0719 1649  0655 1726  0614 1758  0523 1831  0443 1902  0424 1927  0434 1928  0502 1859  0532 1812  0602 1722  0638 1641  0710 1628
12  0719 1650  0654 1727  0612 1759  0522 1832  0442 1903  0424 1927  0435 1927  0503 1858  0533 1810  0604 1720  0639 1640  0710 1628
13  0718 1651  0652 1728  0611 1800  0520 1833  0441 1904  0424 1928  0436 1927  0504 1856  0534 1808  0605 1719  0640 1639  0711 1629
14  0718 1652  0651 1729  0609 1801  0519 1834  0440 1905  0424 1928  0436 1926  0505 1855  0535 1806  0606 1717  0641 1639  0712 1629
15  0718 1653  0650 1730  0607 1802  0517 1835  0439 1906  0424 1929  0437 1926  0506 1854  0536 1805  0607 1715  0642 1638  0713 1629
16  0717 1654  0648 1732  0606 1803  0516 1836  0438 1907  0424 1929  0438 1925  0507 1852  0537 1803  0608 1714  0644 1637  0713 1629
17  0717 1655  0647 1733  0604 1805  0514 1837  0437 1908  0424 1929  0439 1924  0508 1851  0538 1801  0609 1712  0645 1636  0714 1630
18  0716 1656  0646 1734  0603 1806  0513 1838  0436 1909  0424 1930  0440 1924  0509 1850  0539 1800  0610 1711  0646 1635  0715 1630
19  0716 1658  0644 1735  0601 1807  0511 1839  0435 1910  0424 1930  0441 1923  0510 1848  0540 1758  0611 1710  0647 1635  0715 1630
20  0715 1659  0643 1736  0559 1808  0510 1840  0434 1911  0424 1930  0441 1922  0511 1847  0541 1756  0612 1708  0648 1634  0716 1631
21  0715 1700  0642 1738  0558 1809  0508 1841  0433 1912  0425 1930  0442 1922  0512 1845  0542 1755  0613 1707  0649 1633  0716 1631
22  0714 1701  0640 1739  0556 1810  0507 1842  0433 1912  0425 1931  0443 1921  0513 1844  0543 1753  0614 1705  0651 1633  0717 1632
23  0713 1702  0639 1740  0554 1811  0505 1843  0432 1913  0425 1931  0444 1920  0514 1842  0544 1751  0616 1704  0652 1632  0717 1632
24  0713 1703  0637 1741  0553 1812  0504 1844  0431 1914  0425 1931  0445 1919  0515 1841  0545 1750  0617 1702  0653 1632  0718 1633
25  0712 1705  0636 1742  0551 1813  0502 1846  0431 1915  0426 1931  0446 1918  0516 1839  0546 1748  0618 1701  0654 1631  0718 1634
26  0711 1706  0634 1743  0549 1814  0501 1847  0430 1916  0426 1931  0447 1917  0517 1838  0547 1746  0619 1700  0655 1631  0718 1634
27  0710 1707  0633 1745  0548 1815  0500 1848  0429 1917  0426 1931  0448 1916  0518 1836  0548 1745  0620 1658  0656 1630  0719 1635
28  0709 1708  0631 1746  0546 1816  0458 1849  0429 1918  0427 1931  0449 1915  0519 1834  0549 1743  0621 1657  0657 1630  0719 1636
29  0709 1710             0544 1817  0457 1850  0428 1918  0427 1931  0449 1914  0520 1833  0550 1741  0622 1656  0658 1630  0719 1636
30  0708 1711             0543 1818  0456 1851  0428 1919  0428 1931  0450 1913  0521 1831  0551 1740  0624 1655  0659 1629  0719 1637
31  0707 1712             0541 1819             0427 1920             0451 1912  0522 1830             0625 1653             0720 1638
