Paris
E00220N4852
01  0844 1704  0821 1748  0733 1834  0629 1921  0531 2006  0452 2046  0451 2058  0524 2030  0607 1933  0650 1830  0737 1731  0822 1657
02  0844 1705  0820 1750  0731 1835  0627 1923  0529 2007  0451 2047  0452 2057  0525 2028  0608 1931  0651 1828  0739 1729  0824 1656
03  0844 1706  0818 1751  0729 1837  0625 1924  0527 2009  0451 2048  0452 2057  0526 2027  0610 1929  0653 1826  0740 1727  0825 1656
04  0844 1708  0817 1753  0727 1839  0623 1926  0526 2010  0450 2048  0453 2057  0528 2025  0611 1927  0654 1824  0742 1726  0826 1655
05  0844 1709  0815 1755  0725 1840  0621 1927  0524 2012  0449 2049  0454 2056  0529 2023  0613 1925  0656 1822  0744 1724  0827 1655
06  0844 1710  0814 1756  0723 1842  0619 1929  0522 2013  0449 2050  0455 2056  0530 2022  0614 1923  0657 1820  0745 1723  0829 1655
07  0843 1711  0812 1758  0721 1843  0616 1930  0521 2014  0449 2051  0455 2055  0532 2020  0615 1921  0659 1818  0747 1721  0830 1654
08  0843 1712  0811 1800  0719 1845  0614 1932  0519 2016  0448 2052  0456 2055  0533 2019  0617 1919  0700 1816  0748 1720  0831 1654
09  0842 1713  0809 1801  0717 1846  0612 1933  0518 2017  0448 2052  0457 2054  0535 2017  0618 1917  0702 1814  0750 1718  0832 1654
10  0842 1715  0808 1803  0715 1848  0610 1935  0516 2019  0447 2053  0458 2054  0536 2015  0620 1915  0703 1811  0752 1717  0833 1654
11  0842 1716  0806 1804  0713 1849  0608 1936  0515 2020  0447 2054  0459 2053  0537 2014  0621 1913  0705 1809  0753 1716  0834 1654
12  0841 1717  0804 1806  0711 1851  0606 1938  0513 2022  0447 2054  0500 2052  0539 2012  0623 1910  0706 1807  0755 1714  0835 1654
13  0840 1719  0803 1808  0709 1852  0604 1939  0512 2023  0447 2055  0501 2051  0540 2010  0624 1908  0708 1805  0756 1713  0836 1654
14  0840 1720  0801 1809  0707 1854  0602 1941  0511 2024  0447 2055  0502 2051  0542 2008  0625 1906  0709 1803  0758 1712  0837 1654
15  0839 1721  0759 1811  0705 1856  0600 1942  0509 2026  0447 2056  0503 2050  0543 2006  0627 1904  0711 1802  0759 1711  0837 1654
16  0838 1723  0758 1813  0703 1857  0558 1944  0508 2027  0446 2056  0504 2049  0544 2005  0628 1902  0712 1800  0801 1709  0838 1654
17  0838 1724  0756 1814  0700 1859  0556 1945  0507 2028  0446 2057  0505 2048  0546 2003  0630 1900  0714 1758  0802 1708  0839 1655
18  0837 1726  0754 1816  0658 1900  0555 1947  0505 2030  0447 2057  0506 2047  0547 2001  0631 1858  0715 1756  0804 1707  0840 1655
19  0836 1727  0752 1818  0656 1902  0553 1948  0504 2031  0447 2057  0507 2046  0549 1959  0633 1856  0717 1754  0806 1706  0840 1655
20  0835 1729  0750 1819  0654 1903  0551 1950  0503 2032  0447 2058  0508 2045  0550 1957  0634 1853  0718 1752  0807 1705  0841 1656
21  0834 1730  0749 1821  0652 1905  0549 1951  0502 2033  0447 2058  0510 2044  0551 1955  0635 1851  0720 1750  0809 1704  0841 1656
22  0833 1732  0747 1822  0650 1906  0547 1953  0501 2035  0447 2058  0511 2043  0553 1953  0637 1849  0721 1748  0810 1703  0842 1657
23  0832 1733  0745 1824  0648 1908  0545 1954  0500 2036  0447 2058  0512 2042  0554 1951  0638 1847  0723 1746  0811 1702  0842 1657
24  0831 1735  0743 1826  0646 1909  0543 1956  0459 2037  0448 2058  0513 2040  0556 1950  0640 1845  0725 1745  0813 1701  0843 1658
25  0830 1737  0741 1827  0644 1911  0541 1957  0458 2038  0448 2058  0515 2039  0557 1948  0641 1843  0726 1743  0814 1701  0843 1658
26  0829 1738  0739 1829  0642 1912  0540 1958  0457 2039  0449 2058  0516 2038  0559 1946  0643 1841  0728 1741  0816 1700  0843 1659
27  0828 1740  0737 1831  0639 1914  0538 2000  0456 2040  0449 2058  0517 2037  0600 1944  0644 1839  0729 1739  0817 1659  0844 1700
28  0826 1741  0735 1832  0637 1915  0536 2001  0455 2042  0449 2058  0518 2035  0601 1942  0645 1836  0731 1737  0819 1658  0844 1701
29  0825 1743             0635 1917  0534 2003  0454 2043  0450 2058  0520 2034  0603 1940  0647 1834  0732 1736  0820 1658  0844 1701
30  0824 1745             0633 1918  0532 2004  0453 2044  0450 2058  0521 2032  0604 1938  0648 1832  0734 1734  0821 1657  0844 1702
31  0823 1746             0631 1920             0453 2045             0522 2031  0606 1936             0736 1732             0844 1703
