Phoenix
W11205N3330
01  0733 1732  0724 1800  0657 1825  0616 1849  0540 1911  0519 1933  0522 1942  0541 1928  0602 1854  0623 1813  0647 1736  0714 1720
02  0733 1732  0724 1801  0655 1826  0615 1850  0539 1912  0519 1934  0523 1942  0542 1927  0603 1852  0623 1811  0648 1735  0715 1720
03  0733 1733  0723 1802  0654 1827  0613 1850  0538 1913  0519 1934  0523 1942  0542 1926  0604 1851  0624 1810  0649 1734  0716 1720
04  0733 1734  0722 1803  0653 1828  0612 1851  0537 1914  0519 1935  0523 1942  0543 1925  0604 1850  0625 1809  0650 1734  0717 1720
05  0733 1735  0721 1804  0652 1828  0611 1852  0536 1914  0518 1935  0524 1942  0544 1925  0605 1848  0626 1807  0651 1733  0718 1720
06  0733 1736  0721 1805  0650 1829  0609 1853  0535 1915  0518 1936  0524 1942  0544 1924  0606 1847  0626 1806  0652 1732  0719 1720
07  0733 1736  0720 1806  0649 1830  0608 1853  0534 1916  0518 1936  0525 1941  0545 1923  0606 1846  0627 1805  0653 1731  0719 1720
08  0733 1737  0719 1807  0648 1831  0607 1854  0533 1917  0518 1937  0525 1941  0546 1922  0607 1844  0628 1803  0653 1730  0720 1720
09  0733 1738  0718 1807  0647 1832  0605 1855  0533 1917  0518 1937  0526 1941  0546 1921  0608 1843  0628 1802  0654 1730  0721 1720
10  0733 1739  0717 1808  0645 1832  0604 1856  0532 1918  0518 1938  0526 1941  0547 1920  0608 1842  0629 1801  0655 1729  0722 1721
11  0733 1740  0716 1809  0644 1833  0603 1856  0531 1919  0518 1938  0527 1940  0548 1919  0609 1840  0630 1800  0656 1728  0722 1721
12  0733 1741  0715 1810  0643 1834  0602 1857  0530 1920  0518 1939  0528 1940  0549 1918  0610 1839  0631 1758  0657 1728  0723 1721
13  0733 1742  0714 1811  0641 1835  0600 1858  0529 1920  0518 1939  0528 1940  0549 1917  0610 1837  0631 1757  0658 1727  0724 1721
14  0733 1743  0713 1812  0640 1835  0559 1858  0529 1921  0518 1939  0529 1939  0550 1915  0611 1836  0632 1756  0659 1726  0724 1722
15  0732 1743  0712 1813  0639 1836  0558 1859  0528 1922  0518 1940  0529 1939  0551 1914  0612 1835  0633 1755  0700 1726  0725 1722
16  0732 1744  0711 1814  0637 1837  0557 1900  0527 1923  0518 1940  0530 1938  0551 1913  0612 1833  0634 1753  0701 1725  0726 1722
17  0732 1745  0710 1815  0636 1838  0556 1901  0527 1923  0518 1940  0531 1938  0552 1912  0613 1832  0635 1752  0702 1725  0726 1723
18  0732 1746  0709 1816  0635 1838  0554 1901  0526 1924  0518 1941  0531 1938  0553 1911  0614 1831  0635 1751  0703 1724  0727 1723
19  0731 1747  0708 1817  0633 1839  0553 1902  0525 1925  0518 1941  0532 1937  0553 1910  0614 1829  0636 1750  0704 1724  0728 1724
20  0731 1748  0707 1817  0632 1840  0552 1903  0525 1925  0519 1941  0533 1936  0554 1909  0615 1828  0637 1749  0705 1723  0728 1724
21  0731 1749  0706 1818  0631 1841  0551 1904  0524 1926  0519 1941  0533 1936  0555 1907  0616 1826  0638 1748  0705 1723  0729 1724
22  0730 1750  0705 1819  0629 1841  0550 1904  0524 1927  0519 1942  0534 1935  0556 1906  0616 1825  0639 1746  0706 1722  0729 1725
23  0730 1751  0704 1820  0628 1842  0549 1905  0523 1927  0519 1942  0535 1935  0556 1905  0617 1824  0639 1745  0707 1722  0730 1725
24  0729 1752  0703 1821  0627 1843  0547 1906  0522 1928  0520 1942  0535 1934  0557 1904  0618 1822  0640 1744  0708 1722  0730 1726
25  0729 1753  0701 1822  0625 1844  0546 1907  0522 1929  0520 1942  0536 1933  0558 1903  0618 1821  0641 1743  0709 1721  0730 1727
26  0728 1754  0700 1823  0624 1844  0545 1907  0522 1930  0520 1942  0537 1933  0558 1901  0619 1819  0642 1742  0710 1721  0731 1727
27  0728 1755  0659 1823  0623 1845  0544 1908  0521 1930  0521 1942  0537 1932  0559 1900  0620 1818  0643 1741  0711 1721  0731 1728
28  0727 1756  0658 1824  0621 1846  0543 1909  0521 1931  0521 1942  0538 1931  0600 1859  0621 1817  0644 1740  0712 1721  0732 1729
29  0726 1757             0620 1847  0542 1910  0520 1931  0521 1942  0539 1930  0600 1858  0621 1815  0645 1739  0713 1720  0732 1729
30  0726 1758             0619 1847  0541 1911  0520 1932  0522 1942  0539 1930  0601 1856  0622 1814  0645 1738  0714 1720  0732 1730
31  0725 1759             0617 1848             0520 1933             0540 1929  0602 1855             0646 1737             0732 1731
