Pittsburgh
W07958N4026
01  0743 1704  0729 1738  0654 1811  0604 1844  0519 1915  0452 1944  0453 1954  0517 1935  0547 1852  0616 1802  0650 1717  0724 1654
02  0743 1705  0728 1739  0652 1812  0602 1845  0518 1916  0451 1945  0454 1954  0518 1934  0548 1850  0617 1800  0651 1716  0725 1654
03  0743 1706  0727 1741  0651 1814  0601 1846  0517 1917  0451 1945  0454 1954  0519 1932  0549 1849  0618 1759  0652 1714  0726 1654
04  0743 1707  0726 1742  0649 1815  0559 1848  0515 1918  0451 1946  0455 1954  0520 1931  0550 1847  0619 1757  0653 1713  0727 1653
05  0743 1708  0725 1743  0648 1816  0557 1849  0514 1920  0450 1947  0456 1953  0521 1930  0551 1845  0620 1756  0654 1712  0728 1653
06  0743 1709  0724 1744  0646 1817  0556 1850  0513 1921  0450 1947  0456 1953  0522 1929  0552 1844  0621 1754  0655 1711  0729 1653
07  0743 1710  0723 1745  0644 1818  0554 1851  0512 1922  0450 1948  0457 1953  0523 1928  0553 1842  0622 1752  0657 1710  0729 1653
08  0743 1711  0722 1747  0643 1819  0553 1852  0511 1923  0450 1949  0457 1952  0524 1927  0554 1841  0623 1751  0658 1709  0730 1653
09  0743 1712  0721 1748  0641 1820  0551 1853  0510 1924  0449 1949  0458 1952  0525 1925  0555 1839  0624 1749  0659 1708  0731 1653
10  0743 1713  0720 1749  0640 1821  0549 1854  0509 1925  0449 1950  0459 1952  0526 1924  0556 1837  0625 1748  0700 1707  0732 1653
11  0742 1714  0718 1750  0638 1822  0548 1855  0508 1926  0449 1950  0459 1951  0527 1923  0557 1836  0626 1746  0701 1706  0733 1653
12  0742 1715  0717 1752  0636 1823  0546 1856  0507 1927  0449 1951  0500 1951  0528 1921  0558 1834  0628 1745  0702 1705  0734 1654
13  0742 1716  0716 1753  0635 1824  0545 1857  0506 1927  0449 1951  0501 1950  0529 1920  0559 1832  0629 1743  0704 1704  0734 1654
14  0742 1717  0715 1754  0633 1826  0543 1858  0505 1928  0449 1951  0502 1950  0530 1919  0600 1831  0630 1741  0705 1703  0735 1654
15  0741 1718  0713 1755  0632 1827  0542 1859  0504 1929  0449 1952  0502 1949  0531 1917  0601 1829  0631 1740  0706 1703  0736 1654
16  0741 1719  0712 1756  0630 1828  0540 1900  0503 1930  0449 1952  0503 1948  0532 1916  0602 1827  0632 1738  0707 1702  0737 1654
17  0740 1720  0711 1757  0628 1829  0539 1901  0502 1931  0449 1953  0504 1948  0533 1915  0602 1825  0633 1737  0708 1701  0737 1655
18  0740 1721  0709 1759  0627 1830  0537 1902  0501 1932  0449 1953  0505 1947  0534 1913  0603 1824  0634 1736  0709 1700  0738 1655
19  0739 1722  0708 1800  0625 1831  0536 1903  0500 1933  0449 1953  0506 1946  0535 1912  0604 1822  0635 1734  0711 1700  0738 1656
20  0739 1724  0707 1801  0623 1832  0534 1904  0459 1934  0450 1953  0506 1946  0536 1910  0605 1820  0636 1733  0712 1659  0739 1656
21  0738 1725  0705 1802  0622 1833  0533 1905  0458 1935  0450 1954  0507 1945  0536 1909  0606 1819  0637 1731  0713 1658  0740 1657
22  0737 1726  0704 1803  0620 1834  0531 1906  0458 1936  0450 1954  0508 1944  0537 1907  0607 1817  0638 1730  0714 1658  0740 1657
23  0737 1727  0703 1804  0618 1835  0530 1907  0457 1937  0450 1954  0509 1943  0538 1906  0608 1815  0639 1728  0715 1657  0741 1658
24  0736 1728  0701 1806  0617 1836  0528 1908  0456 1938  0451 1954  0510 1942  0539 1904  0609 1814  0641 1727  0716 1657  0741 1658
25  0735 1730  0700 1807  0615 1837  0527 1909  0456 1938  0451 1954  0511 1942  0540 1903  0610 1812  0642 1726  0717 1656  0741 1659
26  0735 1731  0658 1808  0614 1838  0526 1910  0455 1939  0451 1954  0512 1941  0541 1901  0611 1810  0643 1724  0718 1656  0742 1659
27  0734 1732  0657 1809  0612 1839  0524 1911  0454 1940  0452 1954  0513 1940  0542 1900  0612 1809  0644 1723  0720 1655  0742 1700
28  0733 1733  0655 1810  0610 1840  0523 1912  0454 1941  0452 1954  0513 1939  0543 1858  0613 1807  0645 1722  0721 1655  0742 1701
29  0732 1734             0609 1841  0522 1913  0453 1942  0452 1954  0514 1938  0544 1857  0614 1805  0646 1720  0722 1655  0743 1702
30  0731 1736             0607 1842  0520 1914  0453 1943  0453 1954  0515 1937  0545 1855  0615 1804  0647 1719  0723 1654  0743 1702
31  0730 1737             0605 1843             0452 1943             0516 1936  0546 1853             0649 1718             0743 1703
