RiodeJaneiro
W04313S2243
01  0511 1842  0533 1840  0549 1821  0601 1752  0612 1728  0626 1715  0634 1720  0627 1732  0603 1743  0534 1752  0508 1805  0459 1825
02  0512 1842  0534 1839  0549 1820  0601 1751  0613 1727  0626 1715  0634 1720  0626 1732  0602 1743  0533 1752  0507 1806  0459 1825
03  0513 1842  0534 1839  0550 1820  0602 1750  0613 1726  0627 1715  0634 1720  0626 1733  0601 1743  0532 1752  0507 1806  0459 1826
04  0513 1842  0535 1838  0550 1819  0602 1750  0613 1726  0627 1715  0634 1721  0625 1733  0600 1744  0531 1753  0506 1807  0500 1827
05  0514 1843  0536 1838  0551 1818  0602 1749  0614 1725  0627 1715  0634 1721  0624 1734  0559 1744  0530 1753  0506 1808  0500 1827
06  0515 1843  0536 1837  0551 1817  0603 1748  0614 1724  0628 1715  0634 1721  0624 1734  0559 1744  0529 1753  0505 1808  0500 1828
07  0515 1843  0537 1837  0551 1816  0603 1747  0615 1724  0628 1715  0634 1722  0623 1734  0558 1745  0528 1754  0505 1809  0500 1829
08  0516 1843  0538 1836  0552 1815  0603 1746  0615 1723  0629 1715  0634 1722  0623 1735  0557 1745  0527 1754  0504 1809  0500 1829
09  0517 1843  0538 1836  0552 1814  0604 1745  0616 1723  0629 1715  0634 1723  0622 1735  0556 1745  0526 1755  0504 1810  0501 1830
10  0517 1843  0539 1835  0553 1813  0604 1744  0616 1722  0629 1715  0634 1723  0621 1735  0555 1745  0525 1755  0503 1811  0501 1831
11  0518 1843  0539 1835  0553 1812  0604 1743  0617 1722  0630 1715  0634 1723  0621 1736  0554 1746  0524 1755  0503 1811  0501 1831
12  0519 1843  0540 1834  0554 1811  0605 1742  0617 1721  0630 1715  0633 1724  0620 1736  0553 1746  0523 1756  0502 1812  0501 1832
13  0520 1843  0541 1833  0554 1810  0605 1741  0617 1721  0630 1716  0633 1724  0619 1737  0552 1746  0522 1756  0502 1813  0502 1833
14  0520 1843  0541 1833  0554 1810  0605 1741  0618 1720  0631 1716  0633 1725  0618 1737  0551 1747  0522 1757  0502 1813  0502 1833
15  0521 1843  0542 1832  0555 1809  0606 1740  0618 1720  0631 1716  0633 1725  0618 1737  0550 1747  0521 1757  0501 1814  0502 1834
16  0522 1843  0542 1831  0555 1808  0606 1739  0619 1720  0631 1716  0633 1725  0617 1738  0549 1747  0520 1757  0501 1814  0503 1834
17  0522 1843  0543 1831  0555 1807  0607 1738  0619 1719  0631 1716  0633 1726  0616 1738  0548 1747  0519 1758  0501 1815  0503 1835
18  0523 1843  0543 1830  0556 1806  0607 1737  0620 1719  0632 1716  0632 1726  0615 1738  0547 1748  0518 1758  0501 1816  0504 1835
19  0524 1843  0544 1829  0556 1805  0607 1736  0620 1718  0632 1716  0632 1727  0615 1739  0546 1748  0517 1759  0500 1816  0504 1836
20  0525 1843  0544 1828  0557 1804  0608 1736  0621 1718  0632 1717  0632 1727  0614 1739  0545 1748  0517 1759  0500 1817  0504 1836
21  0525 1843  0545 1828  0557 1803  0608 1735  0621 1718  0632 1717  0631 1727  0613 1739  0544 1749  0516 1800  0500 1818  0505 1837
22  0526 1843  0545 1827  0557 1802  0609 1734  0621 1717  0633 1717  0631 1728  0612 1740  0543 1749  0515 1800  0500 1819  0505 1837
23  0527 1842  0546 1826  0558 1801  0609 1733  0622 1717  0633 1717  0631 1728  0611 1740  0542 1749  0514 1801  0500 1819  0506 1838
24  0527 1842  0546 1825  0558 1800  0609 1732  0622 1717  0633 1718  0630 1729  0610 1740  0541 1750  0513 1801  0459 1820  0507 1838
25  0528 1842  0547 1825  0558 1759  0610 1732  0623 1717  0633 1718  0630 1729  0610 1741  0540 1750  0513 1802  0459 1821  0507 1839
26  0529 1842  0547 1824  0559 1758  0610 1731  0623 1716  0633 1718  0630 1729  0609 1741  0539 1750  0512 1802  0459 1821  0508 1839
27  0530 1841  0548 1823  0559 1757  0611 1730  0624 1716  0634 1718  0629 1730  0608 1741  0538 1750  0511 1803  0459 1822  0508 1840
28  0530 1841  0548 1822  0559 1756  0611 1730  0624 1716  0634 1719  0629 1730  0607 1742  0537 1751  0511 1803  0459 1823  0509 1840
29  0531 1841             0600 1755  0611 1729  0625 1716  0634 1719  0628 1731  0606 1742  0536 1751  0510 1804  0459 1823  0509 1840
30  0532 1840             0600 1754  0612 1728  0625 1716  0634 1719  0628 1731  0605 1742  0535 1751  0509 1804  0459 1824  0510 1841
31  0532 1840             0600 1753             0625 1716             0627 1732  0604 1742             0509 1805             0511 1841
