Rome
E01230N4153
01  0738 1650  0723 1725  0645 1800  0553 1835  0507 1908  0438 1939  0439 1949  0503 1929  0535 1844  0607 1752  0642 1705  0718 1640
02  0738 1650  0722 1726  0644 1801  0552 1836  0505 1909  0437 1939  0439 1949  0504 1927  0536 1842  0608 1750  0643 1703  0719 1640
03  0738 1651  0721 1727  0642 1802  0550 1837  0504 1910  0437 1940  0440 1949  0505 1926  0537 1841  0609 1749  0645 1702  0720 1639
04  0738 1652  0720 1729  0641 1803  0548 1839  0503 1911  0436 1941  0440 1948  0506 1925  0538 1839  0610 1747  0646 1701  0721 1639
05  0738 1653  0719 1730  0639 1805  0547 1840  0502 1913  0436 1941  0441 1948  0507 1924  0540 1837  0611 1745  0647 1700  0722 1639
06  0738 1654  0717 1731  0637 1806  0545 1841  0500 1914  0436 1942  0441 1948  0508 1923  0541 1836  0612 1744  0648 1659  0723 1639
07  0738 1655  0716 1733  0636 1807  0543 1842  0459 1915  0435 1943  0442 1948  0510 1921  0542 1834  0613 1742  0649 1657  0724 1639
08  0738 1656  0715 1734  0634 1808  0542 1843  0458 1916  0435 1943  0443 1947  0511 1920  0543 1832  0614 1740  0651 1656  0725 1639
09  0737 1657  0714 1735  0633 1809  0540 1844  0457 1917  0435 1944  0443 1947  0512 1919  0544 1830  0615 1739  0652 1655  0726 1639
10  0737 1658  0713 1736  0631 1810  0538 1845  0456 1918  0435 1944  0444 1946  0513 1917  0545 1829  0616 1737  0653 1654  0726 1639
11  0737 1659  0711 1738  0629 1812  0537 1846  0454 1919  0435 1945  0445 1946  0514 1916  0546 1827  0617 1735  0654 1653  0727 1639
12  0737 1700  0710 1739  0627 1813  0535 1847  0453 1920  0434 1945  0446 1945  0515 1915  0547 1825  0619 1734  0656 1652  0728 1639
13  0736 1701  0709 1740  0626 1814  0533 1848  0452 1921  0434 1946  0446 1945  0516 1913  0548 1823  0620 1732  0657 1651  0729 1639
14  0736 1703  0707 1741  0624 1815  0532 1850  0451 1922  0434 1946  0447 1944  0517 1912  0549 1822  0621 1731  0658 1650  0730 1639
15  0735 1704  0706 1743  0622 1816  0530 1851  0450 1923  0434 1947  0448 1944  0518 1911  0550 1820  0622 1729  0659 1649  0730 1640
16  0735 1705  0705 1744  0621 1817  0529 1852  0449 1924  0434 1947  0449 1943  0519 1909  0551 1818  0623 1727  0700 1649  0731 1640
17  0734 1706  0703 1745  0619 1818  0527 1853  0448 1925  0434 1948  0449 1942  0520 1908  0552 1816  0624 1726  0702 1648  0732 1640
18  0734 1707  0702 1746  0617 1820  0526 1854  0447 1926  0434 1948  0450 1942  0521 1906  0553 1815  0625 1724  0703 1647  0732 1641
19  0733 1708  0701 1748  0616 1821  0524 1855  0446 1927  0435 1948  0451 1941  0522 1905  0554 1813  0627 1723  0704 1646  0733 1641
20  0733 1710  0659 1749  0614 1822  0522 1856  0446 1928  0435 1948  0452 1940  0523 1903  0555 1811  0628 1721  0705 1646  0734 1641
21  0732 1711  0658 1750  0612 1823  0521 1857  0445 1929  0435 1949  0453 1939  0524 1902  0556 1810  0629 1720  0706 1645  0734 1642
22  0731 1712  0656 1751  0610 1824  0519 1858  0444 1930  0435 1949  0454 1939  0525 1900  0557 1808  0630 1718  0708 1644  0735 1642
23  0731 1713  0655 1753  0609 1825  0518 1859  0443 1931  0435 1949  0455 1938  0526 1859  0558 1806  0631 1717  0709 1644  0735 1643
24  0730 1715  0653 1754  0607 1826  0516 1901  0442 1932  0436 1949  0456 1937  0527 1857  0559 1804  0632 1715  0710 1643  0736 1644
25  0729 1716  0652 1755  0605 1827  0515 1902  0442 1933  0436 1949  0457 1936  0528 1855  0600 1803  0634 1714  0711 1642  0736 1644
26  0728 1717  0650 1756  0604 1829  0514 1903  0441 1934  0436 1949  0458 1935  0529 1854  0601 1801  0635 1713  0712 1642  0736 1645
27  0728 1718  0649 1758  0602 1830  0512 1904  0440 1934  0437 1949  0459 1934  0530 1852  0602 1759  0636 1711  0713 1641  0737 1645
28  0727 1720  0647 1759  0600 1831  0511 1905  0440 1935  0437 1949  0500 1933  0531 1851  0603 1757  0637 1710  0715 1641  0737 1646
29  0726 1721             0559 1832  0509 1906  0439 1936  0438 1949  0500 1932  0532 1849  0604 1756  0638 1708  0716 1641  0737 1647
30  0725 1722             0557 1833  0508 1907  0439 1937  0438 1949  0501 1931  0533 1847  0605 1754  0640 1707  0717 1640  0737 1648
31  0724 1724             0555 1834             0438 1938             0502 1930  0534 1846             0641 1706             0738 1648
