SanDiego
W11708N3245
01  0651 1654  0643 1721  0616 1746  0537 1809  0501 1830  0441 1852  0444 1901  0503 1847  0523 1813  0543 1733  0606 1658  0633 1642
02  0651 1654  0643 1722  0615 1747  0535 1809  0500 1831  0441 1852  0445 1900  0503 1846  0524 1812  0543 1732  0607 1657  0634 1642
03  0651 1655  0642 1723  0614 1747  0534 1810  0500 1832  0441 1853  0445 1900  0504 1845  0525 1811  0544 1731  0608 1656  0635 1642
04  0652 1656  0641 1724  0613 1748  0533 1811  0459 1833  0441 1853  0446 1900  0505 1844  0525 1809  0545 1729  0609 1655  0635 1642
05  0652 1657  0640 1725  0611 1749  0531 1812  0458 1833  0441 1854  0446 1900  0505 1843  0526 1808  0545 1728  0610 1654  0636 1642
06  0652 1658  0640 1726  0610 1750  0530 1812  0457 1834  0440 1854  0447 1900  0506 1843  0527 1807  0546 1727  0611 1653  0637 1642
07  0652 1658  0639 1727  0609 1751  0529 1813  0456 1835  0440 1855  0447 1900  0507 1842  0527 1805  0547 1725  0612 1653  0638 1642
08  0652 1659  0638 1728  0608 1751  0528 1814  0455 1835  0440 1855  0448 1900  0507 1841  0528 1804  0548 1724  0612 1652  0639 1642
09  0652 1700  0637 1729  0606 1752  0526 1814  0454 1836  0440 1856  0448 1859  0508 1840  0528 1803  0548 1723  0613 1651  0639 1643
10  0652 1701  0636 1730  0605 1753  0525 1815  0453 1837  0440 1856  0449 1859  0509 1839  0529 1801  0549 1722  0614 1650  0640 1643
11  0652 1702  0635 1731  0604 1754  0524 1816  0453 1838  0440 1857  0449 1859  0509 1838  0530 1800  0550 1720  0615 1650  0641 1643
12  0652 1703  0635 1731  0603 1754  0523 1816  0452 1838  0440 1857  0450 1858  0510 1837  0530 1759  0550 1719  0616 1649  0641 1643
13  0651 1704  0634 1732  0601 1755  0521 1817  0451 1839  0440 1857  0450 1858  0511 1836  0531 1757  0551 1718  0617 1649  0642 1643
14  0651 1704  0633 1733  0600 1756  0520 1818  0450 1840  0440 1858  0451 1858  0511 1835  0532 1756  0552 1717  0618 1648  0643 1644
15  0651 1705  0632 1734  0559 1757  0519 1819  0450 1841  0440 1858  0451 1857  0512 1833  0532 1755  0553 1715  0619 1647  0643 1644
16  0651 1706  0631 1735  0558 1757  0518 1819  0449 1841  0440 1858  0452 1857  0513 1832  0533 1753  0553 1714  0620 1647  0644 1644
17  0651 1707  0630 1736  0556 1758  0517 1820  0448 1842  0440 1859  0453 1857  0513 1831  0534 1752  0554 1713  0621 1646  0645 1645
18  0650 1708  0629 1737  0555 1759  0515 1821  0448 1843  0441 1859  0453 1856  0514 1830  0534 1751  0555 1712  0621 1646  0645 1645
19  0650 1709  0628 1738  0554 1759  0514 1822  0447 1843  0441 1859  0454 1856  0515 1829  0535 1749  0556 1711  0622 1645  0646 1646
20  0650 1710  0627 1738  0552 1800  0513 1822  0447 1844  0441 1859  0455 1855  0515 1828  0535 1748  0556 1710  0623 1645  0646 1646
21  0649 1711  0625 1739  0551 1801  0512 1823  0446 1845  0441 1900  0455 1854  0516 1827  0536 1747  0557 1709  0624 1645  0647 1647
22  0649 1712  0624 1740  0550 1802  0511 1824  0445 1845  0441 1900  0456 1854  0517 1826  0537 1745  0558 1708  0625 1644  0647 1647
23  0648 1713  0623 1741  0548 1802  0510 1824  0445 1846  0442 1900  0456 1853  0517 1824  0537 1744  0559 1706  0626 1644  0648 1648
24  0648 1714  0622 1742  0547 1803  0509 1825  0444 1847  0442 1900  0457 1853  0518 1823  0538 1742  0600 1705  0627 1644  0648 1648
25  0648 1715  0621 1743  0546 1804  0508 1826  0444 1847  0442 1900  0458 1852  0519 1822  0539 1741  0600 1704  0628 1643  0649 1649
26  0647 1716  0620 1743  0544 1804  0507 1827  0444 1848  0442 1900  0458 1851  0519 1821  0539 1740  0601 1703  0629 1643  0649 1649
27  0646 1717  0619 1744  0543 1805  0505 1827  0443 1849  0443 1900  0459 1851  0520 1819  0540 1738  0602 1702  0630 1643  0650 1650
28  0646 1718  0618 1745  0542 1806  0504 1828  0443 1849  0443 1901  0500 1850  0521 1818  0541 1737  0603 1701  0630 1643  0650 1651
29  0645 1719             0540 1807  0503 1829  0442 1850  0443 1901  0500 1849  0521 1817  0541 1736  0604 1700  0631 1642  0650 1651
30  0645 1719             0539 1807  0502 1830  0442 1850  0444 1901  0501 1848  0522 1816  0542 1734  0605 1659  0632 1642  0650 1652
31  0644 1720             0538 1808             0442 1851             0502 1848  0523 1814             0605 1659             0651 1653
