SanFrancisco
W12226N3746
01  0725 1702  0714 1734  0641 1803  0555 1833  0514 1900  0450 1926  0452 1936  0513 1918  0540 1839  0605 1753  0635 1711  0706 1651
02  0725 1703  0713 1735  0640 1804  0554 1834  0513 1901  0449 1927  0452 1935  0514 1917  0541 1837  0606 1751  0636 1710  0707 1651
03  0725 1703  0712 1736  0638 1805  0552 1835  0512 1902  0449 1927  0453 1935  0515 1916  0542 1836  0607 1750  0637 1709  0708 1651
04  0726 1704  0711 1737  0637 1806  0551 1835  0511 1903  0449 1928  0453 1935  0516 1915  0542 1834  0608 1748  0638 1708  0709 1651
05  0726 1705  0710 1738  0636 1807  0549 1836  0510 1904  0448 1929  0454 1935  0517 1914  0543 1833  0609 1747  0639 1707  0710 1651
06  0726 1706  0709 1739  0634 1808  0548 1837  0508 1905  0448 1929  0454 1935  0518 1913  0544 1831  0610 1745  0640 1706  0711 1651
07  0726 1707  0708 1740  0633 1809  0546 1838  0507 1906  0448 1930  0455 1934  0518 1912  0545 1830  0611 1744  0642 1705  0712 1651
08  0725 1708  0707 1741  0631 1810  0545 1839  0506 1907  0448 1930  0455 1934  0519 1911  0546 1828  0612 1742  0643 1704  0713 1651
09  0725 1709  0706 1742  0630 1811  0543 1840  0505 1907  0448 1931  0456 1934  0520 1910  0547 1827  0613 1741  0644 1703  0713 1651
10  0725 1710  0705 1744  0628 1812  0542 1841  0504 1908  0447 1931  0457 1933  0521 1909  0547 1825  0613 1739  0645 1702  0714 1651
11  0725 1711  0704 1745  0627 1813  0540 1842  0504 1909  0447 1932  0457 1933  0522 1907  0548 1824  0614 1738  0646 1701  0715 1651
12  0725 1712  0703 1746  0625 1814  0539 1843  0503 1910  0447 1932  0458 1933  0523 1906  0549 1822  0615 1736  0647 1701  0716 1651
13  0725 1713  0702 1747  0624 1815  0537 1844  0502 1911  0447 1933  0459 1932  0524 1905  0550 1821  0616 1735  0648 1700  0717 1651
14  0724 1714  0701 1748  0622 1816  0536 1845  0501 1912  0447 1933  0459 1932  0524 1904  0551 1819  0617 1734  0649 1659  0717 1652
15  0724 1715  0659 1749  0621 1817  0535 1846  0500 1913  0447 1933  0500 1931  0525 1902  0552 1817  0618 1732  0650 1658  0718 1652
16  0724 1716  0658 1750  0619 1818  0533 1846  0459 1914  0447 1934  0501 1931  0526 1901  0552 1816  0619 1731  0651 1658  0719 1652
17  0723 1717  0657 1751  0618 1819  0532 1847  0458 1914  0448 1934  0501 1930  0527 1900  0553 1814  0620 1730  0652 1657  0719 1653
18  0723 1718  0656 1752  0616 1820  0530 1848  0458 1915  0448 1934  0502 1929  0528 1859  0554 1813  0621 1728  0653 1656  0720 1653
19  0722 1719  0654 1753  0615 1821  0529 1849  0457 1916  0448 1935  0503 1929  0529 1857  0555 1811  0622 1727  0654 1656  0720 1654
20  0722 1720  0653 1754  0613 1822  0528 1850  0456 1917  0448 1935  0504 1928  0530 1856  0556 1810  0623 1726  0655 1655  0721 1654
21  0721 1721  0652 1755  0612 1823  0526 1851  0455 1918  0448 1935  0504 1928  0531 1855  0557 1808  0624 1724  0656 1655  0721 1654
22  0721 1722  0651 1756  0610 1824  0525 1852  0455 1919  0448 1935  0505 1927  0531 1853  0558 1807  0625 1723  0657 1654  0722 1655
23  0720 1723  0649 1757  0609 1824  0524 1853  0454 1919  0449 1935  0506 1926  0532 1852  0558 1805  0626 1722  0658 1654  0722 1656
24  0720 1725  0648 1758  0607 1825  0523 1854  0453 1920  0449 1935  0507 1925  0533 1850  0559 1803  0627 1720  0659 1653  0723 1656
25  0719 1726  0647 1759  0606 1826  0521 1855  0453 1921  0449 1936  0508 1925  0534 1849  0600 1802  0628 1719  0700 1653  0723 1657
26  0718 1727  0645 1800  0604 1827  0520 1856  0452 1922  0450 1936  0508 1924  0535 1848  0601 1800  0629 1718  0702 1653  0724 1657
27  0718 1728  0644 1801  0603 1828  0519 1857  0452 1922  0450 1936  0509 1923  0536 1846  0602 1759  0630 1717  0703 1652  0724 1658
28  0717 1729  0643 1802  0601 1829  0518 1857  0451 1923  0450 1936  0510 1922  0537 1845  0603 1757  0631 1716  0703 1652  0724 1659
29  0716 1730             0600 1830  0516 1858  0451 1924  0451 1936  0511 1921  0537 1843  0604 1756  0632 1714  0704 1652  0725 1659
30  0715 1731             0558 1831  0515 1859  0450 1925  0451 1936  0512 1920  0538 1842  0605 1754  0633 1713  0705 1651  0725 1700
31  0715 1732             0557 1832             0450 1925             0513 1919  0539 1840             0634 1712             0725 1701
