Seoul
E12700N3734
01  0747 1724  0736 1755  0704 1825  0618 1854  0537 1921  0513 1947  0514 1957  0535 1941  0602 1902  0627 1816  0656 1734  0727 1714
02  0747 1725  0735 1756  0703 1826  0617 1855  0536 1922  0512 1948  0515 1957  0536 1940  0603 1900  0628 1815  0657 1733  0728 1714
03  0747 1726  0734 1758  0701 1827  0615 1856  0535 1923  0512 1949  0515 1957  0537 1939  0603 1859  0629 1813  0658 1732  0729 1714
04  0747 1727  0734 1759  0700 1828  0614 1857  0534 1924  0512 1949  0516 1957  0538 1938  0604 1858  0630 1812  0700 1731  0730 1714
05  0747 1727  0733 1800  0659 1829  0612 1858  0533 1925  0511 1950  0516 1957  0539 1937  0605 1856  0630 1810  0701 1730  0731 1713
06  0747 1728  0732 1801  0657 1830  0611 1859  0532 1926  0511 1950  0517 1957  0540 1936  0606 1855  0631 1809  0702 1729  0732 1713
07  0747 1729  0731 1802  0656 1831  0610 1900  0531 1927  0511 1951  0517 1956  0541 1935  0607 1853  0632 1807  0703 1728  0733 1713
08  0747 1730  0730 1803  0654 1832  0608 1901  0530 1928  0511 1952  0518 1956  0541 1934  0608 1852  0633 1806  0704 1727  0734 1713
09  0747 1731  0729 1804  0653 1833  0607 1901  0529 1929  0510 1952  0518 1956  0542 1932  0608 1850  0634 1804  0705 1726  0735 1713
10  0747 1732  0728 1805  0651 1834  0605 1902  0528 1930  0510 1953  0519 1955  0543 1931  0609 1848  0635 1803  0706 1726  0735 1714
11  0747 1733  0727 1806  0650 1835  0604 1903  0527 1930  0510 1953  0520 1955  0544 1930  0610 1847  0636 1801  0707 1725  0736 1714
12  0747 1734  0726 1807  0649 1836  0602 1904  0526 1931  0510 1953  0520 1955  0545 1929  0611 1845  0637 1800  0708 1724  0737 1714
13  0746 1735  0724 1809  0647 1837  0601 1905  0525 1932  0510 1954  0521 1954  0546 1928  0612 1844  0638 1758  0709 1723  0738 1714
14  0746 1736  0723 1810  0646 1838  0559 1906  0524 1933  0510 1954  0522 1954  0546 1926  0613 1842  0639 1757  0710 1722  0738 1714
15  0746 1737  0722 1811  0644 1839  0558 1907  0523 1934  0510 1955  0522 1953  0547 1925  0613 1841  0640 1756  0711 1722  0739 1715
16  0746 1738  0721 1812  0643 1840  0557 1908  0522 1935  0510 1955  0523 1953  0548 1924  0614 1839  0641 1754  0712 1721  0740 1715
17  0745 1739  0720 1813  0641 1841  0555 1909  0522 1936  0510 1955  0524 1952  0549 1923  0615 1838  0641 1753  0713 1720  0740 1715
18  0745 1740  0719 1814  0640 1841  0554 1910  0521 1937  0510 1956  0524 1952  0550 1921  0616 1836  0642 1752  0714 1719  0741 1716
19  0744 1741  0717 1815  0638 1842  0553 1911  0520 1937  0510 1956  0525 1951  0551 1920  0617 1835  0643 1750  0715 1719  0742 1716
20  0744 1742  0716 1816  0637 1843  0551 1911  0519 1938  0511 1956  0526 1950  0552 1919  0618 1833  0644 1749  0716 1718  0742 1716
21  0744 1743  0715 1817  0635 1844  0550 1912  0519 1939  0511 1957  0527 1950  0552 1917  0618 1831  0645 1748  0717 1718  0743 1717
22  0743 1744  0714 1818  0634 1845  0549 1913  0518 1940  0511 1957  0527 1949  0553 1916  0619 1830  0646 1746  0718 1717  0743 1717
23  0742 1745  0712 1819  0632 1846  0547 1914  0517 1941  0511 1957  0528 1948  0554 1915  0620 1828  0647 1745  0720 1717  0744 1718
24  0742 1747  0711 1820  0630 1847  0546 1915  0517 1941  0512 1957  0529 1948  0555 1913  0621 1827  0648 1744  0721 1716  0744 1718
25  0741 1748  0710 1821  0629 1848  0545 1916  0516 1942  0512 1957  0530 1947  0556 1912  0622 1825  0649 1743  0722 1716  0745 1719
26  0741 1749  0708 1822  0627 1849  0543 1917  0515 1943  0512 1957  0531 1946  0557 1911  0623 1824  0650 1741  0723 1715  0745 1720
27  0740 1750  0707 1823  0626 1850  0542 1918  0515 1944  0512 1957  0531 1945  0558 1909  0624 1822  0651 1740  0724 1715  0745 1720
28  0739 1751  0706 1824  0624 1851  0541 1919  0514 1944  0513 1957  0532 1944  0558 1908  0624 1821  0652 1739  0725 1715  0746 1721
29  0739 1752             0623 1852  0540 1920  0514 1945  0513 1957  0533 1944  0559 1906  0625 1819  0653 1738  0726 1714  0746 1722
30  0738 1753             0621 1852  0539 1921  0513 1946  0514 1957  0534 1943  0600 1905  0626 1818  0654 1737  0727 1714  0746 1722
31  0737 1754             0620 1853             0513 1947             0535 1942  0601 1903             0655 1735             0747 1723
