StLouis
W09015N3838
01  0719 1651  0707 1723  0633 1754  0546 1824  0504 1853  0438 1920  0440 1929  0503 1912  0530 1831  0557 1744  0628 1701  0700 1640
02  0719 1651  0706 1724  0632 1755  0544 1825  0503 1854  0438 1920  0441 1929  0503 1911  0531 1830  0558 1742  0629 1700  0701 1640
03  0719 1652  0705 1725  0630 1756  0543 1826  0501 1855  0438 1921  0441 1929  0504 1909  0532 1828  0559 1741  0630 1659  0702 1640
04  0719 1653  0704 1726  0629 1757  0541 1827  0500 1856  0437 1922  0442 1929  0505 1908  0533 1827  0600 1739  0631 1658  0703 1640
05  0719 1654  0703 1728  0627 1758  0540 1828  0459 1857  0437 1922  0442 1929  0506 1907  0534 1825  0601 1738  0632 1657  0704 1640
06  0719 1655  0702 1729  0626 1759  0538 1829  0458 1858  0437 1923  0443 1929  0507 1906  0535 1823  0601 1736  0633 1656  0704 1640
07  0719 1656  0701 1730  0625 1800  0537 1830  0457 1859  0437 1923  0443 1928  0508 1905  0535 1822  0602 1735  0634 1655  0705 1640
08  0719 1657  0700 1731  0623 1801  0535 1831  0456 1900  0436 1924  0444 1928  0509 1904  0536 1820  0603 1733  0635 1654  0706 1640
09  0719 1658  0659 1732  0621 1802  0534 1832  0455 1901  0436 1925  0445 1928  0510 1903  0537 1819  0604 1732  0636 1653  0707 1640
10  0719 1659  0658 1733  0620 1803  0532 1833  0454 1901  0436 1925  0445 1927  0511 1902  0538 1817  0605 1730  0638 1652  0708 1640
11  0719 1700  0657 1734  0618 1804  0531 1834  0453 1902  0436 1925  0446 1927  0511 1900  0539 1816  0606 1729  0639 1651  0709 1640
12  0718 1701  0655 1736  0617 1805  0529 1835  0452 1903  0436 1926  0447 1926  0512 1859  0540 1814  0607 1727  0640 1650  0709 1640
13  0718 1702  0654 1737  0615 1806  0528 1836  0451 1904  0436 1926  0447 1926  0513 1858  0541 1812  0608 1726  0641 1649  0710 1640
14  0718 1703  0653 1738  0614 1807  0526 1837  0450 1905  0436 1927  0448 1925  0514 1857  0542 1811  0609 1724  0642 1649  0711 1640
15  0717 1704  0652 1739  0612 1808  0525 1838  0449 1906  0436 1927  0449 1925  0515 1855  0542 1809  0610 1723  0643 1648  0712 1641
16  0717 1705  0651 1740  0611 1809  0524 1839  0448 1907  0436 1928  0449 1924  0516 1854  0543 1808  0611 1721  0644 1647  0712 1641
17  0717 1706  0649 1741  0609 1810  0522 1840  0448 1908  0436 1928  0450 1924  0517 1853  0544 1806  0612 1720  0645 1646  0713 1641
18  0716 1707  0648 1742  0608 1811  0521 1841  0447 1909  0436 1928  0451 1923  0518 1851  0545 1804  0613 1719  0646 1646  0714 1642
19  0716 1708  0647 1743  0606 1812  0519 1842  0446 1910  0436 1928  0452 1922  0519 1850  0546 1803  0614 1717  0647 1645  0714 1642
20  0715 1709  0646 1744  0605 1813  0518 1843  0445 1910  0437 1929  0453 1922  0519 1849  0547 1801  0615 1716  0649 1644  0715 1643
21  0715 1710  0644 1745  0603 1814  0517 1843  0444 1911  0437 1929  0453 1921  0520 1847  0548 1800  0616 1715  0650 1644  0715 1643
22  0714 1712  0643 1747  0601 1815  0515 1844  0444 1912  0437 1929  0454 1920  0521 1846  0549 1758  0617 1713  0651 1643  0716 1644
23  0714 1713  0642 1748  0600 1816  0514 1845  0443 1913  0437 1929  0455 1920  0522 1844  0550 1756  0618 1712  0652 1643  0716 1644
24  0713 1714  0640 1749  0558 1817  0513 1846  0442 1914  0437 1929  0456 1919  0523 1843  0550 1755  0619 1711  0653 1642  0717 1645
25  0712 1715  0639 1750  0557 1818  0511 1847  0442 1914  0438 1929  0457 1918  0524 1842  0551 1753  0620 1709  0654 1642  0717 1645
26  0712 1716  0638 1751  0555 1819  0510 1848  0441 1915  0438 1930  0457 1917  0525 1840  0552 1752  0621 1708  0655 1642  0717 1646
27  0711 1717  0636 1752  0554 1820  0509 1849  0441 1916  0439 1930  0458 1916  0526 1839  0553 1750  0622 1707  0656 1641  0718 1647
28  0710 1718  0635 1753  0552 1821  0507 1850  0440 1917  0439 1930  0459 1915  0527 1837  0554 1749  0623 1706  0657 1641  0718 1647
29  0709 1719             0551 1822  0506 1851  0440 1918  0439 1930  0500 1914  0528 1836  0555 1747  0625 1704  0658 1641  0718 1648
30  0708 1721             0549 1823  0505 1852  0439 1918  0440 1930  0501 1913  0528 1834  0556 1745  0626 1703  0659 1640  0719 1649
31  0708 1722             0547 1823             0439 1919             0502 1913  0529 1833             0627 1702             0719 1650
