Sydney
E15112S3353
01  0447 1910  0516 1901  0543 1832  0607 1751  0629 1715  0651 1654  0701 1657  0648 1715  0614 1737  0533 1758  0455 1823  0437 1851
02  0448 1910  0517 1900  0543 1831  0608 1750  0630 1714  0652 1654  0701 1657  0647 1716  0613 1738  0532 1758  0454 1824  0437 1852
03  0449 1910  0518 1859  0544 1830  0608 1748  0631 1713  0653 1654  0701 1658  0646 1717  0612 1738  0530 1759  0453 1825  0437 1853
04  0450 1910  0519 1858  0545 1828  0609 1747  0632 1712  0653 1654  0701 1658  0646 1717  0610 1739  0529 1800  0453 1826  0437 1854
05  0451 1910  0520 1858  0546 1827  0610 1746  0632 1711  0654 1653  0701 1659  0645 1718  0609 1740  0528 1800  0452 1826  0437 1854
06  0451 1910  0521 1857  0547 1826  0611 1744  0633 1710  0654 1653  0701 1659  0644 1719  0608 1740  0526 1801  0451 1827  0437 1855
07  0452 1910  0522 1856  0548 1825  0611 1743  0634 1709  0655 1653  0701 1700  0643 1720  0606 1741  0525 1802  0450 1828  0437 1856
08  0453 1910  0523 1855  0548 1823  0612 1742  0635 1708  0655 1653  0700 1700  0642 1720  0605 1742  0524 1803  0449 1829  0437 1857
09  0454 1910  0524 1854  0549 1822  0613 1740  0635 1707  0656 1653  0700 1701  0641 1721  0604 1742  0522 1803  0448 1830  0437 1858
10  0455 1910  0525 1853  0550 1821  0614 1739  0636 1707  0656 1653  0700 1701  0640 1722  0602 1743  0521 1804  0447 1831  0437 1858
11  0456 1910  0526 1852  0551 1819  0614 1738  0637 1706  0657 1653  0700 1702  0639 1722  0601 1744  0520 1805  0447 1832  0437 1859
12  0457 1910  0527 1851  0552 1818  0615 1737  0638 1705  0657 1653  0659 1702  0638 1723  0600 1744  0518 1806  0446 1833  0438 1900
13  0458 1910  0528 1850  0552 1817  0616 1735  0638 1704  0657 1653  0659 1703  0637 1724  0558 1745  0517 1807  0445 1834  0438 1901
14  0458 1909  0529 1849  0553 1815  0617 1734  0639 1704  0658 1653  0659 1704  0636 1724  0557 1746  0516 1807  0445 1835  0438 1901
15  0459 1909  0530 1848  0554 1814  0617 1733  0640 1703  0658 1653  0658 1704  0635 1725  0555 1746  0515 1808  0444 1836  0438 1902
16  0500 1909  0531 1847  0555 1813  0618 1732  0641 1702  0659 1653  0658 1705  0634 1726  0554 1747  0513 1809  0443 1837  0439 1903
17  0501 1909  0532 1846  0556 1811  0619 1730  0641 1701  0659 1653  0658 1705  0633 1727  0553 1748  0512 1810  0443 1838  0439 1903
18  0502 1908  0533 1845  0556 1810  0620 1729  0642 1701  0659 1653  0657 1706  0631 1727  0551 1748  0511 1811  0442 1839  0439 1904
19  0503 1908  0534 1844  0557 1809  0620 1728  0643 1700  0659 1653  0657 1707  0630 1728  0550 1749  0510 1811  0442 1840  0440 1904
20  0504 1908  0535 1843  0558 1807  0621 1727  0644 1700  0700 1654  0656 1707  0629 1729  0548 1750  0508 1812  0441 1841  0440 1905
21  0505 1907  0535 1842  0559 1806  0622 1726  0644 1659  0700 1654  0656 1708  0628 1729  0547 1750  0507 1813  0441 1842  0441 1905
22  0506 1907  0536 1841  0559 1805  0623 1725  0645 1658  0700 1654  0655 1709  0627 1730  0546 1751  0506 1814  0440 1843  0441 1906
23  0507 1906  0537 1839  0600 1803  0623 1723  0646 1658  0700 1654  0654 1709  0626 1731  0544 1752  0505 1815  0440 1844  0442 1906
24  0508 1906  0538 1838  0601 1802  0624 1722  0646 1657  0701 1654  0654 1710  0624 1731  0543 1753  0504 1816  0439 1845  0442 1907
25  0509 1905  0539 1837  0602 1800  0625 1721  0647 1657  0701 1655  0653 1711  0623 1732  0541 1753  0503 1817  0439 1846  0443 1907
26  0510 1905  0540 1836  0602 1759  0626 1720  0648 1657  0701 1655  0653 1711  0622 1733  0540 1754  0502 1817  0439 1846  0443 1908
27  0511 1904  0541 1835  0603 1758  0626 1719  0648 1656  0701 1655  0652 1712  0621 1733  0539 1755  0501 1818  0438 1847  0444 1908
28  0512 1903  0542 1833  0604 1756  0627 1718  0649 1656  0701 1656  0651 1713  0619 1734  0537 1755  0459 1819  0438 1848  0445 1908
29  0513 1903             0605 1755  0628 1717  0650 1655  0701 1656  0650 1713  0618 1735  0536 1756  0458 1820  0438 1849  0445 1909
30  0514 1902             0605 1754  0629 1716  0650 1655  0701 1657  0650 1714  0617 1736  0534 1757  0457 1821  0438 1850  0446 1909
31  0515 1901             0606 1752             0651 1655             0649 1715  0616 1736             0456 1822             0447 1909
