Tampa
W08228N2758
01  0721 1746  0717 1810  0655 1830  0620 1848  0550 1904  0534 1922  0537 1930  0553 1920  0608 1851  0623 1816  0641 1746  0704 1734
02  0722 1747  0716 1811  0654 1831  0619 1848  0549 1905  0534 1922  0538 1930  0553 1919  0609 1850  0623 1815  0642 1745  0705 1734
03  0722 1747  0716 1812  0653 1832  0618 1849  0549 1905  0533 1923  0538 1930  0554 1918  0609 1849  0624 1814  0642 1744  0705 1734
04  0722 1748  0715 1813  0651 1832  0617 1849  0548 1906  0533 1923  0538 1930  0554 1917  0610 1847  0624 1813  0643 1743  0706 1734
05  0722 1749  0715 1813  0650 1833  0616 1850  0547 1907  0533 1924  0539 1930  0555 1917  0610 1846  0625 1811  0644 1743  0707 1734
06  0722 1750  0714 1814  0649 1833  0615 1850  0546 1907  0533 1924  0539 1930  0555 1916  0611 1845  0625 1810  0645 1742  0708 1734
07  0722 1750  0713 1815  0648 1834  0614 1851  0545 1908  0533 1925  0540 1930  0556 1915  0611 1844  0626 1809  0645 1742  0708 1734
08  0722 1751  0713 1816  0647 1834  0613 1851  0545 1908  0533 1925  0540 1930  0556 1914  0612 1843  0626 1808  0646 1741  0709 1735
09  0723 1752  0712 1817  0646 1835  0611 1852  0544 1909  0533 1925  0541 1930  0557 1914  0612 1842  0627 1807  0647 1740  0710 1735
10  0723 1753  0711 1817  0645 1836  0610 1852  0543 1909  0533 1926  0541 1929  0557 1913  0613 1841  0627 1806  0648 1740  0710 1735
11  0723 1753  0711 1818  0644 1836  0609 1853  0543 1910  0533 1926  0541 1929  0558 1912  0613 1839  0628 1805  0648 1739  0711 1735
12  0723 1754  0710 1819  0643 1837  0608 1854  0542 1911  0533 1927  0542 1929  0558 1911  0614 1838  0628 1804  0649 1739  0712 1736
13  0723 1755  0709 1819  0642 1837  0607 1854  0542 1911  0533 1927  0542 1929  0559 1910  0614 1837  0629 1803  0650 1738  0712 1736
14  0723 1756  0708 1820  0641 1838  0606 1855  0541 1912  0533 1927  0543 1928  0600 1909  0615 1836  0630 1802  0651 1738  0713 1736
15  0722 1757  0707 1821  0640 1838  0605 1855  0540 1912  0533 1928  0543 1928  0600 1908  0615 1835  0630 1801  0651 1737  0714 1737
16  0722 1757  0707 1822  0638 1839  0604 1856  0540 1913  0533 1928  0544 1928  0601 1907  0615 1833  0631 1800  0652 1737  0714 1737
17  0722 1758  0706 1822  0637 1840  0603 1856  0539 1914  0533 1928  0544 1927  0601 1906  0616 1832  0631 1759  0653 1737  0715 1737
18  0722 1759  0705 1823  0636 1840  0602 1857  0539 1914  0534 1928  0545 1927  0602 1905  0616 1831  0632 1758  0654 1736  0715 1738
19  0722 1800  0704 1824  0635 1841  0601 1857  0538 1915  0534 1929  0545 1927  0602 1904  0617 1830  0633 1757  0655 1736  0716 1738
20  0722 1801  0703 1824  0634 1841  0600 1858  0538 1915  0534 1929  0546 1926  0603 1903  0617 1829  0633 1756  0655 1736  0716 1739
21  0721 1801  0702 1825  0633 1842  0559 1858  0537 1916  0534 1929  0547 1926  0603 1902  0618 1828  0634 1755  0656 1735  0717 1739
22  0721 1802  0701 1826  0632 1842  0558 1859  0537 1916  0534 1929  0547 1925  0604 1901  0618 1826  0634 1754  0657 1735  0717 1740
23  0721 1803  0700 1826  0630 1843  0557 1900  0536 1917  0535 1930  0548 1925  0604 1900  0619 1825  0635 1753  0658 1735  0718 1740
24  0720 1804  0659 1827  0629 1843  0556 1900  0536 1918  0535 1930  0548 1924  0605 1859  0619 1824  0636 1752  0658 1735  0718 1741
25  0720 1805  0659 1828  0628 1844  0555 1901  0536 1918  0535 1930  0549 1924  0605 1858  0620 1823  0636 1751  0659 1734  0719 1741
26  0720 1805  0658 1828  0627 1844  0554 1901  0535 1919  0536 1930  0549 1923  0606 1857  0620 1822  0637 1750  0700 1734  0719 1742
27  0719 1806  0657 1829  0626 1845  0554 1902  0535 1919  0536 1930  0550 1923  0606 1856  0621 1821  0638 1750  0701 1734  0720 1742
28  0719 1807  0656 1830  0625 1845  0553 1902  0535 1920  0536 1930  0550 1922  0607 1855  0621 1819  0638 1749  0702 1734  0720 1743
29  0718 1808             0624 1846  0552 1903  0535 1920  0536 1930  0551 1922  0607 1854  0622 1818  0639 1748  0702 1734  0720 1744
30  0718 1809             0623 1847  0551 1904  0534 1921  0537 1930  0551 1921  0608 1853  0622 1817  0640 1747  0703 1734  0721 1744
31  0717 1810             0621 1847             0534 1921             0552 1920  0608 1852             0640 1746             0721 1745
