Teheran
E05126N3542
01  0644 1632  0635 1701  0605 1729  0521 1756  0443 1821  0420 1845  0422 1854  0442 1839  0506 1802  0529 1719  0556 1639  0625 1621
02  0644 1632  0634 1702  0603 1730  0520 1756  0442 1821  0420 1845  0422 1854  0443 1838  0507 1801  0530 1717  0557 1638  0626 1621
03  0644 1633  0633 1703  0602 1731  0519 1757  0441 1822  0419 1846  0423 1854  0444 1837  0508 1759  0530 1716  0558 1637  0627 1621
04  0645 1634  0632 1705  0601 1732  0517 1758  0440 1823  0419 1846  0423 1854  0444 1836  0508 1758  0531 1714  0559 1636  0628 1621
05  0645 1635  0631 1706  0600 1733  0516 1759  0439 1824  0419 1847  0424 1854  0445 1835  0509 1757  0532 1713  0600 1635  0629 1621
06  0645 1636  0631 1707  0558 1734  0514 1800  0438 1825  0419 1848  0424 1854  0446 1834  0510 1755  0533 1712  0601 1635  0630 1621
07  0645 1637  0630 1708  0557 1735  0513 1801  0437 1826  0418 1848  0425 1853  0447 1833  0511 1754  0534 1710  0602 1634  0630 1621
08  0645 1637  0629 1709  0555 1735  0512 1801  0436 1826  0418 1849  0425 1853  0447 1832  0511 1752  0535 1709  0603 1633  0631 1621
09  0645 1638  0628 1710  0554 1736  0510 1802  0435 1827  0418 1849  0426 1853  0448 1831  0512 1751  0535 1707  0604 1632  0632 1621
10  0645 1639  0627 1711  0553 1737  0509 1803  0434 1828  0418 1850  0426 1852  0449 1830  0513 1749  0536 1706  0605 1631  0633 1621
11  0644 1640  0626 1712  0551 1738  0507 1804  0433 1829  0418 1850  0427 1852  0450 1829  0514 1748  0537 1705  0606 1630  0634 1621
12  0644 1641  0625 1713  0550 1739  0506 1805  0432 1830  0418 1850  0428 1852  0451 1828  0514 1746  0538 1703  0607 1630  0634 1621
13  0644 1642  0624 1714  0549 1740  0505 1806  0431 1831  0418 1851  0428 1851  0451 1827  0515 1745  0539 1702  0608 1629  0635 1622
14  0644 1643  0623 1715  0547 1741  0503 1806  0430 1831  0418 1851  0429 1851  0452 1825  0516 1743  0540 1701  0609 1628  0636 1622
15  0644 1644  0622 1716  0546 1741  0502 1807  0430 1832  0418 1852  0430 1851  0453 1824  0517 1742  0540 1659  0610 1628  0636 1622
16  0643 1645  0621 1717  0544 1742  0501 1808  0429 1833  0418 1852  0430 1850  0454 1823  0517 1741  0541 1658  0611 1627  0637 1622
17  0643 1646  0619 1718  0543 1743  0500 1809  0428 1834  0418 1852  0431 1850  0454 1822  0518 1739  0542 1657  0612 1626  0638 1623
18  0643 1647  0618 1719  0541 1744  0458 1810  0427 1835  0418 1853  0432 1849  0455 1821  0519 1738  0543 1655  0613 1626  0638 1623
19  0642 1648  0617 1720  0540 1745  0457 1811  0427 1835  0418 1853  0432 1848  0456 1819  0520 1736  0544 1654  0614 1625  0639 1624
20  0642 1649  0616 1721  0539 1746  0456 1811  0426 1836  0418 1853  0433 1848  0457 1818  0520 1735  0545 1653  0615 1625  0640 1624
21  0641 1650  0615 1722  0537 1747  0454 1812  0425 1837  0419 1853  0434 1847  0458 1817  0521 1733  0546 1652  0616 1624  0640 1624
22  0641 1651  0614 1723  0536 1747  0453 1813  0425 1838  0419 1854  0434 1847  0458 1816  0522 1732  0547 1650  0617 1624  0641 1625
23  0640 1652  0612 1723  0534 1748  0452 1814  0424 1838  0419 1854  0435 1846  0459 1814  0523 1730  0548 1649  0618 1623  0641 1625
24  0640 1653  0611 1724  0533 1749  0451 1815  0423 1839  0419 1854  0436 1845  0500 1813  0523 1729  0548 1648  0619 1623  0642 1626
25  0639 1654  0610 1725  0531 1750  0450 1816  0423 1840  0420 1854  0437 1845  0501 1812  0524 1727  0549 1647  0620 1623  0642 1627
26  0639 1655  0609 1726  0530 1751  0448 1816  0422 1841  0420 1854  0437 1844  0501 1810  0525 1726  0550 1646  0621 1622  0642 1627
27  0638 1656  0607 1727  0529 1752  0447 1817  0422 1841  0420 1854  0438 1843  0502 1809  0526 1724  0551 1645  0622 1622  0643 1628
28  0638 1657  0606 1728  0527 1752  0446 1818  0421 1842  0421 1854  0439 1842  0503 1808  0527 1723  0552 1644  0622 1622  0643 1629
29  0637 1658             0526 1753  0445 1819  0421 1843  0421 1854  0440 1841  0504 1806  0527 1721  0553 1643  0623 1621  0643 1629
30  0636 1659             0524 1754  0444 1820  0421 1843  0421 1854  0440 1841  0504 1805  0528 1720  0554 1641  0624 1621  0644 1630
31  0635 1700             0523 1755             0420 1844             0441 1840  0505 1804             0555 1640             0644 1631
