Tokyo
E13946N3542
01  0651 1638  0642 1708  0612 1736  0528 1802  0450 1827  0427 1851  0428 1901  0448 1846  0512 1809  0535 1726  0602 1646  0632 1628
02  0651 1639  0641 1709  0610 1736  0527 1803  0449 1828  0426 1852  0429 1901  0449 1845  0513 1808  0536 1724  0603 1645  0633 1628
03  0651 1640  0640 1710  0609 1737  0526 1804  0448 1829  0426 1852  0429 1901  0450 1844  0514 1806  0537 1723  0604 1644  0633 1627
04  0651 1640  0639 1711  0608 1738  0524 1805  0446 1830  0426 1853  0430 1901  0451 1843  0515 1805  0538 1721  0605 1643  0634 1627
05  0651 1641  0638 1712  0606 1739  0523 1805  0445 1830  0425 1853  0430 1900  0452 1842  0515 1803  0539 1720  0606 1642  0635 1627
06  0651 1642  0637 1713  0605 1740  0521 1806  0444 1831  0425 1854  0431 1900  0452 1841  0516 1802  0539 1718  0607 1641  0636 1627
07  0651 1643  0637 1714  0604 1741  0520 1807  0443 1832  0425 1855  0431 1900  0453 1840  0517 1801  0540 1717  0608 1641  0637 1627
08  0651 1644  0636 1715  0602 1742  0519 1808  0443 1833  0425 1855  0432 1900  0454 1839  0518 1759  0541 1716  0609 1640  0638 1627
09  0651 1645  0635 1716  0601 1743  0517 1809  0442 1834  0425 1856  0432 1859  0455 1838  0518 1758  0542 1714  0610 1639  0639 1627
10  0651 1646  0634 1717  0600 1744  0516 1810  0441 1835  0425 1856  0433 1859  0455 1837  0519 1756  0543 1713  0611 1638  0639 1628
11  0651 1647  0633 1718  0558 1744  0514 1810  0440 1835  0425 1857  0434 1859  0456 1836  0520 1755  0543 1712  0612 1637  0640 1628
12  0651 1647  0632 1719  0557 1745  0513 1811  0439 1836  0424 1857  0434 1859  0457 1835  0521 1753  0544 1710  0613 1636  0641 1628
13  0651 1648  0631 1720  0555 1746  0512 1812  0438 1837  0424 1857  0435 1858  0458 1833  0522 1752  0545 1709  0614 1636  0642 1628
14  0651 1649  0630 1721  0554 1747  0510 1813  0437 1838  0424 1858  0435 1858  0459 1832  0522 1750  0546 1708  0615 1635  0642 1628
15  0650 1650  0629 1722  0553 1748  0509 1814  0436 1839  0424 1858  0436 1857  0459 1831  0523 1749  0547 1706  0616 1634  0643 1629
16  0650 1651  0627 1723  0551 1749  0508 1814  0436 1839  0425 1859  0437 1857  0500 1830  0524 1748  0548 1705  0617 1634  0644 1629
17  0650 1652  0626 1724  0550 1750  0506 1815  0435 1840  0425 1859  0437 1856  0501 1829  0525 1746  0549 1704  0618 1633  0644 1629
18  0649 1653  0625 1725  0548 1750  0505 1816  0434 1841  0425 1859  0438 1856  0502 1828  0525 1745  0549 1702  0619 1633  0645 1630
19  0649 1654  0624 1726  0547 1751  0504 1817  0433 1842  0425 1859  0439 1855  0502 1826  0526 1743  0550 1701  0620 1632  0645 1630
20  0649 1655  0623 1727  0546 1752  0503 1818  0433 1843  0425 1900  0439 1855  0503 1825  0527 1742  0551 1700  0621 1631  0646 1631
21  0648 1656  0622 1728  0544 1753  0501 1819  0432 1843  0425 1900  0440 1854  0504 1824  0528 1740  0552 1659  0622 1631  0647 1631
22  0648 1657  0621 1729  0543 1754  0500 1819  0431 1844  0425 1900  0441 1853  0505 1823  0528 1739  0553 1657  0623 1630  0647 1631
23  0647 1658  0619 1730  0541 1755  0459 1820  0431 1845  0426 1900  0442 1853  0506 1821  0529 1737  0554 1656  0624 1630  0648 1632
24  0647 1659  0618 1731  0540 1755  0458 1821  0430 1846  0426 1900  0442 1852  0506 1820  0530 1736  0555 1655  0625 1630  0648 1633
25  0646 1700  0617 1732  0538 1756  0457 1822  0430 1846  0426 1901  0443 1851  0507 1819  0531 1734  0556 1654  0626 1629  0648 1633
26  0646 1702  0616 1733  0537 1757  0455 1823  0429 1847  0427 1901  0444 1851  0508 1817  0531 1733  0557 1653  0627 1629  0649 1634
27  0645 1703  0614 1734  0536 1758  0454 1824  0429 1848  0427 1901  0445 1850  0509 1816  0532 1731  0558 1652  0628 1629  0649 1634
28  0644 1704  0613 1735  0534 1759  0453 1825  0428 1848  0427 1901  0445 1849  0509 1815  0533 1730  0559 1651  0629 1628  0650 1635
29  0644 1705             0533 1800  0452 1825  0428 1849  0428 1901  0446 1848  0510 1813  0534 1728  0600 1649  0630 1628  0650 1636
30  0643 1706             0531 1800  0451 1826  0427 1850  0428 1901  0447 1847  0511 1812  0535 1727  0600 1648  0631 1628  0650 1636
31  0642 1707             0530 1801             0427 1850             0448 1847  0512 1811             0601 1647             0650 1637
