Toronto
W07938N4341
01  0752 1652  0735 1730  0655 1807  0600 1845  0511 1921  0440 1953  0441 2004  0507 1942  0542 1854  0616 1800  0654 1709  0732 1643
02  0752 1653  0734 1731  0654 1808  0558 1846  0510 1922  0439 1954  0441 2004  0509 1940  0543 1852  0617 1758  0656 1708  0733 1643
03  0752 1654  0733 1732  0652 1810  0557 1848  0508 1923  0439 1955  0442 2003  0510 1939  0544 1851  0618 1756  0657 1707  0734 1642
04  0752 1655  0732 1734  0650 1811  0555 1849  0507 1924  0439 1956  0442 2003  0511 1938  0545 1849  0619 1754  0658 1705  0735 1642
05  0752 1656  0731 1735  0648 1812  0553 1850  0505 1926  0438 1956  0443 2003  0512 1936  0547 1847  0621 1752  0700 1704  0736 1642
06  0752 1657  0729 1736  0647 1814  0551 1851  0504 1927  0438 1957  0444 2003  0513 1935  0548 1845  0622 1751  0701 1703  0737 1642
07  0752 1658  0728 1738  0645 1815  0550 1852  0503 1928  0437 1958  0444 2002  0514 1934  0549 1843  0623 1749  0702 1702  0738 1642
08  0752 1659  0727 1739  0643 1816  0548 1854  0502 1929  0437 1958  0445 2002  0515 1932  0550 1842  0624 1747  0703 1701  0739 1641
09  0751 1700  0726 1741  0642 1817  0546 1855  0500 1930  0437 1959  0446 2001  0516 1931  0551 1840  0625 1745  0705 1659  0740 1641
10  0751 1701  0724 1742  0640 1819  0544 1856  0459 1931  0437 1959  0447 2001  0517 1930  0552 1838  0627 1744  0706 1658  0741 1641
11  0751 1703  0723 1743  0638 1820  0543 1857  0458 1933  0437 2000  0447 2000  0518 1928  0553 1836  0628 1742  0707 1657  0742 1642
12  0750 1704  0721 1745  0636 1821  0541 1858  0457 1934  0436 2001  0448 2000  0520 1927  0554 1834  0629 1740  0709 1656  0743 1642
13  0750 1705  0720 1746  0634 1822  0539 1900  0456 1935  0436 2001  0449 1959  0521 1925  0556 1833  0630 1739  0710 1655  0744 1642
14  0750 1706  0719 1747  0633 1823  0538 1901  0455 1936  0436 2001  0450 1959  0522 1924  0557 1831  0631 1737  0711 1654  0744 1642
15  0749 1707  0717 1749  0631 1825  0536 1902  0453 1937  0436 2002  0451 1958  0523 1922  0558 1829  0633 1735  0713 1653  0745 1642
16  0749 1708  0716 1750  0629 1826  0534 1903  0452 1938  0436 2002  0452 1957  0524 1921  0559 1827  0634 1734  0714 1652  0746 1642
17  0748 1710  0714 1751  0627 1827  0533 1904  0451 1939  0436 2003  0452 1956  0525 1919  0600 1825  0635 1732  0715 1651  0747 1643
18  0747 1711  0713 1753  0625 1828  0531 1906  0450 1940  0436 2003  0453 1956  0526 1918  0601 1823  0636 1730  0716 1651  0747 1643
19  0747 1712  0711 1754  0624 1830  0529 1907  0449 1941  0437 2003  0454 1955  0527 1916  0602 1822  0638 1729  0718 1650  0748 1644
20  0746 1714  0710 1755  0622 1831  0528 1908  0449 1942  0437 2004  0455 1954  0529 1914  0603 1820  0639 1727  0719 1649  0748 1644
21  0745 1715  0708 1757  0620 1832  0526 1909  0448 1943  0437 2004  0456 1953  0530 1913  0605 1818  0640 1725  0720 1648  0749 1644
22  0745 1716  0707 1758  0618 1833  0524 1910  0447 1944  0437 2004  0457 1952  0531 1911  0606 1816  0641 1724  0722 1647  0749 1645
23  0744 1717  0705 1759  0616 1834  0523 1911  0446 1945  0437 2004  0458 1951  0532 1909  0607 1814  0643 1722  0723 1647  0750 1646
24  0743 1719  0703 1801  0615 1836  0521 1913  0445 1946  0438 2004  0459 1950  0533 1908  0608 1812  0644 1721  0724 1646  0750 1646
25  0742 1720  0702 1802  0613 1837  0520 1914  0444 1947  0438 2004  0500 1949  0534 1906  0609 1810  0645 1719  0725 1646  0751 1647
26  0741 1721  0700 1803  0611 1838  0518 1915  0444 1948  0438 2004  0501 1948  0535 1904  0610 1809  0647 1718  0726 1645  0751 1647
27  0740 1723  0659 1805  0609 1839  0517 1916  0443 1949  0439 2004  0502 1947  0536 1903  0611 1807  0648 1716  0728 1645  0751 1648
28  0739 1724  0657 1806  0607 1840  0515 1917  0442 1950  0439 2004  0503 1946  0538 1901  0613 1805  0649 1715  0729 1644  0752 1649
29  0738 1725             0606 1842  0514 1919  0442 1951  0440 2004  0504 1945  0539 1859  0614 1803  0650 1713  0730 1644  0752 1650
30  0737 1727             0604 1843  0512 1920  0441 1952  0440 2004  0505 1944  0540 1858  0615 1801  0652 1712  0731 1643  0752 1650
31  0736 1728             0602 1844             0440 1952             0506 1943  0541 1856             0653 1711             0752 1651
