Washington
W07702N3853
01  0727 1657  0714 1730  0641 1801  0553 1832  0510 1901  0445 1928  0447 1937  0509 1919  0537 1839  0604 1751  0635 1708  0708 1647
02  0727 1658  0713 1731  0639 1802  0551 1833  0509 1902  0444 1928  0447 1937  0510 1918  0538 1837  0605 1749  0636 1707  0709 1646
03  0727 1659  0713 1732  0638 1803  0550 1834  0508 1903  0444 1929  0448 1937  0511 1917  0539 1835  0606 1748  0637 1705  0710 1646
04  0727 1659  0712 1733  0636 1804  0548 1835  0507 1903  0444 1930  0448 1937  0512 1916  0540 1834  0607 1746  0639 1704  0710 1646
05  0727 1700  0711 1734  0635 1805  0547 1836  0506 1904  0443 1930  0449 1937  0513 1915  0541 1832  0608 1745  0640 1703  0711 1646
06  0727 1701  0710 1735  0633 1806  0545 1836  0505 1905  0443 1931  0449 1936  0514 1914  0541 1831  0609 1743  0641 1702  0712 1646
07  0727 1702  0709 1736  0632 1807  0544 1837  0504 1906  0443 1931  0450 1936  0514 1913  0542 1829  0610 1742  0642 1701  0713 1646
08  0727 1703  0707 1738  0630 1808  0542 1838  0503 1907  0443 1932  0450 1936  0515 1912  0543 1828  0611 1740  0643 1700  0714 1646
09  0727 1704  0706 1739  0629 1809  0541 1839  0501 1908  0443 1932  0451 1935  0516 1910  0544 1826  0612 1739  0644 1659  0715 1646
10  0727 1705  0705 1740  0627 1810  0539 1840  0500 1909  0442 1933  0452 1935  0517 1909  0545 1824  0613 1737  0645 1659  0716 1646
11  0726 1706  0704 1741  0626 1811  0538 1841  0459 1910  0442 1933  0452 1935  0518 1908  0546 1823  0613 1736  0646 1658  0716 1646
12  0726 1707  0703 1742  0624 1812  0536 1842  0458 1911  0442 1934  0453 1934  0519 1907  0547 1821  0614 1734  0647 1657  0717 1646
13  0726 1708  0702 1743  0623 1813  0535 1843  0458 1912  0442 1934  0454 1934  0520 1905  0548 1820  0615 1733  0649 1656  0718 1647
14  0726 1709  0701 1744  0621 1814  0533 1844  0457 1913  0442 1935  0454 1933  0521 1904  0549 1818  0616 1731  0650 1655  0719 1647
15  0725 1710  0659 1746  0620 1815  0532 1845  0456 1914  0442 1935  0455 1933  0522 1903  0549 1816  0617 1730  0651 1654  0719 1647
16  0725 1711  0658 1747  0618 1816  0530 1846  0455 1915  0442 1935  0456 1932  0523 1902  0550 1815  0618 1728  0652 1654  0720 1647
17  0724 1712  0657 1748  0616 1817  0529 1847  0454 1916  0442 1936  0457 1932  0523 1900  0551 1813  0619 1727  0653 1653  0721 1648
18  0724 1714  0656 1749  0615 1818  0528 1848  0453 1916  0443 1936  0457 1931  0524 1859  0552 1812  0620 1725  0654 1652  0721 1648
19  0724 1715  0654 1750  0613 1819  0526 1849  0452 1917  0443 1936  0458 1930  0525 1858  0553 1810  0622 1724  0655 1652  0722 1649
20  0723 1716  0653 1751  0612 1820  0525 1850  0452 1918  0443 1937  0459 1930  0526 1856  0554 1808  0623 1723  0656 1651  0723 1649
21  0722 1717  0652 1752  0610 1821  0523 1851  0451 1919  0443 1937  0500 1929  0527 1855  0555 1807  0624 1721  0657 1650  0723 1649
22  0722 1718  0650 1753  0609 1822  0522 1852  0450 1920  0443 1937  0501 1928  0528 1853  0556 1805  0625 1720  0658 1650  0724 1650
23  0721 1719  0649 1754  0607 1823  0521 1853  0450 1921  0444 1937  0501 1927  0529 1852  0557 1804  0626 1719  0659 1649  0724 1651
24  0721 1720  0648 1755  0605 1824  0519 1854  0449 1921  0444 1937  0502 1927  0530 1850  0558 1802  0627 1717  0701 1649  0724 1651
25  0720 1721  0646 1757  0604 1825  0518 1855  0448 1922  0444 1937  0503 1926  0531 1849  0558 1800  0628 1716  0702 1648  0725 1652
26  0719 1723  0645 1758  0602 1826  0517 1856  0448 1923  0444 1937  0504 1925  0532 1848  0559 1759  0629 1715  0703 1648  0725 1652
27  0719 1724  0644 1759  0601 1827  0515 1857  0447 1924  0445 1938  0505 1924  0533 1846  0600 1757  0630 1714  0704 1648  0726 1653
28  0718 1725  0642 1800  0559 1828  0514 1858  0447 1925  0445 1938  0506 1923  0533 1845  0601 1756  0631 1712  0705 1647  0726 1654
29  0717 1726             0558 1829  0513 1859  0446 1925  0446 1938  0506 1922  0534 1843  0602 1754  0632 1711  0706 1647  0726 1654
30  0716 1727             0556 1830  0512 1900  0446 1926  0446 1937  0507 1921  0535 1842  0603 1753  0633 1710  0707 1647  0726 1655
31  0715 1728             0555 1831             0445 1927             0508 1920  0536 1840             0634 1709             0727 1656
