Wellington
E17447S4118
01  0451 1957  0526 1942  0601 1905  0636 1813  0707 1728  0737 1700  0748 1702  0729 1726  0647 1756  0556 1826  0508 1901  0443 1937
02  0452 1957  0527 1941  0602 1903  0637 1812  0709 1727  0737 1700  0748 1702  0728 1726  0645 1757  0554 1827  0507 1903  0442 1938
03  0453 1957  0529 1940  0604 1902  0638 1810  0710 1726  0738 1700  0747 1703  0727 1727  0644 1758  0553 1828  0506 1904  0442 1939
04  0454 1957  0530 1939  0605 1900  0639 1808  0711 1724  0739 1659  0747 1703  0726 1728  0642 1759  0551 1829  0505 1905  0442 1940
05  0455 1957  0531 1938  0606 1858  0640 1807  0712 1723  0739 1659  0747 1704  0725 1729  0640 1800  0549 1830  0503 1906  0442 1941
06  0456 1957  0533 1937  0607 1857  0641 1805  0713 1722  0740 1659  0747 1704  0724 1730  0639 1801  0548 1831  0502 1907  0441 1942
07  0456 1957  0534 1935  0608 1855  0642 1804  0714 1721  0741 1658  0747 1705  0723 1731  0637 1802  0546 1833  0501 1909  0441 1943
08  0457 1957  0535 1934  0609 1854  0643 1802  0715 1720  0741 1658  0746 1706  0721 1732  0635 1803  0544 1834  0500 1910  0441 1944
09  0459 1957  0536 1933  0610 1852  0644 1800  0716 1719  0742 1658  0746 1706  0720 1733  0634 1804  0543 1835  0459 1911  0441 1945
10  0500 1956  0538 1932  0612 1850  0645 1759  0717 1717  0743 1658  0746 1707  0719 1734  0632 1805  0541 1836  0458 1912  0441 1946
11  0501 1956  0539 1931  0613 1849  0646 1757  0718 1716  0743 1658  0745 1708  0718 1735  0630 1806  0539 1837  0457 1914  0441 1947
12  0502 1956  0540 1929  0614 1847  0647 1756  0719 1715  0744 1658  0745 1708  0716 1736  0629 1807  0538 1838  0456 1915  0441 1948
13  0503 1956  0541 1928  0615 1845  0649 1754  0720 1714  0744 1658  0744 1709  0715 1737  0627 1808  0536 1839  0455 1916  0441 1948
14  0504 1955  0543 1927  0616 1844  0650 1752  0721 1713  0744 1657  0744 1710  0714 1738  0625 1809  0535 1840  0454 1917  0442 1949
15  0505 1955  0544 1925  0617 1842  0651 1751  0722 1712  0745 1657  0743 1711  0712 1739  0623 1810  0533 1841  0453 1919  0442 1950
16  0506 1954  0545 1924  0618 1840  0652 1749  0723 1711  0745 1658  0743 1711  0711 1740  0622 1811  0531 1843  0452 1920  0442 1951
17  0507 1954  0547 1923  0619 1839  0653 1748  0724 1710  0746 1658  0742 1712  0710 1741  0620 1812  0530 1844  0451 1921  0442 1951
18  0509 1953  0548 1921  0621 1837  0654 1746  0725 1710  0746 1658  0741 1713  0708 1742  0618 1813  0528 1845  0450 1922  0443 1952
19  0510 1953  0549 1920  0622 1835  0655 1745  0726 1709  0746 1658  0741 1714  0707 1743  0617 1814  0527 1846  0449 1923  0443 1953
20  0511 1952  0550 1918  0623 1834  0656 1743  0726 1708  0747 1658  0740 1715  0705 1744  0615 1815  0525 1847  0449 1925  0443 1953
21  0512 1951  0551 1917  0624 1832  0657 1742  0727 1707  0747 1658  0739 1716  0704 1745  0613 1816  0524 1848  0448 1926  0444 1954
22  0513 1951  0553 1915  0625 1830  0658 1740  0728 1706  0747 1658  0739 1716  0702 1746  0611 1817  0522 1849  0447 1927  0444 1954
23  0515 1950  0554 1914  0626 1829  0659 1739  0729 1706  0747 1659  0738 1717  0701 1747  0610 1818  0521 1851  0447 1928  0445 1955
24  0516 1949  0555 1912  0627 1827  0700 1738  0730 1705  0747 1659  0737 1718  0659 1748  0608 1819  0519 1852  0446 1929  0445 1955
25  0517 1948  0556 1911  0628 1825  0701 1736  0731 1704  0748 1659  0736 1719  0658 1749  0606 1820  0518 1853  0445 1931  0446 1955
26  0518 1948  0558 1909  0629 1823  0702 1735  0732 1704  0748 1700  0735 1720  0656 1750  0605 1821  0516 1854  0445 1932  0446 1956
27  0520 1947  0559 1908  0630 1822  0703 1733  0733 1703  0748 1700  0734 1721  0655 1751  0603 1822  0515 1855  0444 1933  0447 1956
28  0521 1946  0600 1906  0631 1820  0704 1732  0733 1702  0748 1700  0733 1722  0653 1752  0601 1823  0514 1857  0444 1934  0448 1956
29  0522 1945             0633 1818  0705 1731  0734 1702  0748 1701  0732 1723  0652 1753  0559 1824  0512 1858  0443 1935  0448 1957
30  0523 1944             0634 1817  0706 1729  0735 1701  0748 1701  0731 1724  0650 1754  0558 1825  0511 1859  0443 1936  0449 1957
31  0525 1943             0635 1815             0736 1701             0730 1725  0648 1755             0510 1900             0450 1957
